"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sugarberry","Celtis laevigata var. laevigata","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233881","1","","","","Public - federal","97.9'","Clinometer/laser rangefinder/sine","12.8'","153''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Sugarberry","Celtis laevigata var. laevigata","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233882","1","","","","Public - federal","117.4'","Clinometer/laser rangefinder/sine","7.3'","87''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Sugarberry","Celtis laevigata var. laevigata","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241816","1","","","","Public - state","97.5'","Clinometer/laser rangefinder/sine","11.8'","142''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Sugarberry","Celtis laevigata var. laevigata","Arkansas","Garland","Hot Springs National Park","","","","","137052","1","","","700.0 ft","Public - federal","56.2'","Clinometer/laser rangefinder/sine","4.6'","55''","","","Turner Sharp","2016-09-05","","N"
"Sugarberry","Celtis laevigata var. laevigata","Georgia","Bleckley","Ocmulgee Flats","","","Ocmulgee Wildlife Management Area","","234735","1","","","","Public - federal","115.0'","Clinometer/laser rangefinder/sine","9.3'","112''","","","Jess Riddle","2006-01-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Focmulgee_flats.htm","N"
"Sugarberry","Celtis laevigata var. laevigata","Illinois","Sangamon","Illinois Single Tree Sites","38 41.047","-090 04.726","","","171012","1","38 41.047","-090 04.726","","Public- Private","64.5'","Clinometer/laser rangefinder/sine","11.6'","139''","","Tree located in Horseshoe State Park, Madison County. Measured by T. Sharp 7/20/2015","Various Various","2000-01-01","","N"
"Sugarberry","Celtis laevigata var. laevigata","Kentucky","Franklin","Old State Capital Square","38 12.017","-084 52.610","","","112331","1","38 12.017","-084 52.610","","Public - state","80.5'","Clinometer/laser rangefinder/sine","9.3'","111''","","","Turner Sharp","2015-12-02","","N"
"Sugarberry","Celtis laevigata var. laevigata","Missouri","Mississippi","Big Oak Tree State Park","36 38.393","-089 16.970","","","283642","1","36 38.393","-089 16.970","300.0 ft","Public","88.8'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Elijah Whitcomb","2022-11-26","","N"
"Sugarberry","Celtis laevigata var. laevigata","Missouri","Mississippi","Big Oak Tree State Park","36 38.763","-089 18.854","","","283686","1","36 38.763","-089 18.854","255.0 ft","Public","93.5'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Elijah Whitcomb","2022-11-26","","N"
"Sugarberry","Celtis laevigata var. laevigata","Missouri","Mississippi","Big Oak Tree State Park","36 38.820","-089 18.107","","","283656","1","36 38.820","-089 18.107","320.0 ft","Public","109.5'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb","2022-11-26","","N"
"Sugarberry","Celtis laevigata var. laevigata","Missouri","Mississippi","Big Oak Tree State Park","36 38.839","-089 18.157","","","283687","1","36 38.839","-089 18.157","290.0 ft","Public","113.0'","Clinometer/laser rangefinder/sine","8.0'","96''","","Tree is dying","Elijah Whitcomb","2022-11-26","","N"
