"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Netleaf Hackberry","Celtis laevigata var. reticulata","Arizona","Gila","Tonto Natural Bridge State Park","","","There is an admission fee.","","142569","1","","","","Public - state","29.2'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2016-09-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Netleaf Hackberry","Celtis laevigata var. reticulata","Arizona","Pima","Catalina State Park","32 25.501","-110 54.553","Trees were measured along the washes and campground areas.","","159300","1","32 25.501","-110 54.553","2800.0 ft","Public - state","19.6'","Clinometer/laser rangefinder/sine","4.3'","52''","","Circumference taken at 3 1/2'","Turner Sharp, Susan Sharp","2017-02-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D8181","N"
"Netleaf Hackberry","Celtis laevigata var. reticulata","Arizona","Yavapai","Montezuma's Well","34 38.899","-111 45.075","A unit of Montezuma Castle National Monument","","23987","1","34 38.899","-111 45.075","3500.0 ft","Public - National Monument","38.9'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Turner Sharp","2012-02-28","","N"
"Netleaf Hackberry","Celtis laevigata var. reticulata","Colorado","Moffat","Green River Corridor - CO","","","Trees were measured at Gates of Lodore Campground at mile 243.7, Wade and Curtis Camp at mile 241, Wild Mountain Camp at mile 229.4, Stateline Camp at mile 219.7. Mileage is measured upriver from the railroad bridge in Green River, Utah.","","126247","1","","","5000.0 ft","Public-National Monument","21.1'","Clinometer/laser rangefinder/sine","2.7'","32''","","Tree at State Line Camp.","Turner Sharp","2015-07-24","","N"
"Netleaf Hackberry","Celtis laevigata var. reticulata","Colorado","Moffat","Green River Corridor - CO","","","Trees were measured at Gates of Lodore Campground at mile 243.7, Wade and Curtis Camp at mile 241, Wild Mountain Camp at mile 229.4, Stateline Camp at mile 219.7. Mileage is measured upriver from the railroad bridge in Green River, Utah.","","126246","1","","","5200.0 ft","Public-National Monument","25.6'","Clinometer/laser rangefinder/sine","3.1'","37''","","Tree is at Wild Mountain Camp.","Turner Sharp","2015-07-24","","N"
"Netleaf Hackberry","Celtis laevigata var. reticulata","Idaho","Idaho","Salmon River Corridor -Hammer Creek To Confluence With Snake River","","","","","98159","1","","","1040.0 ft","Public - Bureau of land Management","1.0'","Clinometer/laser rangefinder/sine","2.8'","33''","","Idaho County, Skeleton Creek Camp, river left.","Turner Sharp","2014-08-22","","N"
"Netleaf Hackberry","Celtis laevigata var. reticulata","Idaho","Idaho","Salmon River Corridor -Hammer Creek To Confluence With Snake River","","","","","98155","1","","","1040.0 ft","Public - Bureau of land Management","15.6'","Clinometer/laser rangefinder/sine","2.4'","29''","","Idaho County, Skeleton Creek Camp, river left.","Turner Sharp","2014-08-22","","N"
"Netleaf Hackberry","Celtis laevigata var. reticulata","Idaho","Idaho","Salmon River Corridor -Hammer Creek To Confluence With Snake River","","","","","98161","1","","","1040.0 ft","Public - Bureau of land Management","19.0'","Clinometer/laser rangefinder/sine","4.4'","52''","","Idaho County, Skeleton Creek Camp, river left.
Circumference taken at 1 1/2'","Turner Sharp","2014-08-22","","N"
"Netleaf Hackberry","Celtis laevigata var. reticulata","Idaho","Idaho","Salmon River Corridor -Hammer Creek To Confluence With Snake River","","","","","98157","1","","","1040.0 ft","Public - Bureau of land Management","27.2'","Clinometer/laser rangefinder/sine","4.4'","53''","","Idaho County, Skeleton Creek Camp, river left.","Turner Sharp","2014-08-22","","N"
"Netleaf Hackberry","Celtis laevigata var. reticulata","Idaho","Idaho","Salmon River Corridor -Hammer Creek To Confluence With Snake River","","","","","98148","1","","","1420.0 ft","Public - Bureau of land Management","28.4'","Clinometer/laser rangefinder/sine","4.2'","50''","","Idaho County, Camp at Mile 34 on river right","Turner Sharp","2014-08-22","","N"
