"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Common Hackberry","Celtis occidentalis","Alabama","Jackson","Walls Of Jericho","34 59.206","-086 05.914","","","315717","1","34 59.206","-086 05.914","840.0 ft","Public","113.0'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Elijah Whitcomb","2024-04-20","","N"
"Common Hackberry","Celtis occidentalis","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174798","1","","","","Public - federal","95.5'","Clinometer/laser rangefinder/sine","15.0'","180''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Common Hackberry","Celtis occidentalis","Illinois","Sangamon","Illinois Single Tree Sites","38 31.203","-089 59.040","","","171015","1","38 31.203","-089 59.040","","Public- Private","","Clinometer/laser rangefinder/sine","17.5'","210''","","Measured by B. Koebel 11/5/2006. Tree located in st. Claire County.","Various Various","2000-01-01","","N"
"Common Hackberry","Celtis occidentalis","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169844","1","","","","Public - federal","97.3'","Clinometer/laser rangefinder/sine","9.4'","113''","","","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Common Hackberry","Celtis occidentalis","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169951","1","","","","Public - federal","98.0'","Clinometer/laser rangefinder/sine","","","","","Mark Rouw","2015-02-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Common Hackberry","Celtis occidentalis","Kentucky","Boone","Dinsmore Nature Preserve - South","","","Nature Conservancy turned this over to the Boone County Court","","165564","1","","","560.0 ft","Public - Boone County Court","72.1'","Clinometer/laser rangefinder/sine","","","","Height is Not Less Than (NLT)","Dale Luthringer","2007-09-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fdismore_woods.htm","N"
"Common Hackberry","Celtis occidentalis","Kentucky","Boone","Dinsmore Nature Preserve - South","","","Nature Conservancy turned this over to the Boone County Court","","165567","1","","","560.0 ft","Public - Boone County Court","72.1'","Clinometer/laser rangefinder/sine","","","","Height is Not Less Than (NLT)","Dale Luthringer","2007-09-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fdismore_woods.htm","N"
"Common Hackberry","Celtis occidentalis","Kentucky","Boone","Dinsmore Nature Preserve - South","38 59.853","-084 48.858","Nature Conservancy turned this over to the Boone County Court","","165565","1","38 59.853","-084 48.858","520.0 ft","Public - Boone County Court","100.6'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Dale Luthringer","2007-09-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fdismore_woods.htm","N"
"Common Hackberry","Celtis occidentalis","Kentucky","Edmonson","Mammoth Cave National Park","37 12.040","-086 14.255","","","297303","1","37 12.040","-086 14.255","","Public","115.1'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Elijah Whitcomb","2023-06-23","","N"
"Common Hackberry","Celtis occidentalis","Kentucky","Edmonson","Mammoth Cave National Park","37 13.649","-086 02.471","","","297531","1","37 13.649","-086 02.471","425.0 ft","Public","116.3'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Elijah Whitcomb","2023-06-23","","N"
