"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Eastern Redbud","Cercis canadensis","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241817","1","","","","Public - state","40.5'","Clinometer/laser rangefinder/sine","2.8'","33''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Redbud","Cercis canadensis","Georgia","Bleckley","Ocmulgee Flats","","","Ocmulgee Wildlife Management Area","","234734","1","","","","Public - federal","53.1'","Clinometer/laser rangefinder/sine","1.8'","22''","","","Jess Riddle","2006-01-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Focmulgee_flats.htm","N"
"Eastern Redbud","Cercis canadensis","Georgia","Habersham","Davidson Creek","","","","","234928","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","1.8'","22''","","","Jess Riddle","2003-05-04","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fdavidson_creek.htm","N"
"Eastern Redbud","Cercis canadensis","Georgia","Habersham","Davidson Creek","","","","","234929","1","","","","Public - federal","52.2'","Clinometer/laser rangefinder/sine","2.1'","25''","","","Jess Riddle","2003-05-04","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fdavidson_creek.htm","N"
"Eastern Redbud","Cercis canadensis","Georgia","Stephens","Panther Creek","","","","","234518","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","3.2'","38''","","","Jess Riddle, Doug Riddle","2002-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Eastern Redbud","Cercis canadensis","Georgia","Stephens","Panther Creek","","","","","234517","1","","","","Public - federal","55.5'","Clinometer/laser rangefinder/sine","2.9'","35''","","","Jess Riddle, Doug Riddle","2002-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Eastern Redbud","Cercis canadensis","Georgia","Stephens","Panther Creek","","","","","234519","1","","","","Public - federal","58.4'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Jess Riddle, Doug Riddle","2002-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Eastern Redbud","Cercis canadensis","Georgia","Stephens","Panther Creek","","","","","249200","1","","","","Public - federal","58.4'","Clinometer/laser rangefinder/sine","1.4'","17''","","","Jess Riddle, Doug Riddle","2011-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Eastern Redbud","Cercis canadensis","Georgia","Stephens","Panther Creek","","","","","249201","1","","","","Public - federal","60.9'","Clinometer/laser rangefinder/sine","1.8'","22''","","","Jess Riddle, Doug Riddle","2011-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Eastern Redbud","Cercis canadensis","North Carolina","Forsyth","Tanglewood Park","","","Owned by Forsyth County.","","226776","1","","","","Public - county","41.7'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Jess Riddle","2007-01-06","hhttp%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Ftanglewood_park2","N"
"Eastern Redbud","Cercis canadensis","Ohio","Lucas","Swan Creek Preserve","","","","","9997","1","","","","public","39.7'","","3.8'","46''","","","Will Blozan","2009-06-21","","N"
"Eastern Redbud","Cercis canadensis","South Carolina","Oconee","Brasstown Creek","","","","","238170","1","","","","Public - federal","54.5'","Clinometer/laser rangefinder/sine","1.5'","18''","","Brasstown Creek","Jess Riddle","2003-11-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D6003","N"
"Eastern Redbud","Cercis canadensis","South Carolina","Oconee","Brasstown Creek","","","","","238171","1","","","","Public - federal","66.2'","Clinometer/laser rangefinder/sine","2.2'","26''","","Boatwright Creek","Jess Riddle","2003-11-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D6003","N"
"Eastern Redbud","Cercis canadensis","South Carolina","Oconee","Tamassee Knob","","","","","253020","1","","","","Public - federal","53.4'","Clinometer/laser rangefinder/sine","1.3'","16''","","","Jess Riddle","2016-03-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D7608","N"
"Eastern Redbud","Cercis canadensis","South Carolina","Oconee","Tamassee Knob","","","","","253019","1","","","","Public - federal","57.3'","Clinometer/laser rangefinder/sine","2.3'","27''","","","Jess Riddle","2016-03-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D7608","N"
"Eastern Redbud","Cercis canadensis","South Carolina","Pickens","Wadakoe Mountain","","","Trees were also measured on 11/1/2004. 
See link:
http://www.nativetreesociety.org/fieldtrips/south_carolina/wadakoe_mountain.htm","","236283","1","","","","Public-Private","","Clinometer/laser rangefinder/sine","2.9'","35''","","Clearwater Branch","Jess Riddle","2003-09-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwadakoe_northend.htm","N"
"Eastern Redbud","Cercis canadensis","South Carolina","Pickens","Wadakoe Mountain","","","Trees were also measured on 11/1/2004. 
See link:
http://www.nativetreesociety.org/fieldtrips/south_carolina/wadakoe_mountain.htm","","236282","1","","","","Public-Private","52.4'","Clinometer/laser rangefinder/sine","1.6'","19''","","Clearwater Branch","Jess Riddle","2003-09-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwadakoe_northend.htm","N"
