"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Eastern Redbud","Cercis canadensis var. canadensis","Arkansas","Garland","Hot Springs National Park","34 30.967","-093 03.128","","","137049","1","34 30.967","-093 03.128","700.0 ft","Public - federal","39.8'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Turner Sharp","2016-09-05","","N"
"Eastern Redbud","Cercis canadensis var. canadensis","Kentucky","Edmonson","Mammoth Cave National Park","37 12.182","-086 07.538","","","297837","1","37 12.182","-086 07.538","740.0 ft","Public","43.4'","Clinometer/laser rangefinder/sine","2.2'","26''","","","Elijah Whitcomb","2023-06-23","","N"
"Eastern Redbud","Cercis canadensis var. canadensis","Kentucky","Edmonson","Mammoth Cave National Park","37 12.097","-086 07.457","","","297838","1","37 12.097","-086 07.457","730.0 ft","Public","45.4'","Clinometer/laser rangefinder/sine","2.8'","34''","","","Elijah Whitcomb","2023-06-23","","N"
"Eastern Redbud","Cercis canadensis var. canadensis","Maryland","Anne Arundel","Chase Creek Woods","","","","","280949","1","","","","Private","31.8'","Clinometer/laser rangefinder/sine","2.2'","26''","","","Colby Rucker","2003-07-01","","N"
"Eastern Redbud","Cercis canadensis var. canadensis","Missouri","St. Louis","Dr. Edmund A. Babler Memorial State Park","","","","","171893","1","","","","Public - state","31.0'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Beth Koebel","2008-04-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmissouri%2Fbabler%2Fbabler_state_park_chesterfield_m.htm","N"
"Eastern Redbud","Cercis canadensis var. canadensis","Nebraska","Sarpy","Fontenelle Forest","","","1400 Acres","","220662","1","","","","Private","3.1'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2013-11-03","","N"
"Eastern Redbud","Cercis canadensis var. canadensis","Nebraska","Sarpy","Fontenelle Forest","","","1400 Acres","","220659","1","","","","Private","38.7'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2013-11-03","","N"
"Eastern Redbud","Cercis canadensis var. canadensis","New York","Monroe","Durand Eastman Park","","","","","281892","1","","","","Public","35.7'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Elijah Whitcomb","2020-10-05","","N"
"Eastern Redbud","Cercis canadensis var. canadensis","New York","Oneida","Root Glen","","","","","192572","1","","","","Private","29.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2016-04-02","","N"
"Eastern Redbud","Cercis canadensis var. canadensis","New York","Oneida","Root Glen","","","","","192574","1","","","","Private","34.9'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2016-04-02","","N"
"Eastern Redbud","Cercis canadensis var. canadensis","Pennsylvania","Adams","Gettysburg National Military Park","","","Trees were measured over a four day period ending on51/2008","","168997","1","","","","Public - National Park","23.1'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Dale Luthringer","2008-05-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fgettysburg%2Fgettysburg_nmp_pa.htm","N"
"Eastern Redbud","Cercis canadensis var. canadensis","Tennessee","Davidson","Long Hunter State Park-Day Loop Trail","36 04.883","-086 31.593","","","282377","1","36 04.883","-086 31.593","470.0 ft","Public","17.3'","Clinometer/laser rangefinder/sine","0.7'","8''","","Bryant Grove Trail","Elijah Whitcomb","2021-08-22","","N"
"Eastern Redbud","Cercis canadensis var. canadensis","Tennessee","Warren","Rock Island State Park","35 48.005","-085 37.345","","","314570","1","35 48.005","-085 37.345","940.0 ft","Public","47.8'","Clinometer/laser rangefinder/sine","2.7'","32''","","","Elijah Whitcomb","2023-12-30","","N"
"Eastern Redbud","Cercis canadensis var. canadensis","West Virginia","54 Counties","West Virginia Historical Trees","38 20.669","-081 37.656","Trees that have died or been removed.This is a State wide listing except for Wood County which is in a separate list.
All heights determined by Sine method  with laser/inclinometer. Some trees have height missing because it was never taken or the Sine method was not used. These trees were mostly measured 2008 and before.","","312084","1","38 20.669","-081 37.656","","Public and Private","","Clinometer/laser rangefinder/sine","6.3'","75''","26.0'","Measured by L. Tabor 1998 off of Quarrier Street, Charleston, Kanawah County.","Various Various","1963-01-01","","N"
"Eastern Redbud","Cercis canadensis var. canadensis","West Virginia","54 Counties","West Virginia Single Tree Sites","39 39.505","-079 55.818","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313232","1","39 39.505","-079 55.818","","Private & Publc","26.6'","Clinometer/laser rangefinder/sine","5.0'","60''","34.0'","Measured by B. Hannah, S. Adams 2019.
Tree located in yard of house located 1400 Stewardstown Road, Morgantown, Monongalia County.
Circumference taken at 4 1/4'","Various Various","1963-01-01","","N"
