"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Curl-Leaf Mountain Mahogany","Cercocarpus ledifolius","California","Sacramento","California Single Tree Sites","","","","","268822","1","","","","Public-Private","22.0'","Clinometer/laser rangefinder/sine","12.0'","144''","36.0'","Measured by D. A. Kennedy, J. Freschutti 7/13/2016 near Calpine, Sierra County.","Various Various","2001-01-02","","N"
"Curl-Leaf Mountain Mahogany","Cercocarpus ledifolius","Idaho","Idaho","Salmon River Corridor -Hammer Creek To Confluence With Snake River","","","","","98154","1","","","1040.0 ft","Public - Bureau of land Management","18.1'","Clinometer/laser rangefinder/sine","2.3'","27''","","Idaho County, Skeleton Creek Camp, river left.
Circumference taken at 4'","Turner Sharp","2014-08-22","","N"
"Curl-Leaf Mountain Mahogany","Cercocarpus ledifolius","Idaho","Idaho","Salmon River Corridor -Hammer Creek To Confluence With Snake River","","","","","98153","1","","","1040.0 ft","Public - Bureau of land Management","18.4'","Clinometer/laser rangefinder/sine","2.3'","28''","","Idaho County, Skelelton Creek Camp.
Circumference taken at 3 1/2'","Turner Sharp","2014-08-22","","N"
"Curl-Leaf Mountain Mahogany","Cercocarpus ledifolius","Idaho","Lemhi","Salmon River Corridor - Corn Creek To Carey Creek","45 23.773","-115 36.071","","","78325","1","45 23.773","-115 36.071","2200.0 ft","Public - National Forest","17.9'","Clinometer/laser rangefinder/sine","2.3'","28''","","Valley County, Swimming Hole Camp at mile 61.6. Girth taken at 3 1/2' above midslope.","Turner Sharp, Nancy Ward","2013-08-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D5976","N"
"Curl-Leaf Mountain Mahogany","Cercocarpus ledifolius","Idaho","Lemhi","Salmon River Corridor - Corn Creek To Carey Creek","45 23.744","-115 36.137","","","78326","1","45 23.744","-115 36.137","2200.0 ft","Public - National Forest","20.1'","Clinometer/laser rangefinder/sine","3.2'","38''","","Valley County, Swimming Hole Camp at mile 61.6. Girth taken at 3 1/2'","Turner Sharp, Nancy Ward","2013-08-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D5976","N"
"Curl-Leaf Mountain Mahogany","Cercocarpus ledifolius","Idaho","Valley, Custer, Lemhi, Idaho","Middle Fork Of Salmon River Corridor-Dagger Falls To Confluence Of Salmon River","45 02.028","-114 43.387","The river Corridor is in the Federal Wild and Scenic system.","","196082","1","45 02.028","-114 43.387","3560.0 ft","Public - National Forest","13.8'","Clinometer/laser rangefinder/sine","1.8'","21''","","","Turner Sharp","2011-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D3521","N"
"Curl-Leaf Mountain Mahogany","Cercocarpus ledifolius","Idaho","Valley, Custer, Lemhi, Idaho","Middle Fork Of Salmon River Corridor-Dagger Falls To Confluence Of Salmon River","45 03.367","-114 43.413","The river Corridor is in the Federal Wild and Scenic system.","","196078","1","45 03.367","-114 43.413","3500.0 ft","Public - National Forest","13.9'","Clinometer/laser rangefinder/sine","1.8'","22''","","At Survey Camp","Turner Sharp","2011-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D3521","N"
"Curl-Leaf Mountain Mahogany","Cercocarpus ledifolius","Idaho","Valley, Custer, Lemhi, Idaho","Middle Fork Of Salmon River Corridor-Dagger Falls To Confluence Of Salmon River","45 03.367","-114 43.413","The river Corridor is in the Federal Wild and Scenic system.","","196076","1","45 03.367","-114 43.413","3500.0 ft","Public - National Forest","18.6'","Clinometer/laser rangefinder/sine","1.4'","17''","","At Survey Camp","Turner Sharp","2011-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D3521","N"
"Curl-Leaf Mountain Mahogany","Cercocarpus ledifolius","Idaho","Valley, Custer, Lemhi, Idaho","Middle Fork Of Salmon River Corridor-Dagger Falls To Confluence Of Salmon River","45 02.011","-114 43.405","The river Corridor is in the Federal Wild and Scenic system.","","196081","1","45 02.011","-114 43.405","3560.0 ft","Public - National Forest","23.9'","Clinometer/laser rangefinder/sine","1.8'","22''","","Near mouth of Wilson Creek","Turner Sharp","2011-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D3521","N"
"Curl-Leaf Mountain Mahogany","Cercocarpus ledifolius","Idaho","Valley, Custer, Lemhi, Idaho","Middle Fork Of Salmon River Corridor-Dagger Falls To Confluence Of Salmon River","45 03.367","-114 43.413","The river Corridor is in the Federal Wild and Scenic system.","","196077","1","45 03.367","-114 43.413","3500.0 ft","Public - National Forest","24.1'","Clinometer/laser rangefinder/sine","1.8'","22''","","At Survey Camp","Turner Sharp","2011-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D3521","N"
