"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sawara False Cypress","Chamaecyparis pisifera","Massachusetts","Hampden","Old Southwick Cemetery","","","","","250223","1","","","","Public-Private","70.0'","Clinometer/laser rangefinder/sine","10.5'","126''","","","Sam Goodwin","2014-10-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D6682%26sid%3Df4a6e4470aee0238cfd4fb23a06e6032","N"
"Sawara False Cypress","Chamaecyparis pisifera","New York","Delaware","St. Paul's Cemetery","","","","","225858","1","","","","Private","80.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2017-09-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7680","N"
"Sawara False Cypress","Chamaecyparis pisifera","New York","Monroe","Durand Eastman Park","","","","","281843","1","","","","Public","106.5'","Clinometer/laser rangefinder/sine","9.2'","110''","","Var. 'squarrosa'","Elijah Whitcomb","2020-10-05","","N"
"Sawara False Cypress","Chamaecyparis pisifera","New York","Nassau","Bailey Arboretum","","","42 Acres","","258149","1","","","","Public - county","99.0'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-04-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7661%26sid%3D69a263947cac23fff21a2aec97d3e7a4","N"
"Sawara False Cypress","Chamaecyparis pisifera","Ohio","Franklin","Ohio Single Tree Sites","","","","","302703","1","","","","Public, Private","60.0'","Clinometer/laser rangefinder/sine","","","","Measured by S. Galehouse 3/11/2010 in Bay Village, Cuyahoga County","Turner Sharp","2000-01-01","","N"
"Sawara False Cypress","Chamaecyparis pisifera","Ohio","Washington","Oak Grove Cemetery","39 25.510","-081 27.114","First Burial made in 1864","","272603","1","39 25.510","-081 27.114","700.0 ft","Public - City","85.4'","Clinometer/laser rangefinder/sine","7.8'","93''","34.0'","Section 35 along road
Crown spread is maximum, average is 31'
Triple leader but not fused at breast height","Turner Sharp","2014-04-01","","N"
"Sawara False Cypress","Chamaecyparis pisifera","Ohio","Washington","Oak Grove Cemetery","39 25.445","-081 27.023","First Burial made in 1864","","272604","1","39 25.445","-081 27.023","700.0 ft","Public - City","90.3'","Clinometer/laser rangefinder/sine","7.6'","91''","24.5'","Section 35 along road, 
crown spread is maximum, average is 23.8'","Turner Sharp","2014-04-01","","N"
"Sawara False Cypress","Chamaecyparis pisifera","Ohio","Washington","Oak Grove Cemetery","39 25.514","-081 27.118","First Burial made in 1864","","272602","1","39 25.514","-081 27.118","700.0 ft","Public - City","91.1'","Clinometer/laser rangefinder/sine","8.3'","100''","30.0'","Section 35 along road, 
Crown spread is maximum, average is 28.5'","Turner Sharp","2014-04-01","","N"
"Sawara False Cypress","Chamaecyparis pisifera","Pennsylvania","Chester","Wettstown Boarding School","","","","","133820","1","","","350.0 ft","Private","81.1'","Clinometer/laser rangefinder/sine","8.8'","106''","33.0'","","Scott Wade","2008-02-04","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fdauphin_and_chester_counties_pa.htm","N"
"Sawara False Cypress","Chamaecyparis pisifera","Pennsylvania","Clarion","Cooksburg Area-Private Property","","","","","147788","1","","","","Public -state, Private","73.3'","Clinometer/laser rangefinder/sine","6.6'","79''","","At MacBeth's Cabins-store","Dale Luthringer","2008-09-12","","N"
"Sawara False Cypress","Chamaecyparis pisifera","Pennsylvania","Clarion","Cooksburg Area-Private Property","","","","","147787","1","","","","Public -state, Private","85.4'","Clinometer/laser rangefinder/sine","5.8'","70''","","At MacBeths Cabins-store.","Dale Luthringer","2008-09-12","","N"
"Sawara False Cypress","Chamaecyparis pisifera","Pennsylvania","Various Counties","Pennsylvania Single Tree Sites","39 53.587","-075 24.471","","","255945","1","39 53.587","-075 24.471","","Public, Private","36.7'","Clinometer/laser rangefinder/sine","4.6'","55''","21.0'","Measured by S. Wade 10/13/2006. Located at Indian Orchards, 25 Copes Lane, near Media, Delaware County","Various Various","2000-01-01","","N"
"Sawara False Cypress","Chamaecyparis pisifera","Pennsylvania","Various Counties","Pennsylvania Single Tree Sites","40 39.908","-077 35.613","","","255966","1","40 39.908","-077 35.613","680.0 ft","Public, Private","71.9'","Clinometer/laser rangefinder/sine","10.8'","130''","26.0'","Measured by S. Wade 2/4/2008. 
Tree located at Pearl and Logan Street, Reedsville, Miflin County.","Various Various","2000-01-01","","N"
"Sawara False Cypress","Chamaecyparis pisifera","Pennsylvania","Warren","Buckaloons Recreation Area","41 50.234","-079 15.445","USFS Campground","","108840","2","41 50.234","-079 15.445","1150.0 ft","Public -federal","87.7'","Clinometer/laser rangefinder/sine","6.0'","72''","","Tree was identified as Moss Cypress. Height was measured to 5.9' x 86.4' on 4/2/2009.","Dale Luthringer, Will Blozan, Dale Luthringer, Edward Frank, Carl Harting","2011-04-13","","N"
"Sawara False Cypress","Chamaecyparis pisifera","Rhode Island","Newport","The Breakers","41 28.188","-071 17.959","A summer home of Vanderbilts now open to paying tourists.
15 acres","","256816","1","41 28.188","-071 17.959","","Private","57.5'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Turner Sharp","2021-10-15","","N"
"Sawara False Cypress","Chamaecyparis pisifera","Virginia","Orange","Montpelier - Plantation House Trees","","","","","224549","1","","","600.0 ft","Private - open to public","70.6'","Clinometer/laser rangefinder/sine","7.3'","88''","","typical form","Will Blozan, Jess Riddle","2005-10-17","","N"
"Sawara False Cypress","Chamaecyparis pisifera","Virginia","Orange","Montpelier - Plantation House Trees","","","","","224551","1","","","600.0 ft","Private - open to public","72.6'","Clinometer/laser rangefinder/sine","7.8'","94''","","""squamosa"" form - Moss Cypress","Will Blozan, Jess Riddle","2005-10-17","","N"
