"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Atlantic White Cedar","Chamaecyparis thyoides","Florida","Franklin","Tate's Hell State Forest","","","202,000 acres","","242635","1","","","","Public - state","45.5'","Clinometer/laser rangefinder/sine","9.6'","115''","","","James Parton","2010-07-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D72%26t%3D1100%26sid%3D0440e2c43a69f9c47a60098925d9aab1","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Florida","Franklin","Tate's Hell State Forest","","","202,000 acres","","242636","1","","","","Public - state","62.4'","Clinometer/laser rangefinder/sine","","","","","James Parton","2010-07-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D72%26t%3D1100%26sid%3D0440e2c43a69f9c47a60098925d9aab1","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Bristol","Copicut Woods","","","516 Acres and is part of the Southeastern Massachusetts Bioreserve. (13,600 acres)","","250667","1","","","","Public - city","59.3'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Doug Bidlack, Jared Lockwood","2017-03-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7949%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Bristol","Copicut Woods","","","516 Acres and is part of the Southeastern Massachusetts Bioreserve. (13,600 acres)","","250668","1","","","","Public - city","62.1'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Doug Bidlack, Jared Lockwood","2017-03-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7949%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Bristol","Copicut Woods","","","516 Acres and is part of the Southeastern Massachusetts Bioreserve. (13,600 acres)","","250669","1","","","","Public - city","62.1'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Doug Bidlack, Jared Lockwood","2017-03-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7949%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Bristol","Copicut Woods","","","516 Acres and is part of the Southeastern Massachusetts Bioreserve. (13,600 acres)","","250670","1","","","","Public - city","62.8'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Doug Bidlack, Jared Lockwood","2017-03-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7949%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Bristol","Copicut Woods","","","516 Acres and is part of the Southeastern Massachusetts Bioreserve. (13,600 acres)","","250671","1","","","","Public - city","64.8'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Doug Bidlack, Jared Lockwood","2017-03-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7949%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Bristol","Copicut Woods","","","516 Acres and is part of the Southeastern Massachusetts Bioreserve. (13,600 acres)","","250672","1","","","","Public - city","65.7'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Doug Bidlack, Jared Lockwood","2017-03-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7949%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Bristol","Copicut Woods","","","516 Acres and is part of the Southeastern Massachusetts Bioreserve. (13,600 acres)","","250673","1","","","","Public - city","66.4'","Clinometer/laser rangefinder/sine","6.7'","80''","16.8'","","Doug Bidlack, Jared Lockwood","2017-03-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7949%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Middlesex","Westborough Cedar Swamp","","","65 acres","","250877","1","","","","Public - city","59.8'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Jared Lockwood","2017-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7949%26sid%3Df01aed3bab3c2b41d036f39fba3b6a91%23p39666","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Middlesex","Westborough Cedar Swamp","","","65 acres","","250878","1","","","","Public - city","60.8'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Jared Lockwood","2017-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7949%26sid%3Df01aed3bab3c2b41d036f39fba3b6a91%23p39666","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Middlesex","Westborough Cedar Swamp","","","65 acres","","250879","1","","","","Public - city","69.5'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Jared Lockwood","2017-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7949%26sid%3Df01aed3bab3c2b41d036f39fba3b6a91%23p39666","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Suffolk","Massachusetts Single Tree Sites","","","","","255995","1","","","","Public-Private","","","1.9'","23''","","Measured by A. Joslin 7/15/2008 in the Blue Hills Reservation, Milford.","Various Various","2001-01-01","","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Suffolk","Massachusetts Single Tree Sites","41 53.257","-071 12.596","","","256023","1","41 53.257","-071 12.596","","Public-Private","71.9'","Clinometer/laser rangefinder/sine","5.1'","61''","","Measured by D. Bidlack 12/15/2012 Rehoboth State Forest near Rehoboth, Bistol County","Various Various","2001-01-01","","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Suffolk","Massachusetts Single Tree Sites","42 29.425","-071 17.614","","","256025","1","42 29.425","-071 17.614","","Public-Private","74.4'","Clinometer/laser rangefinder/sine","3.3'","40''","","Measured by D. Bidlack 3/1/2017 on Bedford Trustee Lands in near Bedford, Middlesex County","Various Various","2001-01-01","","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Suffolk","Massachusetts Single Tree Sites","41 53.247","-071 12.606","","","256024","1","41 53.247","-071 12.606","","Public-Private","74.5'","Clinometer/laser rangefinder/sine","4.4'","53''","","Measured by D. Bidlack 12/15/2012 i Rehoboth State Forest near Rehoboth, Bristol County","Various Various","2001-01-01","","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Massachusetts","Suffolk","Massachusetts Single Tree Sites","41 44.764","-070 48.651","","","256026","1","41 44.764","-070 48.651","","Public-Private","74.9'","Clinometer/laser rangefinder/sine","3.9'","47''","","Measured by D. Bidlack 3/1/2017 on Eastover Reservation Lands(75 acres) near Marion, Plymouth County.","Various Various","2001-01-01","","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Maryland","Anne Arundel","Arlington Echo Outdoor Education Center","","","","","45358","1","","","","Public - County Schools","55.9'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Colby Rucker","2002-05-22","","N"
"Atlantic White Cedar","Chamaecyparis thyoides","Maryland","Anne Arundel","Arlington Echo Outdoor Education Center","39 04.604","-076 36.447","","","45357","1","39 04.604","-076 36.447","","Public - County Schools","77.0'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Colby Rucker","2002-05-22","","N"
"Atlantic White Cedar","Chamaecyparis thyoides","New Jersey","Burlington","Cedar Swmp Natural Area","","","Natural area is 735 acres within the 34,725 acre Brenden Byrne State Forest","","170955","1","","","","Public - state","","Clinometer/laser rangefinder/sine","6.9'","82''","","","Doug Bidlack, Ellen Bidlack","2013-02-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D103%26t%3D7950%23p39603","N"
