"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Kentucky Yellowwood","Cladrastis kentukea","Alabama","Jackson","Walls Of Jericho","34 59.360","-086 06.108","","","315720","1","34 59.360","-086 06.108","910.0 ft","Public","64.4'","Clinometer/laser rangefinder/sine","2.5'","30''","","","Elijah Whitcomb","2024-04-20","","N"
"Kentucky Yellowwood","Cladrastis kentukea","Georgia","Fannin","Flat Top Mountain","","","","","281426","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","5.1'","61''","","","Jess Riddle","2005-06-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fflat_top_mountain.htm","N"
"Kentucky Yellowwood","Cladrastis kentukea","Georgia","Rabun","Southern Nantahala Wilderness Area","","","11,663 acres in Georgia on Chattaloochee National Forest
11,732 acres in North Carolina on Nantahala National Forest","","234425","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","7.3'","88''","","","Jess Riddle, Doug Riddle","2007-01-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fsouthern_nantahala_wilderness.htm","N"
"Kentucky Yellowwood","Cladrastis kentukea","Georgia","Rabun","Southern Nantahala Wilderness Area","","","11,663 acres in Georgia on Chattaloochee National Forest
11,732 acres in North Carolina on Nantahala National Forest","","234426","1","","","","Public - federal","74.4'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Jess Riddle, Doug Riddle","2007-01-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fsouthern_nantahala_wilderness.htm","N"
"Kentucky Yellowwood","Cladrastis kentukea","North Carolina","Clay","Southern Nantahala Wilderness Area","","","11,703 acres in North Carolina in Nantahala National Forest.
11,770 acres in Georgia in Chattahoochee National Forest","","227741","1","","","","Public - national","","Clinometer/laser rangefinder/sine","7.3'","88''","","Tree is in Georgia.","Jess Riddle, Doug Riddle","2007-01-30","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fsouthern_nantahala_wilderness.htm","N"
"Kentucky Yellowwood","Cladrastis kentukea","North Carolina","Clay","Southern Nantahala Wilderness Area","","","11,703 acres in North Carolina in Nantahala National Forest.
11,770 acres in Georgia in Chattahoochee National Forest","","227742","1","","","","Public - national","74.4'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Jess Riddle, Doug Riddle","2007-01-30","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fsouthern_nantahala_wilderness.htm","N"
"Kentucky Yellowwood","Cladrastis kentukea","North Carolina","Haywood","Baxter Creek","","","Baxter Creek into Big Creek into Pigeon River.","","230502","1","","","","Public - federal","81.5'","Clinometer/laser rangefinder/sine","6.3'","75''","","On Laurel Creek","Jess Riddle","2003-10-26","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fbaxter_creek_trail.htm","N"
"Kentucky Yellowwood","Cladrastis kentukea","New York","Oneida","Root Glen","","","","","192577","1","","","","Private","82.0'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Elijah Whitcomb, Tom Howard","2016-04-02","","N"
"Kentucky Yellowwood","Cladrastis kentukea","New York","Onondaga","Oakwood Cemetery","","","","","220499","1","","","","Public","49.6'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Elijah Whitcomb, Tom Howard","2020-11-15","","N"
"Kentucky Yellowwood","Cladrastis kentukea","South Carolina","Pickens","Wadakoe Mountain","","","Trees were also measured on 11/1/2004. 
See link:
http://www.nativetreesociety.org/fieldtrips/south_carolina/wadakoe_mountain.htm","","236300","1","","","","Public-Private","78.3'","Clinometer/laser rangefinder/sine","4.2'","50''","","West and North slopes","Jess Riddle","2003-09-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwadakoe_northend.htm","N"
