"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Flowering Dogwood","Cornus florida","Delaware","New Castle","Brandywine Creek State Park","","","","","142900","1","","","","State","52.4'","Clinometer/laser rangefinder/sine","2.0'","24''","","Within Tulip Tree Woods Preserve.","George Fieo","2011-01-09","","N"
"Flowering Dogwood","Cornus florida","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232110","1","","","","Public - federal","47.0'","Clinometer/laser rangefinder/sine","1.6'","19''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Flowering Dogwood","Cornus florida","Georgia","Fulton","Piedmont Park","","","185 Acre Park","","235288","1","","","","Public - city","36.5'","Clinometer/laser rangefinder/sine","5.3'","63''","","Circumference taken at 2'","Jess Riddle","2005-04-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fatlanta_trees.htm","N"
"Flowering Dogwood","Cornus florida","Georgia","Rabun","Camp Creek","","","Trees were measured on an alluvial flat.","","249341","1","","","","Public - federal","51.0'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Jess Riddle","2013-09-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D5736%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Flowering Dogwood","Cornus florida","Georgia","Rabun","Cliff Creek","","","","","235182","1","","","","Public - federal","45.1'","Clinometer/laser rangefinder/sine","1.5'","18''","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Flowering Dogwood","Cornus florida","Georgia","White","Horse Creek","","","","","249315","1","","","","Public - federal","52.0'","Clinometer/laser rangefinder/sine","2.2'","26''","","","Jess Riddle","2013-03-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D5208%26sid%3Da73770c2b894b38da07dbd9d5b148ced%23p22715","N"
"Flowering Dogwood","Cornus florida","Georgia","White","Mark Trail Wilderness","","","16,400 Acres
14 miles of the Appalachian Trail traverse the wilderness. Trees were measured just off trail on north facing slope.","","249597","1","","","","Public - federal","60.1'","Clinometer/laser rangefinder/sine","3.0'","36''","","","Jess Riddle","2015-04-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D7018%26sid%3D6744f533e0a6b584a1da3c0e88b3e7de","N"
"Flowering Dogwood","Cornus florida","Kentucky","Edmonson","Mammoth Cave National Park","37 12.909","-086 08.296","","","297423","1","37 12.909","-086 08.296","740.0 ft","Public","33.7'","Clinometer/laser rangefinder/sine","1.1'","13''","","","Elijah Whitcomb","2023-06-23","","N"
"Flowering Dogwood","Cornus florida","Kentucky","Franklin","Old State Capital Square","","","","","112329","1","","","","Public - state","21.9'","Clinometer/laser rangefinder/sine","2.2'","26''","","","Turner Sharp","2015-12-02","","N"
"Flowering Dogwood","Cornus florida","Maryland","Anne Arundel","Chase Creek Woods","","","","","280948","1","","","","Private","33.3'","Clinometer/laser rangefinder/sine","2.0'","24''","","","Colby Rucker","2003-07-01","","N"
