"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Dotted Hawthorn","Crataegus punctata","Pennsylvania","Elk","Portland Mills","","","Some trees were measured om 4/21/2009.
Much of the land is owned by the Pennyslvania fish and Boat Commission.","","138110","1","","","","Public - state","31.9'","Clinometer/laser rangefinder/sine","2.1'","25''","","","Dale Luthringer","2009-04-30","","N"
"Dotted Hawthorn","Crataegus punctata","Pennsylvania","Elk","Portland Mills","","","Some trees were measured om 4/21/2009.
Much of the land is owned by the Pennyslvania fish and Boat Commission.","","138111","1","","","","Public - state","33.3'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Dale Luthringer","2009-04-30","","N"
"Dotted Hawthorn","Crataegus punctata","Pennsylvania","Elk","Portland Mills","","","Some trees were measured om 4/21/2009.
Much of the land is owned by the Pennyslvania fish and Boat Commission.","","138112","1","","","","Public - state","41.7'","Clinometer/laser rangefinder/sine","2.3'","28''","","","Dale Luthringer","2009-04-30","","N"
"Dotted Hawthorn","Crataegus punctata","Pennsylvania","Forest","Hemlock Island","","","","","173814","1","","","1080.0 ft","Public - federal","","Clinometer/laser rangefinder/sine","1.3'","16''","","","Dale Luthringer, Edward Frank","2008-07-16","","N"
"Dotted Hawthorn","Crataegus punctata","Pennsylvania","Forest","King Pennisular","","","","","139102","1","","","1020.0 ft","Public - National Forest","25.0'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Edwad Frank","2009-11-02","","N"
"Dotted Hawthorn","Crataegus punctata","Pennsylvania","Forest","King Pennisular","","","","","139101","1","","","1020.0 ft","Public - National Forest","27.2'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Edwad Frank","2009-11-02","","N"
"Dotted Hawthorn","Crataegus punctata","Pennsylvania","Venango","Kibbe's Island Campground","","","Located on Holeman Island","","139412","1","","","1200.0 ft","Private","31.4'","Clinometer/laser rangefinder/sine","3.3'","40''","36.0'","","Dale Luthringer, Edward Frank","2007-09-26","","N"
"Dotted Hawthorn","Crataegus punctata","Pennsylvania","Venango","Kibbe's Island Campground","","","Located on Holeman Island","","139416","1","","","1200.0 ft","Private","33.9'","Clinometer/laser rangefinder/sine","5.5'","66''","45.8'","Measured on 9/10/2007","Dale Luthringer, Edward Frank","2007-09-26","","N"
"Dotted Hawthorn","Crataegus punctata","Pennsylvania","Warren","Buckaloons Recreation Area","41 50.272","-079 15.373","USFS Campground","","139971","1","41 50.272","-079 15.373","1150.0 ft","Public -federal","45.0'","Clinometer/laser rangefinder/sine","1.9'","23''","","","Dale Luthringer, Edward Frank, Carl Harting","2011-04-13","","N"
"Dotted Hawthorn","Crataegus punctata","Pennsylvania","Warren","Courson Island","","","","","140004","1","","","1100.0 ft","Public- federal","42.5'","Clinometer/laser rangefinder/sine","4.9'","59''","45.9'","","Dale Luthringer, Edward Frank, Anthony Kelly","2007-09-04","","N"
