"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Hawthorn","Crataegus spp.","North Carolina","Buncombe","Biltmore Estate","","","Trees were measured during an ENT gathering.","","243509","1","","","","Private","27.9'","Clinometer/laser rangefinder/sine","","","","","James Parton","2008-04-27","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fbiltmore%2Fents_gathering_biltmore_estate.htm","N"
"Hawthorn","Crataegus spp.","North Carolina","Buncombe","Mission Hospital Hawthorns","","","","","243392","1","","","","Private","","Clinometer/laser rangefinder/sine","4.0'","48''","","","James Parton","2008-02-06","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fhospital%2Fhospital_hawthorns.htm","N"
"Hawthorn","Crataegus spp.","North Carolina","Buncombe","Mission Hospital Hawthorns","","","","","243393","1","","","","Private","","Clinometer/laser rangefinder/sine","4.1'","49''","","","James Parton","2008-02-06","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fhospital%2Fhospital_hawthorns.htm","N"
"Hawthorn","Crataegus spp.","North Carolina","Buncombe","Mission Hospital Hawthorns","","","","","243394","1","","","","Private","","Clinometer/laser rangefinder/sine","4.5'","54''","","","James Parton","2008-02-06","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fhospital%2Fhospital_hawthorns.htm","N"
"Hawthorn","Crataegus spp.","North Carolina","Henderson","Lanning Woods","","","Mostly Private property of James Lanning between Fletcher and Mountain Home.","","252264","1","","","","Private","21.3'","Clinometer/laser rangefinder/sine","","","","","James Parton","2010-12-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D1833%26sid%3D7881d3c4690831c012a37d164b92e700","N"
"Hawthorn","Crataegus spp.","North Carolina","Transylvania","Sycamore Flats Picnic Area","","","","","243557","1","","","","Public - national","35.5'","Clinometer/laser rangefinder/sine","2.0'","24''","","","James Parton","2008-04-01","","N"
"Hawthorn","Crataegus spp.","North Carolina","Transylvania","Sycamore Flats Picnic Area","","","","","243555","1","","","","Public - national","36.2'","Clinometer/laser rangefinder/sine","2.7'","33''","","","James Parton","2008-04-01","","N"
"Hawthorn","Crataegus spp.","North Carolina","Transylvania","Sycamore Flats Picnic Area","","","","","243556","1","","","","Public - national","39.3'","Clinometer/laser rangefinder/sine","2.5'","30''","","","James Parton","2008-04-01","","N"
"Hawthorn","Crataegus spp.","North Carolina","Transylvania","Sycamore Flats Picnic Area","","","","","243558","1","","","","Public - national","41.4'","Clinometer/laser rangefinder/sine","2.0'","24''","","","James Parton","2008-04-01","","N"
"Hawthorn","Crataegus spp.","North Carolina","Transylvania","Sycamore Flats Picnic Area","","","","","243554","1","","","","Public - national","41.7'","Clinometer/laser rangefinder/sine","3.8'","46''","","","James Parton","2008-04-01","","N"
"Hawthorn","Crataegus spp.","New York","Cayuga","Owasco Flats Nature Preserve","","","","","242680","1","","","","Public","26.6'","Clinometer/laser rangefinder/sine","1.6'","20''","","","Elijah Whitcomb","2021-05-17","","N"
"Hawthorn","Crataegus spp.","Ohio","Franklin","Ohio Single Tree Sites","41 26.164","-082 06.419","","","302709","1","41 26.164","-082 06.419","","Public, Private","30.6'","Clinometer/laser rangefinder/sine","5.3'","64''","42.0'","Circumference taken at 4'
Measured by S. Galehouse 9/30/2011 in a park along Black River in Lorain County.","Turner Sharp","2000-01-01","","N"
"Hawthorn","Crataegus spp.","Pennsylvania","Bucks","Dark Hollow Park","","","","","166243","1","","","","Public - county","35.7'","Clinometer/laser rangefinder/sine","1.9'","23''","","","George Fieo","2009-08-08","nativetreesociety.org%2Ffieldtrips%2Fpenna%2F20090824-darkhollow%2Fdark_hollow_park_bucks_county_pa.htm","N"
