"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Green Hawthorn","Crataegus viridis","Arkansas","Arkansas","White River National Wildlife Refuge","","","Trees were measured along trail leading to the state champion Bald Cypress.","","241847","1","","","","Public - federal","45.0'","Clinometer/laser rangefinder/sine","2.2'","26''","","","Jess Riddle","2014-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6811%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Green Hawthorn","Crataegus viridis","Arkansas","Union","Felsenthal Nationalwildlife Refuge","","","64,902 Acres","","241501","1","","","","Public - federal","33.3'","Clinometer/laser rangefinder/sine","2.3'","27''","","","Jess Riddle","2014-04-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6274%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d","N"
"Green Hawthorn","Crataegus viridis","Arkansas","Union","Felsenthal Nationalwildlife Refuge","","","64,902 Acres","","241500","1","","","","Public - federal","36.2'","Clinometer/laser rangefinder/sine","1.8'","22''","","","Jess Riddle","2014-04-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6274%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d","N"
"Green Hawthorn","Crataegus viridis","Georgia","Putnam","Rock Creek","","","","","234448","1","","","","Public - federal","42.0'","Clinometer/laser rangefinder/sine","2.5'","30''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Green Hawthorn","Crataegus viridis","South Carolina","Hampton","Hamilton Ridge Wildlife Management Area","","","13000 acres","","252653","1","","","","Public - state","65.6'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Jess Riddle","2014-06-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D6408","N"
"Green Hawthorn","Crataegus viridis","South Carolina","Hampton","William Webb Wildlife Center","","","5,866 Acres","","236757","1","","","","Public - state","","Clinometer/laser rangefinder/sine","2.9'","35''","","","Jess Riddle","2006-01-23","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwebb%2Fwebb_wildlife_center.htm","N"
"Green Hawthorn","Crataegus viridis","South Carolina","Hampton","William Webb Wildlife Center","","","5,866 Acres","","236758","1","","","","Public - state","39.7'","Clinometer/laser rangefinder/sine","2.9'","35''","28.0'","Crown spread is maximum, minimum is 27'","Jess Riddle","2006-01-23","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwebb%2Fwebb_wildlife_center.htm","N"
"Green Hawthorn","Crataegus viridis","South Carolina","Hampton","William Webb Wildlife Center","","","5,866 Acres","","236759","1","","","","Public - state","42.4'","Clinometer/laser rangefinder/sine","3.6'","43''","","","Jess Riddle","2006-01-23","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwebb%2Fwebb_wildlife_center.htm","N"
"Green Hawthorn","Crataegus viridis","South Carolina","Hampton","William Webb Wildlife Center","","","5,866 Acres","","236760","1","","","","Public - state","43.4'","Clinometer/laser rangefinder/sine","3.3'","39''","","","Jess Riddle","2006-01-23","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwebb%2Fwebb_wildlife_center.htm","N"
"Green Hawthorn","Crataegus viridis","South Carolina","Richland","Congaree National Park","","","","","238595","1","","","","Public - national","41.1'","Clinometer/laser rangefinder/sine","2.5'","30''","","","Jess Riddle, Michael Davie, Marcus Houchins","2007-04-02","","N"
