"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Common Persimmon","Diospyros virginiana","Alabama","Jackson","Walls Of Jericho","34 59.092","-086 05.774","","","315723","1","34 59.092","-086 05.774","805.0 ft","Public","106.3'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Elijah Whitcomb","2024-04-20","","N"
"Common Persimmon","Diospyros virginiana","Alabama","Jackson","Walls Of Jericho","34 59.078","-086 05.546","","","315740","1","34 59.078","-086 05.546","770.0 ft","Public","106.3'","Clinometer/laser rangefinder/sine","3.8'","45''","","","Elijah Whitcomb","2024-04-20","","N"
"Common Persimmon","Diospyros virginiana","Alabama","Jackson","Walls Of Jericho","34 58.915","-086 05.394","","","315741","1","34 58.915","-086 05.394","1095.0 ft","Public","108.4'","Clinometer/laser rangefinder/sine","3.8'","45''","","","Elijah Whitcomb","2024-04-20","","N"
"Common Persimmon","Diospyros virginiana","Alabama","Jackson","Walls Of Jericho","34 59.079","-086 05.536","","","315742","1","34 59.079","-086 05.536","795.0 ft","Public","110.4'","Clinometer/laser rangefinder/sine","3.5'","42''","","","Elijah Whitcomb","2024-04-20","","N"
"Common Persimmon","Diospyros virginiana","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174807","1","","","","Public - federal","77.0'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Common Persimmon","Diospyros virginiana","Delaware","New Castle","Brandywine Creek State Park","","","","","142898","1","","","","State","75.5'","Clinometer/laser rangefinder/sine","3.7'","44''","","","George Fieo","2011-01-09","","N"
"Common Persimmon","Diospyros virginiana","Georgia","Dekalb","Herbert Taylor/Daniel Johnson Nature Preserve, Atlanta, GA","","","","","19249","1","","","","Park","102.0'","Clinometer/laser rangefinder/sine","3.6'","43''","","","Eli ?","2012-01-28","","N"
"Common Persimmon","Diospyros virginiana","Illinois","Sangamon","Illinois Single Tree Sites","38 40.989","-090 04.722","","","171011","1","38 40.989","-090 04.722","","Public- Private","69.2'","Clinometer/laser rangefinder/sine","4.5'","54''","","Tree is in Horseshoe Lake State Park, Madison County
Measured by T. sharp 7/20/2015","Various Various","2000-01-01","","N"
"Common Persimmon","Diospyros virginiana","Illinois","Wabash","Beall Woods State Park","","","All trees measured where on or within sight of the Tulip Tree Trail.","","273884","1","","","","Public - state","114.2'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Elijah Woods","2020-09-23","http%3A%2F%2Fents-bbs.org%2Fviewtopic.php%3Ff%3D78%26t%3D8733","N"
"Common Persimmon","Diospyros virginiana","Kentucky","Edmonson","Mammoth Cave National Park","37 12.898","-086 08.309","","","297426","1","37 12.898","-086 08.309","730.0 ft","Public","56.7'","Clinometer/laser rangefinder/sine","1.8'","22''","","","Elijah Whitcomb","2023-06-23","","N"
"Common Persimmon","Diospyros virginiana","Kentucky","Edmonson","Mammoth Cave National Park","","","","","76408","1","","","680.0 ft","Public","61.5'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Turner Sharp","2013-03-19","","N"
