"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"American Beech","Fagus grandifolia","Alabama","Jackson","Walls Of Jericho","34 59.076","-086 05.552","","","315743","1","34 59.076","-086 05.552","780.0 ft","Public","112.7'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Elijah Whitcomb","2024-04-20","","N"
"American Beech","Fagus grandifolia","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243100","1","","","","Public - federal","114.8'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"American Beech","Fagus grandifolia","Arkansas","Columbia","Logoly State Park","","","368 Acres","","234003","1","","","","Public - state","71.5'","Clinometer/laser rangefinder/sine","7.6'","91''","","Height is Not Less Then(NLT)","Don Bragg","2008-09-08","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Flogoly_state_park_ar.htm","N"
"American Beech","Fagus grandifolia","District of Columbia","District Of Columbia","Glover - Archbold Park","","","This park is administered by the the NPS Rock Creek
Park staff","","76122","1","","","200.0 ft","Public - National Park","117.1'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2008-10-24","","N"
"American Beech","Fagus grandifolia","District of Columbia","District Of Columbia","Glover - Archbold Park","","","This park is administered by the the NPS Rock Creek
Park staff","","76123","1","","","200.0 ft","Public - National Park","123.9'","Clinometer/laser rangefinder/sine","7.0'","85''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2008-10-24","","N"
"American Beech","Fagus grandifolia","District of Columbia","District Of Columbia","Klingle Valley Parkway","","","This is an administrative unit of Rock Creek Park","","76048","1","","","200.0 ft","Public - National Park","110.7'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Darian Copiz","2004-12-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Fklingle%2Fklingle_valley.htm","N"
"American Beech","Fagus grandifolia","District of Columbia","District Of Columbia","Klingle Valley Parkway","","","This is an administrative unit of Rock Creek Park","","76047","1","","","200.0 ft","Public - National Park","119.3'","Clinometer/laser rangefinder/sine","8.3'","100''","","","Darian Copiz","2004-12-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Fklingle%2Fklingle_valley.htm","N"
"American Beech","Fagus grandifolia","District of Columbia","District Of Columbia","Melvin Hazen Trail Into Rock Creek Park","","","","","76096","1","","","200.0 ft","Public - National Park","111.2'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Will Blozan","2005-01-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"American Beech","Fagus grandifolia","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175037","1","","","","Public - federal","79.9'","Clinometer/laser rangefinder/sine","12.3'","148''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"American Beech","Fagus grandifolia","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175036","1","","","","Public - federal","104.4'","Clinometer/laser rangefinder/sine","12.1'","145''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"American Beech","Fagus grandifolia","District of Columbia","District Of Columbia","Theodore Roosevelt Island","","","Roosevelt Island is administered by the GW Memorial Parkway unit of the NPS","","128215","1","","","50.0 ft","Public - National Park","74.5'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Darian Copiz","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Froosevelt_island.htm","N"
"American Beech","Fagus grandifolia","District of Columbia","District Of Columbia","Trees Near Roadways And Parking Lots (Rock Creek Park)","","","","","126754","1","","","200.0 ft","Public - National Park","114.0'","Clinometer/laser rangefinder/sine","9.2'","110''","","","Will Blozan","2005-01-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"American Beech","Fagus grandifolia","District of Columbia","District Of Columbia","Trees Near Roadways And Parking Lots (Rock Creek Park)","","","","","126755","1","","","200.0 ft","Public - National Park","118.7'","Clinometer/laser rangefinder/sine","8.3'","99''","","","Will Blozan","2005-01-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"American Beech","Fagus grandifolia","Delaware","New Castle","Brandywine Creek State Park","","","","","142959","1","","","","State","82.4'","Clinometer/laser rangefinder/sine","12.9'","155''","","","George Fieo","2011-01-09","","N"
