"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"European Beech","Fagus sylvatica","Lesser Poland Voivodeship","Kraków","Planty Park","","","This city park was developed in the 1820-1840 time period  by tearing down the walls surrounding  the  old city of Krakow  and dedicating the space to an urban lineral park of about 2.5 miles of varying width.","","283514","1","","","","Public - city","81.0'","Clinometer/laser rangefinder/sine","14.3'","172''","101.0'","Tree is north of Wewel Hill. Crown spread is an average of six spoke method.","Turner Sharp, Susan Sharp","2016-03-24","","N"
"European Beech","Fagus sylvatica","South Bohemian Region","Ceský Krumlov","Cesky Kumlov Castle Garden","","","UNESCO WORLD HERITAGE SITE.","","284681","1","","","","Public - federal","93.5'","Clinometer/laser rangefinder/sine","15.5'","186''","","","Turner Sharp","2016-03-18","","N"
"European Beech","Fagus sylvatica","Delaware","New Castle","Rockwood Park","","","","","75461","1","","","","Public - County Park","59.9'","Clinometer/laser rangefinder/sine","9.8'","118''","","Tree is a weeping form","Scott Wade, Meg Varnes","2007-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fdelaware%2Frockwood%2Fdelaware_trees.htm","N"
"European Beech","Fagus sylvatica","New York","Cayuga","Fort Hill Cemetery","42 55.465","-076 34.165","","","214927","1","42 55.465","-076 34.165","755.0 ft","Public","74.1'","Clinometer/laser rangefinder/sine","13.5'","162''","","","Elijah Whitcomb","2020-09-07","","N"
"European Beech","Fagus sylvatica","New York","Nassau","Bailey Arboretum","","","42 Acres","","258150","1","","","","Public - county","103.1'","Clinometer/laser rangefinder/sine","","","","f. purpurea","Erik Danielson","2016-04-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7661%26sid%3D69a263947cac23fff21a2aec97d3e7a4","N"
"European Beech","Fagus sylvatica","Ohio","Cuyahoga","Huntington Reservation","","","","","5909","1","","","","Metroparks","77.4'","Clinometer/laser rangefinder/sine","","","","","Steve Galehouse","2011-08-20","","N"
"European Beech","Fagus sylvatica","Ohio","Washington","Marietta College Campus","39 24.962","-081 26.985","Trees were measured between 1/29/2020 and 2/9/2020","","272967","1","39 24.962","-081 26.985","","Private & Publc","44.2'","Clinometer/laser rangefinder/sine","1.8'","22''","","'f. purpurea 'pendula'","Turner Sharp","2020-02-09","","N"
"European Beech","Fagus sylvatica","Pennsylvania","Erie","Mercyhurst University - North East Campus","","","84 Acre campus","","229966","1","","","800.0 ft","Private","68.0'","Clinometer/laser rangefinder/sine","9.7'","116''","68.1'","Crown spread is an average.
cv ""purpurea""  - Cooper Beech","Dale Luthringer","2007-12-26","","N"
"European Beech","Fagus sylvatica","Pennsylvania","Philadelphia","Wissahickon Valley Park","40 04.800","-075 14.056","","","214528","1","40 04.800","-075 14.056","175.0 ft","Public - city","102.5'","Clinometer/laser rangefinder/sine","21.4'","257''","","","Scott Wade","2006-01-11","","N"
"European Beech","Fagus sylvatica","Pennsylvania","Various Counties","Pennsylvania Single Tree Sites","39 58.718","-075 35.367","","","255943","1","39 58.718","-075 35.367","","Public, Private","64.7'","Clinometer/laser rangefinder/sine","12.1'","145''","93.0'","Measured by S. Wade 10/13/06. Tree located at the Hain Celestial Group, 700 Old Fernhill Road, West Chester, Chester County.","Various Various","2000-01-01","","N"
"European Beech","Fagus sylvatica","Pennsylvania","Various Counties","Pennsylvania Single Tree Sites","39 58.692","-075 35.346","","","255944","1","39 58.692","-075 35.346","","Public, Private","80.5'","Clinometer/laser rangefinder/sine","15.8'","190''","90.0'","Measured by S. Wade 10/13/06. Tree located at the Hain Celestial Group, 700 Old Fernhill Road, West Chester, Chester County.","Various Various","2000-01-01","","N"
"European Beech","Fagus sylvatica","Pennsylvania","Various Counties","Pennsylvania Single Tree Sites","41 50.730","-079 08.513","","","255899","1","41 50.730","-079 08.513","","Public, Private","83.6'","Clinometer/laser rangefinder/sine","15.9'","191''","95.1'","Tree located in Warren, Warren County. Measured by D. Luthringer, Ed Frank, Anthony Kelly on 9/2/2007.
Circumference taken at 2'. Tree is var. purpurea or Copper Beech.","Various Various","2000-01-01","","N"
"European Beech","Fagus sylvatica","Rhode Island","Newport","The Breakers","41 28.130","-071 17.919","A summer home of Vanderbilts now open to paying tourists.
15 acres","","256815","1","41 28.130","-071 17.919","","Private","66.0'","Clinometer/laser rangefinder/sine","13.1'","157''","","Copper Beech 'purperea'","Turner Sharp","2021-10-15","","N"
"European Beech","Fagus sylvatica","West Virginia","54 Counties","West Virginia Single Tree Sites","39 25.958","-081 09.905","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313197","1","39 25.958","-081 09.905","640.0 ft","Private & Publc","86.2'","Clinometer/laser rangefinder/sine","","","88.0'","Measured by T. Sharp, C. Minton 2017.
CV: atropuncia
Tree is a fused multistem.at 18.7' circumference.
Tree located at St. Mary's Correctional Center in front of Superintendent's old residence.
Previously measured by T. Sharp 9/30/2009 at 85.5', 212.4"" (MS), 71'.","Various Various","1963-01-01","","N"
