"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Eastern Swampprivet","Forestiera acuminata","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241828","1","","","","Public - state","41.4'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Swampprivet","Forestiera acuminata","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241827","1","","","","Public - state","42.5'","Clinometer/laser rangefinder/sine","3.5'","42''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Swampprivet","Forestiera acuminata","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241826","1","","","","Public - state","43.7'","Clinometer/laser rangefinder/sine","1.8'","21''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Swampprivet","Forestiera acuminata","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241825","1","","","","Public - state","44.3'","Clinometer/laser rangefinder/sine","1.3'","15''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Swampprivet","Forestiera acuminata","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241824","1","","","","Public - state","46.9'","Clinometer/laser rangefinder/sine","2.1'","25''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Swampprivet","Forestiera acuminata","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241823","1","","","","Public - state","47.5'","Clinometer/laser rangefinder/sine","2.1'","25''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Swampprivet","Forestiera acuminata","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241822","1","","","","Public - state","49.6'","Clinometer/laser rangefinder/sine","3.5'","42''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Swampprivet","Forestiera acuminata","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241821","1","","","","Public - state","49.7'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Swampprivet","Forestiera acuminata","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241820","1","","","","Public - state","51.2'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Swampprivet","Forestiera acuminata","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241819","1","","","","Public - state","56.0'","Clinometer/laser rangefinder/sine","1.8'","21''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Swampprivet","Forestiera acuminata","South Carolina","Hampton","Hamilton Ridge Wildlife Management Area","","","13000 acres","","252654","1","","","","Public - state","42.0'","Clinometer/laser rangefinder/sine","2.7'","32''","","","Jess Riddle","2014-06-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D6408","N"
