"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"White Ash","Fraxinus americana","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243101","1","","","","Public - federal","113.6'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"White Ash","Fraxinus americana","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241647","1","","","","Private","128.2'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"White Ash","Fraxinus americana","District of Columbia","District Of Columbia","Glover - Archbold Park","","","This park is administered by the the NPS Rock Creek
Park staff","","76125","1","","","200.0 ft","Public - National Park","118.4'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2008-10-24","","N"
"White Ash","Fraxinus americana","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175032","1","","","","Public - federal","115.8'","Clinometer/laser rangefinder/sine","9.9'","119''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"White Ash","Fraxinus americana","District of Columbia","District Of Columbia","Trees Near Roadways And Parking Lots (Rock Creek Park)","","","","","126761","1","","","200.0 ft","Public - National Park","126.3'","Clinometer/laser rangefinder/sine","10.2'","122''","","","Will Blozan","2005-01-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"White Ash","Fraxinus americana","Delaware","New Castle","Brandywine Creek State Park","","","","","142946","1","","","","State","129.5'","Clinometer/laser rangefinder/sine","11.2'","134''","","Within Tulip Tree Woods Preserve.","George Fieo","2011-01-09","","N"
"White Ash","Fraxinus americana","Delaware","New Castle","Brandywine Creek State Park","","","","","142947","1","","","","State","140.1'","Clinometer/laser rangefinder/sine","6.3'","76''","","","George Fieo","2011-01-09","","N"
"White Ash","Fraxinus americana","Delaware","New Castle","Brandywine Creek State Park","","","","","142948","1","","","","State","142.9'","Clinometer/laser rangefinder/sine","11.3'","136''","","","George Fieo","2011-01-09","","N"
"White Ash","Fraxinus americana","Delaware","New Castle","Brandywine Creek State Park","","","","","142949","1","","","","State","147.4'","Clinometer/laser rangefinder/sine","8.8'","106''","","","George Fieo","2011-01-09","","N"
"White Ash","Fraxinus americana","Delaware","New Castle","Brandywine Creek State Park","","","","","142950","1","","","","State","147.5'","Clinometer/laser rangefinder/sine","9.6'","115''","","","George Fieo","2011-01-09","","N"
