"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Biltmore Ash","Fraxinus americana var. biltmoreana","Alabama","Jackson","Walls Of Jericho","34 59.088","-086 05.470","","","315736","1","34 59.088","-086 05.470","845.0 ft","Public","127.7'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Elijah Whitcomb","2024-04-20","","N"
"Biltmore Ash","Fraxinus americana var. biltmoreana","Kentucky","Edmonson","Mammoth Cave National Park","37 13.068","-086 13.629","","","297299","1","37 13.068","-086 13.629","665.0 ft","Public","117.3'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Elijah Whitcomb","2023-06-23","","N"
"Biltmore Ash","Fraxinus americana var. biltmoreana","Kentucky","Edmonson","Mammoth Cave National Park","37 12.406","-086 14.823","","","297330","1","37 12.406","-086 14.823","475.0 ft","Public","128.6'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Elijah Whitcomb","2023-06-23","","N"
"Biltmore Ash","Fraxinus americana var. biltmoreana","Kentucky","Edmonson","Mammoth Cave National Park","37 11.751","-086 09.113","","","297714","1","37 11.751","-086 09.113","755.0 ft","Public","132.4'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Elijah Whitcomb","2023-06-23","","N"
"Biltmore Ash","Fraxinus americana var. biltmoreana","Kentucky","Edmonson","Mammoth Cave National Park","37 08.857","-086 05.383","","","297453","1","37 08.857","-086 05.383","750.0 ft","Public","132.6'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Elijah Whitcomb","2023-06-23","","N"
"Biltmore Ash","Fraxinus americana var. biltmoreana","Kentucky","Edmonson","Mammoth Cave National Park","37 12.581","-086 13.477","","","297818","1","37 12.581","-086 13.477","540.0 ft","Public","133.5'","Clinometer/laser rangefinder/sine","7.9'","94''","","","Elijah Whitcomb","2023-06-23","","N"
"Biltmore Ash","Fraxinus americana var. biltmoreana","Kentucky","Edmonson","Mammoth Cave National Park","37 10.812","-086 06.603","","","297581","1","37 10.812","-086 06.603","425.0 ft","Public","135.6'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Elijah Whitcomb","2023-06-23","","N"
"Biltmore Ash","Fraxinus americana var. biltmoreana","Kentucky","Edmonson","Mammoth Cave National Park","37 08.841","-086 05.331","","","297454","1","37 08.841","-086 05.331","750.0 ft","Public","136.7'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Elijah Whitcomb","2023-06-23","","N"
"Biltmore Ash","Fraxinus americana var. biltmoreana","Kentucky","Edmonson","Mammoth Cave National Park","37 13.378","-086 13.627","","","297331","1","37 13.378","-086 13.627","565.0 ft","Public","139.0'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Elijah Whitcomb","2023-06-23","","N"
"Biltmore Ash","Fraxinus americana var. biltmoreana","Kentucky","Edmonson","Mammoth Cave National Park","37 10.573","-086 06.686","","","297644","1","37 10.573","-086 06.686","","Public","139.4'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Elijah Whitcomb","2023-06-23","","N"
