"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Black Ash","Fraxinus nigra","Iowa","Polk","Iowa Single Tree Sites","42 53.711","-091 09.421","","","233606","1","42 53.711","-091 09.421","","Public - state","120.0'","Clinometer/laser rangefinder/sine","9.1'","109''","","Measured by M. Rouw 3/2011 on a tract bordering the Mississippi River in Clayton County.","Various Various","2000-01-01","","N"
"Black Ash","Fraxinus nigra","Michigan","Gogebic","Clark Lake","","","","","239981","1","","","","Public - federal","87.6'","Clinometer/laser rangefinder/sine","6.0'","72''","","At trail head on north side of Katherine Lake.","Don Bragg","2005-09-13","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmichigan%2Fkatherine%2Fkatherine_lake.htm","N"
"Black Ash","Fraxinus nigra","Michigan","Gogebic","Clark Lake","","","","","239982","1","","","","Public - federal","89.5'","Clinometer/laser rangefinder/sine","7.6'","91''","","At trail head on north side of Katherine Lake.","Don Bragg","2005-09-13","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmichigan%2Fkatherine%2Fkatherine_lake.htm","N"
"Black Ash","Fraxinus nigra","New York","Cattaraugus","Zoar Valley","","","","","221825","1","","","","Public","66.8'","Clinometer/laser rangefinder/sine","1.9'","23''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Black Ash","Fraxinus nigra","New York","Franklin","Saranac Lakes Wild Forest","","","86,000 discontinuous acres including 19,000 acres of water.","","265401","1","","","","Public - state","67.0'","Clinometer/laser rangefinder/sine","2.9'","35''","","","Erik Danielson","2017-12-01","","N"
"Black Ash","Fraxinus nigra","New York","Franklin","Saranac Lakes Wild Forest","","","86,000 discontinuous acres including 19,000 acres of water.","","265402","1","","","","Public - state","72.5'","Clinometer/laser rangefinder/sine","3.0'","36''","","","Erik Danielson","2017-12-01","","N"
"Black Ash","Fraxinus nigra","New York","Madison","Cicero Swamp Wildlife Management Area","","","5,000 acres","","257324","1","","","","Public - state","73.5'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Jess Riddle","2008-07-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnew_york%2Fcicero%2Fcicero_swamp_wildlife_management.htm","N"
"Black Ash","Fraxinus nigra","New York","Madison","Cicero Swamp Wildlife Management Area","","","5,000 acres","","257325","1","","","","Public - state","91.1'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Jess Riddle","2008-07-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnew_york%2Fcicero%2Fcicero_swamp_wildlife_management.htm","N"
"Black Ash","Fraxinus nigra","New York","Monroe","Abraham Lincoln Park","43 11.476","-077 30.952","","","323113","1","43 11.476","-077 30.952","275.0 ft","Public","66.5'","Clinometer/laser rangefinder/sine","3.5'","42''","","Two stems; CBH is of larger stem","Elijah Whitcomb","2025-12-26","","N"
"Black Ash","Fraxinus nigra","New York","Nassau","Shu Swamp","","","60 acres
Also known as the Charles T. Church Nature Preserve","","258332","1","","","","Public-Private","89.0'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-04-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7662%26sid%3Dc5e8d2b41b9f1f19f1de028e023dbcbf","N"
"Black Ash","Fraxinus nigra","New York","Wayne","Zurich Bog","","","","","221779","1","","","","Private","79.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-06-03","","N"
"Black Ash","Fraxinus nigra","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220901","1","","","","Public (NYS)","85.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"Black Ash","Fraxinus nigra","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220791","1","","","","Public (NYS)","87.1'","Clinometer/laser rangefinder/sine","3.8'","46''","","Measured by Jess Riddle, posted to NTS BBS 3/11/2012.","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"Black Ash","Fraxinus nigra","New York","Wayne/Cayuga","Howland's Island","43 05.604","-076 41.507","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220867","1","43 05.604","-076 41.507","400.0 ft","Public (NYS)","94.3'","Clinometer/laser rangefinder/sine","5.3'","63''","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"Black Ash","Fraxinus nigra","Ohio","Lake","North Chagrin Reservation (Forest Only)","","","","","16016","1","","","","public","106.8'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Daniel Reed, Steve Galehouse, Will Blozan","2011-09-05","","N"
