"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Green Ash","Fraxinus pennsylvanica","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233840","1","","","","Public - federal","119.3'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Green Ash","Fraxinus pennsylvanica","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241829","1","","","","Public - state","98.0'","Clinometer/laser rangefinder/sine","11.5'","138''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Green Ash","Fraxinus pennsylvanica","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174790","1","","","","Public - federal","103.4'","Clinometer/laser rangefinder/sine","10.0'","120''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Green Ash","Fraxinus pennsylvanica","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174789","1","","","","Public - federal","109.6'","Clinometer/laser rangefinder/sine","9.4'","113''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Green Ash","Fraxinus pennsylvanica","District of Columbia","District Of Columbia","Glover - Archbold Park","","","This park is administered by the the NPS Rock Creek
Park staff","","76126","1","","","200.0 ft","Public - National Park","132.2'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2008-10-24","","N"
"Green Ash","Fraxinus pennsylvanica","District of Columbia","District Of Columbia","Klingle Valley Parkway","","","This is an administrative unit of Rock Creek Park","","76050","1","","","200.0 ft","Public - National Park","122.9'","Clinometer/laser rangefinder/sine","","","","","Darian Copiz","2004-12-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Fklingle%2Fklingle_valley.htm","N"
"Green Ash","Fraxinus pennsylvanica","District of Columbia","District Of Columbia","Klingle Valley Parkway","","","This is an administrative unit of Rock Creek Park","","76049","1","","","200.0 ft","Public - National Park","131.4'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Darian Copiz","2004-12-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Fklingle%2Fklingle_valley.htm","N"
"Green Ash","Fraxinus pennsylvanica","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175043","1","","","","Public - federal","101.8'","Clinometer/laser rangefinder/sine","10.8'","129''","","Largest trunk measured","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Green Ash","Fraxinus pennsylvanica","District of Columbia","District Of Columbia","Theodore Roosevelt Island","","","Roosevelt Island is administered by the GW Memorial Parkway unit of the NPS","","128216","1","","","50.0 ft","Public - National Park","101.5'","Clinometer/laser rangefinder/sine","8.8'","105''","","","Darian Copiz","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Froosevelt_island.htm","N"
"Green Ash","Fraxinus pennsylvanica","Georgia","Dekalb","Herbert Taylor/Daniel Johnson Nature Preserve, Atlanta, GA","","","","","19245","1","","","","Park","113.3'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Eli ?","2012-01-28","","N"
"Green Ash","Fraxinus pennsylvanica","Georgia","Putnam","Rock Creek","","","","","234438","1","","","","Public - federal","123.0'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Green Ash","Fraxinus pennsylvanica","Georgia","Putnam","Rock Creek","","","","","234439","1","","","","Public - federal","126.1'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Green Ash","Fraxinus pennsylvanica","Georgia","Rabun","Camp Creek","","","Trees were measured on an alluvial flat.","","235222","1","","","","Public - federal","114.3'","","","","","","Jess Riddle","2005-06-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D5736%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Green Ash","Fraxinus pennsylvanica","Georgia","Rabun","Owl Gap","","","","","234560","1","","","","Public - federal","121.3'","Clinometer/laser rangefinder/sine","5.0'","60''","","Height is Not Less Then(NLT)","Jess Riddle","2005-08-25","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Foverflow_creek_rd.htm","N"
"Green Ash","Fraxinus pennsylvanica","Georgia","Rabun","Owl Gap","","","","","234561","1","","","","Public - federal","125.2'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Jess Riddle","2005-08-25","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Foverflow_creek_rd.htm","N"
"Green Ash","Fraxinus pennsylvanica","Georgia","Stephens","Panther Creek","","","","","249101","1","","","","Public - federal","129.4'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Jess Riddle","2005-03-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Green Ash","Fraxinus pennsylvanica","Georgia","Stephens","Panther Creek","","","","","249102","1","","","","Public - federal","130.9'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Jess Riddle","2005-03-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Green Ash","Fraxinus pennsylvanica","Georgia","Stephens","Panther Creek","","","","","249103","1","","","","Public - federal","134.2'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Jess Riddle","2005-03-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
