"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Pumpkin Ash","Fraxinus profunda","Maryland","Various Counties","Maryland Single Tree Sites","38 47.070","-076 42.166","","","163345","1","38 47.070","-076 42.166","","Private. Public","58.0'","Clinometer/laser rangefinder/sine","3.6'","43''","28.0'","Tree is in Jug Bay Natural Area, 1361 Wrighton Road, Lothian, MD 20711
Crown spread is Maximum. Average is 26.5'
Measured by Dan Wilson","Various Various","2010-01-01","","N"
"Pumpkin Ash","Fraxinus profunda","Missouri","Mississippi","Big Oak Tree State Park","36 38.356","-089 17.667","","","171792","3","36 38.356","-089 17.667","","Public","104.5'","Clinometer/laser rangefinder/sine","16.5'","198''","74.0'","Crown spread is an average.","Don Bragg, Robert Leverett, Don Bragg","2015-06-15","","N"
"Pumpkin Ash","Fraxinus profunda","Missouri","Mississippi","Big Oak Tree State Park","","","","","171774","1","","","","Public","106.4'","Clinometer/laser rangefinder/sine","6.9'","82''","","Picnic area","Don Bragg","2005-07-29","","N"
"Pumpkin Ash","Fraxinus profunda","Missouri","Mississippi","Big Oak Tree State Park","36 38.435","-089 17.404","","","283645","1","36 38.435","-089 17.404","370.0 ft","Public","108.1'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Elijah Whitcomb","2022-11-26","","N"
"Pumpkin Ash","Fraxinus profunda","Missouri","Mississippi","Big Oak Tree State Park","","","","","283646","1","","","385.0 ft","Public","110.3'","Clinometer/laser rangefinder/sine","16.3'","196''","","MO State Champion","Elijah Whitcomb","2022-11-26","","N"
"Pumpkin Ash","Fraxinus profunda","Missouri","Mississippi","Big Oak Tree State Park","36 38.679","-089 17.473","","","283647","1","36 38.679","-089 17.473","315.0 ft","Public","116.3'","Clinometer/laser rangefinder/sine","11.6'","139''","","","Elijah Whitcomb","2022-11-26","","N"
"Pumpkin Ash","Fraxinus profunda","Missouri","Mississippi","Big Oak Tree State Park","36 38.986","-089 18.097","","","283648","1","36 38.986","-089 18.097","305.0 ft","Public","119.7'","Clinometer/laser rangefinder/sine","11.0'","132''","","","Elijah Whitcomb","2022-11-26","","N"
"Pumpkin Ash","Fraxinus profunda","Missouri","Mississippi","Big Oak Tree State Park","36 38.918","-089 18.482","","","283674","1","36 38.918","-089 18.482","260.0 ft","Public","123.0'","Clinometer/laser rangefinder/sine","12.6'","151''","","","Elijah Whitcomb","2022-11-26","","N"
"Pumpkin Ash","Fraxinus profunda","Missouri","Mississippi","Big Oak Tree State Park","36 38.305","-089 17.345","","","283669","1","36 38.305","-089 17.345","285.0 ft","Public","124.0'","Clinometer/laser rangefinder/sine","14.1'","169''","","","Elijah Whitcomb","2022-11-26","","N"
"Pumpkin Ash","Fraxinus profunda","Missouri","Mississippi","Big Oak Tree State Park","36 39.047","-089 18.233","","","283673","1","36 39.047","-089 18.233","275.0 ft","Public","126.4'","Clinometer/laser rangefinder/sine","10.8'","130''","","","Elijah Whitcomb","2022-11-26","","N"
"Pumpkin Ash","Fraxinus profunda","New York","Monroe","Highland Park","","","","","226056","1","","","","Public","94.2'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Pumpkin Ash","Fraxinus profunda","Tennessee","Hardeman","Big Hill Pond State Park","35 02.550","-088 44.058","","","313577","1","35 02.550","-088 44.058","400.0 ft","Public","106.7'","Clinometer/laser rangefinder/sine","","","","Measured from boardwalk","Elijah Whitcomb","2023-12-02","","N"
"Pumpkin Ash","Fraxinus profunda","Tennessee","Hardin","Shiloh National Military Park/Cemetery","35 09.014","-088 19.160","","","298129","1","35 09.014","-088 19.160","430.0 ft","Public","75.3'","Clinometer/laser rangefinder/sine","11.8'","141''","","In Cemetery","Elijah Whitcomb","2023-07-08","","N"
"Pumpkin Ash","Fraxinus profunda","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 21.902","-090 04.656","","","321939","1","35 21.902","-090 04.656","205.0 ft","Public","103.3'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Elijah Whitcomb","2025-02-13","","N"
"Pumpkin Ash","Fraxinus profunda","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 21.821","-090 04.745","","","321940","1","35 21.821","-090 04.745","220.0 ft","Public","104.8'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Elijah Whitcomb","2025-02-13","","N"
"Pumpkin Ash","Fraxinus profunda","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 22.586","-090 03.338","","","321995","1","35 22.586","-090 03.338","260.0 ft","Public","105.8'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Elijah Whitcomb","2025-02-13","","N"
"Pumpkin Ash","Fraxinus profunda","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 21.952","-090 03.516","","","321996","1","35 21.952","-090 03.516","280.0 ft","Public","109.4'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Elijah Whitcomb","2025-02-13","","N"
"Pumpkin Ash","Fraxinus profunda","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 22.802","-090 03.368","","","321997","1","35 22.802","-090 03.368","285.0 ft","Public","116.8'","Clinometer/laser rangefinder/sine","9.9'","119''","","","Elijah Whitcomb","2025-02-13","","N"
"Pumpkin Ash","Fraxinus profunda","Tennessee","Weakley","Big Cypress Tree State Park","36 11.855","-088 53.394","","","300598","1","36 11.855","-088 53.394","350.0 ft","Public","114.6'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-08-19","","N"
