"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Blue Ash","Fraxinus quadrangulata","Alabama","Jackson","Walls Of Jericho","34 59.290","-086 06.003","","","315724","1","34 59.290","-086 06.003","825.0 ft","Public","108.8'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2024-04-20","","N"
"Blue Ash","Fraxinus quadrangulata","Georgia","Walker","Pigeon Mountain","","","Trees measured in ""The Pocket""","","234473","1","","","","Public - state","64.2'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Jess Riddle","2005-07-20","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fpocket.htm","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.615","-086 07.646","","","297844","1","37 11.615","-086 07.646","590.0 ft","Public","102.7'","Clinometer/laser rangefinder/sine","7.8'","94''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 14.518","-086 02.420","","","297541","1","37 14.518","-086 02.420","470.0 ft","Public","102.9'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.021","-086 09.781","","","297810","1","37 11.021","-086 09.781","480.0 ft","Public","105.2'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.631","-086 08.729","","","297712","1","37 11.631","-086 08.729","515.0 ft","Public","105.6'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 14.562","-086 02.423","","","297542","1","37 14.562","-086 02.423","495.0 ft","Public","105.7'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.940","-086 13.714","","","297772","1","37 11.940","-086 13.714","445.0 ft","Public","106.3'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.579","-086 10.670","","","297859","1","37 11.579","-086 10.670","565.0 ft","Public","106.7'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.613","-086 08.741","","","297713","1","37 11.613","-086 08.741","520.0 ft","Public","107.3'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.174","-086 11.094","","","297845","1","37 11.174","-086 11.094","585.0 ft","Public","107.3'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 12.721","-086 06.879","","","297492","1","37 12.721","-086 06.879","510.0 ft","Public","107.4'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 13.414","-086 04.178","","","297543","1","37 13.414","-086 04.178","490.0 ft","Public","107.7'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 13.717","-086 02.502","","","297530","1","37 13.717","-086 02.502","465.0 ft","Public","109.4'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 12.468","-086 14.816","","","297305","1","37 12.468","-086 14.816","490.0 ft","Public","110.0'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 12.747","-086 06.964","","","297491","1","37 12.747","-086 06.964","540.0 ft","Public","110.6'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 13.253","-086 04.619","","","297544","1","37 13.253","-086 04.619","535.0 ft","Public","112.0'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 10.716","-086 06.651","","","297643","1","37 10.716","-086 06.651","","Public","112.8'","Clinometer/laser rangefinder/sine","7.8'","94''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 12.203","-086 13.074","","","297819","1","37 12.203","-086 13.074","735.0 ft","Public","113.3'","Clinometer/laser rangefinder/sine","10.0'","120''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 12.068","-086 13.749","","","297290","1","37 12.068","-086 13.749","500.0 ft","Public","114.1'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.201","-086 05.782","","","297595","1","37 11.201","-086 05.782","605.0 ft","Public","114.1'","Clinometer/laser rangefinder/sine","9.7'","116''","","Former double trunk","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.220","-086 05.774","","","297594","1","37 11.220","-086 05.774","585.0 ft","Public","116.2'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 10.613","-086 06.638","","","297641","1","37 10.613","-086 06.638","","Public","116.8'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 13.651","-086 05.810","","","297490","1","37 13.651","-086 05.810","475.0 ft","Public","119.1'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 10.873","-086 10.558","","","297391","1","37 10.873","-086 10.558","415.0 ft","Public","119.3'","Clinometer/laser rangefinder/sine","8.9'","107''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.586","-086 07.641","","","297847","1","37 11.586","-086 07.641","540.0 ft","Public","120.0'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 13.404","-086 13.667","","","297333","1","37 13.404","-086 13.667","500.0 ft","Public","120.3'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 13.416","-086 13.219","","","297334","1","37 13.416","-086 13.219","465.0 ft","Public","121.8'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.175","-086 05.777","","","297596","1","37 11.175","-086 05.777","605.0 ft","Public","121.9'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 12.794","-086 14.081","","","297298","1","37 12.794","-086 14.081","515.0 ft","Public","122.1'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 12.009","-086 14.011","","","297756","1","37 12.009","-086 14.011","420.0 ft","Public","122.2'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.188","-086 11.098","","","297846","1","37 11.188","-086 11.098","585.0 ft","Public","122.3'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 12.006","-086 14.455","","","297304","1","37 12.006","-086 14.455","","Public","122.5'","Clinometer/laser rangefinder/sine","7.6'","91''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 11.788","-086 13.541","","","297773","1","37 11.788","-086 13.541","510.0 ft","Public","122.6'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 10.608","-086 06.645","","","297640","1","37 10.608","-086 06.645","","Public","123.2'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Elijah Whitcomb","2023-06-23","","N"
"Blue Ash","Fraxinus quadrangulata","Kentucky","Edmonson","Mammoth Cave National Park","37 10.615","-086 06.638","","","297642","1","37 10.615","-086 06.638","","Public","126.1'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Elijah Whitcomb","2023-06-23","","N"
