"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Velvet Ash","Fraxinus velutina","Arizona","Coconino","Oak Creek Canyon","","","","","96796","1","","","6300.0 ft","Public National Forest","34.0'","Clinometer/laser rangefinder/sine","2.1'","25''","","","Turner Sharp","2012-02-18","","N"
"Velvet Ash","Fraxinus velutina","Arizona","Coconino","Oak Creek Canyon","","","","","121518","1","","","4900.0 ft","Public National Forest","75.1'","Clinometer/laser rangefinder/sine","","","","Near Manzanita Campground","Turner Sharp","2015-06-02","","N"
"Velvet Ash","Fraxinus velutina","Arizona","Coconino","Oak Creek Canyon","","","","","96831","1","","","4800.0 ft","Public National Forest","75.4'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Turner Sharp","2012-02-18","","N"
"Velvet Ash","Fraxinus velutina","Arizona","Coconino","Oak Creek Canyon","","","","","96832","1","","","4800.0 ft","Public National Forest","85.9'","Clinometer/laser rangefinder/sine","5.8'","69''","","","Turner Sharp","2012-02-18","","N"
"Velvet Ash","Fraxinus velutina","Arizona","Pima","Catalina State Park","32 25.374","-110 55.108","Trees were measured along the washes and campground areas.","","159299","1","32 25.374","-110 55.108","2800.0 ft","Public - state","19.6'","Clinometer/laser rangefinder/sine","10.6'","128''","","Top out.","Turner Sharp, Susan Sharp","2017-02-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D8181","N"
"Velvet Ash","Fraxinus velutina","Arizona","Pima","Santa Catalina Mountains","32 26.877","-110 46.745","","","226296","1","32 26.877","-110 46.745","8.2 ft","Public - National Forest","64.0'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Turner Sharp, Denise Sharp","2012-02-02","","N"
"Velvet Ash","Fraxinus velutina","Arizona","Yavapai","Crescent Moon Picnic Area","","","","","130901","1","","","4000.0 ft","Public","51.8'","Clinometer/laser rangefinder/sine","3.6'","43''","","","Turner Sharp","2014-06-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Velvet Ash","Fraxinus velutina","Arizona","Yavapai","Lawrence Crossing","","","Crossing of Wet Beaver Creek is on FS 618G and has a poorly maintained campground. Crossing is unused.","","130905","1","","","3600.0 ft","Public - National Forest","56.6'","Clinometer/laser rangefinder/sine","4.6'","55''","","","Turner Sharp","2014-06-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Velvet Ash","Fraxinus velutina","Arizona","Yavapai","Montezuma's Well","34 38.899","-111 45.075","A unit of Montezuma Castle National Monument","","23986","1","34 38.899","-111 45.075","3500.0 ft","Public - National Monument","58.3'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Turner Sharp","2012-02-28","","N"
"Velvet Ash","Fraxinus velutina","Arizona","Yavapai","Montezuma's Well","34 38.783","-111 45.683","A unit of Montezuma Castle National Monument","","23992","1","34 38.783","-111 45.683","3500.0 ft","Public - National Monument","62.8'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Turner Sharp","2012-02-28","","N"
