"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Maidenhair Tree","Ginkgo biloba","Georgia","Fulton","Piedmont Park","","","185 Acre Park","","235287","1","","","","Public - city","87.3'","Clinometer/laser rangefinder/sine","13.9'","167''","","Circumference taken at 3'","Jess Riddle","2005-04-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fatlanta_trees.htm","N"
"Maidenhair Tree","Ginkgo biloba","Indiana","Monroe","Dunn's Woods","","","Originally a 20 acre tract reduced to 10 acres by campus buildings.","","169764","1","","","","Public-state","79.3'","Clinometer/laser rangefinder/sine","13.4'","161''","","Tree is on Dunn's Lawn","John Eichholz","2010-06-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D917%23p3154","N"
"Maidenhair Tree","Ginkgo biloba","Kentucky","Todd","Elkton","","","","","76441","1","","","","Public and Private","78.3'","Clinometer/laser rangefinder/sine","8.0'","97''","","Tree located at Elkton School","Jess Riddle","2005-11-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Ftodd_county_ky.htm","N"
"Maidenhair Tree","Ginkgo biloba","Massachusetts","Suffolk","Massachusetts Single Tree Sites","42 21.523","-071 03.816","","","256012","1","42 21.523","-071 03.816","240.0 ft","Public-Private","70.0'","Clinometer/laser rangefinder/sine","10.6'","127''","","Measured by S. Goodwin 11/5/2014 at the corner of Silver and Broad Streets, Westfield, Hampden County.","Various Various","2001-01-01","","N"
"Maidenhair Tree","Ginkgo biloba","North Carolina","Henderson","Calvary Episcopal Church","","","","","235500","1","","","","Private","80.7'","Clinometer/laser rangefinder/sine","11.2'","134''","","","James Parton","2008-03-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fcalvary_htm","N"
"Maidenhair Tree","Ginkgo biloba","North Carolina","Henderson","Carl Sandburg Home National Historical Site","","","Carl Sandburg Home National Historical Site","","251998","1","","","","Public - federal","80.3'","Clinometer/laser rangefinder/sine","8.7'","104''","","","James Parton","2010-06-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D911%26sid%3Da2220255d71bc8241b5bc342c81238c3","N"
"Maidenhair Tree","Ginkgo biloba","North Carolina","Henderson","Carl Sandburg Home National Historical Site","","","Carl Sandburg Home National Historical Site","","251999","1","","","","Public - federal","91.8'","Clinometer/laser rangefinder/sine","11.1'","133''","","","James Parton","2010-06-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D911%26sid%3Da2220255d71bc8241b5bc342c81238c3","N"
"Maidenhair Tree","Ginkgo biloba","New York","Brooklyn","Prospect Park","","","Measurements were made 8/8/2016 and 3/12/2017","","280515","1","","","","Public - county","91.9'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2017-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7638%26sid%3D60eba587880cce73bb509f21b4be94c1%23p38399","N"
"Maidenhair Tree","Ginkgo biloba","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","259937","1","","","","Public - city","118.7'","Clinometer/laser rangefinder/sine","15.3'","184''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"Maidenhair Tree","Ginkgo biloba","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","260045","1","","","","Public - city","119.1'","Clinometer/laser rangefinder/sine","15.5'","186''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"Maidenhair Tree","Ginkgo biloba","New York","Monroe","Highland Park","","","","","226094","1","","","","Public","81.6'","Clinometer/laser rangefinder/sine","12.3'","148''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Maidenhair Tree","Ginkgo biloba","New York","Monroe","Highland Park","","","","","226095","1","","","","Public","94.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Maidenhair Tree","Ginkgo biloba","New York","Onondaga","Oakwood Cemetery","","","","","220490","1","","","","Public","86.3'","Clinometer/laser rangefinder/sine","6.3'","75''","","","Elijah Whitcomb, Tom Howard","2020-11-15","","N"
"Maidenhair Tree","Ginkgo biloba","Ohio","Athens","Lin Hall Grounds","","","","","96889","1","","","","Public, State","94.5'","Clinometer/laser rangefinder/sine","13.4'","160''","","","Turner Sharp","2012-12-28","","N"
"Maidenhair Tree","Ginkgo biloba","Ohio","Butler","Miami University","","","Four Bur Oaks, including the largest one were measured on 2/3/2013 by M. Markworth.

see:http://www.ents-bbs.org/viewtopic.php?f=111&t=5009#p21622","","168453","1","","","","Public-state","","Clinometer/laser rangefinder/sine","11.1'","133''","","","Matt Markworth, Steve Galehouse","2013-05-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D111%26t%3D5371%23p23473","N"
"Maidenhair Tree","Ginkgo biloba","Ohio","Wood","""Great Trees Of Ohio"" Will Blozan Trip.","","","","","10101","1","","","","Private","87.5'","","20.0'","240''","88.0'","","Will Blozan","2008-07-20","","N"
