"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Water Locust","Gleditsia aquatica","Arkansas","Arkansas","White River National Wildlife Refuge","","","Trees were measured along trail leading to the state champion Bald Cypress.","","241848","1","","","","Public - federal","84.9'","Clinometer/laser rangefinder/sine","6.8'","81''","","","Jess Riddle","2014-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6811%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Water Locust","Gleditsia aquatica","Arkansas","Arkansas","White River National Wildlife Refuge","","","Trees were measured along trail leading to the state champion Bald Cypress.","","241849","1","","","","Public - federal","89.1'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Jess Riddle","2014-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6811%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Water Locust","Gleditsia aquatica","Arkansas","Arkansas","White River National Wildlife Refuge","","","Trees were measured along trail leading to the state champion Bald Cypress.","","241850","1","","","","Public - federal","102.6'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Jess Riddle","2014-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6811%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Water Locust","Gleditsia aquatica","Arkansas","Prairie","Des Arc","","","2500 acre private tract","","233993","1","","","","Private","","Clinometer/laser rangefinder/sine","15.7'","188''","","","Don Bragg","2007-07-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fdes_arc%2Fsome_new_ar_champions.htm","N"
"Water Locust","Gleditsia aquatica","Arkansas","Prairie","Des Arc","","","2500 acre private tract","","233994","1","","","","Private","","Clinometer/laser rangefinder/sine","19.8'","238''","","","Don Bragg","2007-07-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fdes_arc%2Fsome_new_ar_champions.htm","N"
"Water Locust","Gleditsia aquatica","Louisiana","Webster Parish","Lake Bistineau State Park","32 26.404","-093 22.533","","","320733","1","32 26.404","-093 22.533","230.0 ft","Public","66.0'","Clinometer/laser rangefinder/sine","3.6'","43''","","","Elijah Whitcomb","2025-01-08","","N"
"Water Locust","Gleditsia aquatica","Missouri","Mississippi","Big Oak Tree State Park","36 38.519","-089 17.813","","","283690","1","36 38.519","-089 17.813","285.0 ft","Public","56.1'","Clinometer/laser rangefinder/sine","","","","Multiple stems","Elijah Whitcomb","2022-11-26","","N"
"Water Locust","Gleditsia aquatica","Mississippi","Sharkey","Delta National Forest","","","90,898 acres with seven Ranger Districts.   
This entire national forest is under supervision of the State of Mississippi's Wildlife Department under the name of the Sunflower Wildlife Management Area.","","251019","1","","","","Public - federal","86.7'","Clinometer/laser rangefinder/sine","8.9'","107''","","","Jess Riddle","2014-12-29","","N"
"Water Locust","Gleditsia aquatica","Pennsylvania","Various Counties","Pennsylvania Single Tree Sites","40 04.871","-075 11.366","","","255921","1","40 04.871","-075 11.366","400.0 ft","Public, Private","74.0'","Clinometer/laser rangefinder/sine","10.1'","121''","63.0'","Tree located 700 Powder Mill Road, Wyndmoor, Montgomery County.
Measured by S. Wade 12/14/2005. Previous girth measurement in 1993 was 110""","Various Various","2000-01-01","","N"
"Water Locust","Gleditsia aquatica","South Carolina","Hampton","Webb Wildlife Management Area","","","5866 acres","","252665","1","","","","Public - state","85.9'","Clinometer/laser rangefinder/sine","5.8'","69''","","","Jess Riddle","2014-06-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D6427","N"
"Water Locust","Gleditsia aquatica","South Carolina","Hampton","William Webb Wildlife Center","","","5,866 Acres","","236775","1","","","","Public - state","64.4'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Jess Riddle","2006-01-23","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwebb%2Fwebb_wildlife_center.htm","N"
"Water Locust","Gleditsia aquatica","South Carolina","Hampton","William Webb Wildlife Center","","","5,866 Acres","","236776","1","","","","Public - state","75.5'","Clinometer/laser rangefinder/sine","6.2'","74''","","","Jess Riddle","2006-01-23","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwebb%2Fwebb_wildlife_center.htm","N"
