"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Honeylocust","Gleditsia triacanthos","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233858","1","","","","Public - federal","97.1'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Honeylocust","Gleditsia triacanthos","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233859","1","","","","Public - federal","102.0'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Honeylocust","Gleditsia triacanthos","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241453","1","","","","Public - state","106.1'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Honeylocust","Gleditsia triacanthos","Arkansas","Prairie","Des Arc","","","2500 acre private tract","","233995","1","","","","Private","97.0'","Clinometer/laser rangefinder/sine","13.2'","158''","64.0'","","Don Bragg","2007-07-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fdes_arc%2Fsome_new_ar_champions.htm","N"
"Honeylocust","Gleditsia triacanthos","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174808","1","","","","Public - federal","72.3'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Honeylocust","Gleditsia triacanthos","Kentucky","Boone","Dinsmore Nature Preserve - South","","","Nature Conservancy turned this over to the Boone County Court","","165566","1","","","560.0 ft","Public - Boone County Court","81.1'","Clinometer/laser rangefinder/sine","4.7'","56''","","Height is Not Less Than (NLT)","Dale Luthringer","2007-09-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fdismore_woods.htm","N"
"Honeylocust","Gleditsia triacanthos","Kentucky","Edmonson","Mammoth Cave National Park","37 12.429","-086 14.777","","","297321","1","37 12.429","-086 14.777","465.0 ft","Public","101.3'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Elijah Whitcomb","2023-06-23","","N"
"Honeylocust","Gleditsia triacanthos","Kentucky","Edmonson","Mammoth Cave National Park","37 13.979","-086 11.992","","","297369","1","37 13.979","-086 11.992","560.0 ft","Public","106.7'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Elijah Whitcomb","2023-06-23","","N"
"Honeylocust","Gleditsia triacanthos","Kentucky","Edmonson","Mammoth Cave National Park","37 10.065","-086 07.402","","","297614","1","37 10.065","-086 07.402","565.0 ft","Public","113.3'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Elijah Whitcomb","2023-06-23","","N"
"Honeylocust","Gleditsia triacanthos","Massachusetts","Suffolk","Massachusetts Single Tree Sites","42 18.434","-071 06.967","","","256000","1","42 18.434","-071 06.967","","Public-Private","93.4'","Clinometer/laser rangefinder/sine","9.0'","108''","","Measured by A. Joslin 2/5/2008, Jamaica  Plain(Boston), Suffolk County","Various Various","2001-01-01","","N"
