"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Kentucky Coffeetree","Gymnocladus dioicus","Georgia","Floyd","Rome And Floyd County","","","","","243212","1","","","","Private","69.9'","Clinometer/laser rangefinder/sine","6.0'","72''","","Berry College Campus","Jess Riddle, Richard Ware","2006-01-18","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Ftrees_of_floyd_county.htm","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Illinois","Wabash","Beall Woods State Park","","","All trees measured where on or within sight of the Tulip Tree Trail.","","273889","1","","","","Public - state","104.1'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Elijah Woods","2020-09-23","http%3A%2F%2Fents-bbs.org%2Fviewtopic.php%3Ff%3D78%26t%3D8733","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169946","1","","","","Public - federal","10.8'","Clinometer/laser rangefinder/sine","6.2'","74''","","","Mark Rouw","2015-02-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169852","1","","","","Public - federal","109.7'","Clinometer/laser rangefinder/sine","","","","","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169856","1","","","","Public - federal","127.1'","Clinometer/laser rangefinder/sine","","","","1st Cove","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 12.746","-086 14.100","","","297295","1","37 12.746","-086 14.100","495.0 ft","Public","100.8'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 12.805","-086 09.062","","","297427","1","37 12.805","-086 09.062","515.0 ft","Public","105.6'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 12.409","-086 12.946","","","297771","1","37 12.409","-086 12.946","475.0 ft","Public","108.1'","Clinometer/laser rangefinder/sine","4.7'","57''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 11.118","-086 08.754","","","297681","1","37 11.118","-086 08.754","460.0 ft","Public","110.8'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 12.349","-086 14.865","","","297311","1","37 12.349","-086 14.865","485.0 ft","Public","111.6'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 12.412","-086 12.953","","","297770","1","37 12.412","-086 12.953","475.0 ft","Public","113.3'","Clinometer/laser rangefinder/sine","5.0'","60''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 13.400","-086 13.803","","","297343","1","37 13.400","-086 13.803","525.0 ft","Public","116.4'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 12.481","-086 14.816","","","297312","1","37 12.481","-086 14.816","470.0 ft","Public","116.8'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 13.371","-086 13.431","","","297344","1","37 13.371","-086 13.431","540.0 ft","Public","117.3'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 11.036","-086 07.735","","","297682","1","37 11.036","-086 07.735","555.0 ft","Public","117.4'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 12.453","-086 14.801","","","297313","1","37 12.453","-086 14.801","465.0 ft","Public","119.0'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 12.473","-086 14.795","","","297314","1","37 12.473","-086 14.795","445.0 ft","Public","120.2'","Clinometer/laser rangefinder/sine","4.5'","54''","","CBH at 5.5'","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 10.635","-086 09.943","","","297809","1","37 10.635","-086 09.943","575.0 ft","Public","122.0'","Clinometer/laser rangefinder/sine","7.7'","92''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 10.639","-086 09.939","","","297808","1","37 10.639","-086 09.939","575.0 ft","Public","123.8'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Elijah Whitcomb","2023-06-23","","N"
"Kentucky Coffeetree","Gymnocladus dioicus","Kentucky","Edmonson","Mammoth Cave National Park","37 13.139","-086 07.564","","","297512","1","37 13.139","-086 07.564","680.0 ft","Public","126.8'","Clinometer/laser rangefinder/sine","","","","Base fused with Beech tree","Elijah Whitcomb","2023-06-23","","N"
