"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Mountain Silverbell","Halesia tetraptera var. monticola","Georgia","Rabun","Camp Creek","","","Trees were measured on an alluvial flat.","","249342","1","","","","Public - federal","105.4'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Jess Riddle","2013-09-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D5736%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Mountain Silverbell","Halesia tetraptera var. monticola","North Carolina","Haywood","Hurricane Creek","","","Hurricane Creek into Rough Fork into Cataloochee Creek","","230338","1","","","","Public - federal","118.5'","Clinometer/laser rangefinder/sine","4.8'","57''","","","Jess Riddle, Will Blozan","2006-12-22","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fhurricane_creek06.htm","N"
"Mountain Silverbell","Halesia tetraptera var. monticola","North Carolina","Haywood","Middle Prong Wilderness","","","7900 acres","","227264","1","","","","Public - national","","Clinometer/laser rangefinder/sine","10.2'","123''","","","Jess Riddle","2006-07-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmiddleprong%2Fmiddleprong.htm","N"
"Mountain Silverbell","Halesia tetraptera var. monticola","North Carolina","Haywood","Smokey Mountains National Park","","","","","204866","1","","","","public","126.0'","Clinometer/laser rangefinder/sine","7.8'","94''","","height is average of two different hits of 125.7 and 126.4

old gnarly tree

tree located by Will Blozan","Stefan Radivoyevitch","2020-02-27","","N"
"Mountain Silverbell","Halesia tetraptera var. monticola","North Carolina","Swain","Cliff Branch","","","","","229663","1","","","","Public - national","110.3'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Jess Riddle","2006-05-23","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fkanati_fork.htm","N"
"Mountain Silverbell","Halesia tetraptera var. monticola","North Carolina","Swain","Kanati Fork","","","Kanati Fork into the Oconaluftee River","","229354","1","","","","Public - national","111.0'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Jess Riddle","2006-05-23","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fkanati_fork.htm","N"
"Mountain Silverbell","Halesia tetraptera var. monticola","North Carolina","Transylvania","Whitewater River & Waterfall","","","","","39869","1","","","","Public","78.1'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2013-01-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4913%26p%3D21201%23p21201","N"
"Mountain Silverbell","Halesia tetraptera var. monticola","North Carolina","Transylvania","Whitewater River & Waterfall","","","","","39870","1","","","","Public","85.6'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2013-01-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4913%26p%3D21201%23p21201","N"
"Mountain Silverbell","Halesia tetraptera var. monticola","South Carolina","Greenville","Little Pinnacle Mountain","","","11,300 acres encompassing Jones Gap State Park and Caesars Head","","281324","1","","","","Public - state","","Clinometer/laser rangefinder/sine","6.0'","72''","","","Jess Riddle","2002-05-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Flittle_pinnacle_mountain.htm","N"
"Mountain Silverbell","Halesia tetraptera var. monticola","South Carolina","Pickens","Wadakoe Mountain","","","Trees were also measured on 11/1/2004. 
See link:
http://www.nativetreesociety.org/fieldtrips/south_carolina/wadakoe_mountain.htm","","236544","1","","","","Public-Private","82.0'","Clinometer/laser rangefinder/sine","4.7'","56''","","Along stream at foot of mountain.","Jess Riddle","2005-02-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwadakoe_northend.htm","N"
