"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"American Witchhazel","Hamamelis virginiana","Arkansas","Bradley","Bradley County Park","","","","","241620","1","","","","Public - county","28.7'","Clinometer/laser rangefinder/sine","1.0'","12''","","","Jess Riddle","2014-05-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6338%26sid%3D4a7f32fbd25a5a8512e560f2bcebeb17%23p28725","N"
"American Witchhazel","Hamamelis virginiana","Delaware","New Castle","Brandywine Creek State Park","39 48.125","-075 34.138","","","142958","1","39 48.125","-075 34.138","","State","34.0'","Clinometer/laser rangefinder/sine","1.6'","19''","","","George Fieo","2011-01-09","","N"
"American Witchhazel","Hamamelis virginiana","Delaware","New Castle","Hagley Museum","","","Site of the original Dupont Powder Works along Brandywine Creek","","75453","1","","","","Private","27.0'","Clinometer/laser rangefinder/sine","2.1'","25''","","","Scott Wade, Meg Varnes","2007-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fdelaware%2Frockwood%2Fdelaware_trees.htm","N"
"American Witchhazel","Hamamelis virginiana","Georgia","Murray","Cohutta Wilderness","","","","","234400","1","","","","Public - federal","41.0'","Clinometer/laser rangefinder/sine","1.3'","16''","","","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"American Witchhazel","Hamamelis virginiana","Georgia","Murray","Cohutta Wilderness","","","","","234401","1","","","","Public - federal","44.4'","Clinometer/laser rangefinder/sine","1.8'","22''","","","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"American Witchhazel","Hamamelis virginiana","New York","Cayuga","Fillmore Glen State Park","","","","","151520","1","","","","Public","21.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2017-05-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7713","N"
"American Witchhazel","Hamamelis virginiana","New York","Monroe","Abraham Lincoln Park","43 10.796","-077 30.968","","","323118","1","43 10.796","-077 30.968","330.0 ft","Public","27.7'","Clinometer/laser rangefinder/sine","0.9'","11''","","","Elijah Whitcomb","2025-12-26","","N"
"American Witchhazel","Hamamelis virginiana","New York","Monroe","Powder Mills Park","","","","","207796","1","","","","Public","31.0'","Clinometer/laser rangefinder/sine","0.8'","9''","","","Elijah Whitcomb","2017-05-07","","N"
"American Witchhazel","Hamamelis virginiana","New York","Onondaga","Green Lakes State Park","43 02.862","-075 58.318","","","221141","1","43 02.862","-075 58.318","420.0 ft","Public","44.6'","Clinometer/laser rangefinder/sine","0.9'","10''","","","Elijah Whitcomb, Tom Howard, Bob Henry","2020-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"American Witchhazel","Hamamelis virginiana","New York","Seneca","Cayuga Lake State Park","","","","","221069","1","","","","Public","27.6'","Clinometer/laser rangefinder/sine","","","","Multiple stems","Elijah Whitcomb, Tom Howard","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7243","N"
"American Witchhazel","Hamamelis virginiana","Pennsylvania","Clarion","CFSP-Seneca Forest Special Management Area","","","","","146746","1","","","","Public - state","40.2'","Clinometer/laser rangefinder/sine","0.7'","8''","","","Dale Luthringer, John Eichholz","2005-09-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D116%26t%3D8154","N"
"American Witchhazel","Hamamelis virginiana","Pennsylvania","Clarion","CFSP-Seneca Forest Special Management Area","","","","","146745","1","","","","Public - state","41.8'","Clinometer/laser rangefinder/sine","0.8'","10''","20.5'","Originally measured 7/9/2003 at 9.6"" x 37.' x 16'.
Crown spread is maximum. average is 14' and 14' for the 2003 measurement.","Dale Luthringer, John Eichholz","2005-09-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D116%26t%3D8154","N"
"American Witchhazel","Hamamelis virginiana","Pennsylvania","Clarion","Gravel Lick Bridge To Mill Creek River Access","","","Nine miles via canoe","","139563","1","","","","Public, private","25.0'","Clinometer/laser rangefinder/sine","0.4'","5''","","At Blyson Run river left descending.","Edward Frank, Carl Harting","2008-10-16","","N"
"American Witchhazel","Hamamelis virginiana","Pennsylvania","Crawford","Greendale Cemetery-Cemetery Run","","","","","168091","1","","","","Private","27.6'","Clinometer/laser rangefinder/sine","1.4'","17''","","","Dale Luthringer","2009-01-01","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F715eb2ea21c8e59e%3Fhl%3Den","N"
"American Witchhazel","Hamamelis virginiana","Pennsylvania","Delaware","Haverford College Arboretum","","","","","225120","1","","","","Private","19.3'","Clinometer/laser rangefinder/sine","2.2'","26''","","","Scott Wade","2007-03-02","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fhaverford_college_arboretum.htm","N"
"American Witchhazel","Hamamelis virginiana","Pennsylvania","Delaware","Ridley Creek State Park","","","","","143007","1","","","","State","27.6'","Clinometer/laser rangefinder/sine","0.8'","10''","","","George Fieo","2010-11-30","","N"
"American Witchhazel","Hamamelis virginiana","Pennsylvania","Elk","Marion Brooks Natural Area","","","Four trees were measured on 7/12/2009
Trees measured were away from the area of an almost pure stand of Paper Birch.","","139529","1","","","","Public - state","16.0'","Clinometer/laser rangefinder/sine","0.9'","11''","","","Edward Frank","2009-01-02","","N"
"American Witchhazel","Hamamelis virginiana","Pennsylvania","Erie","Wintergreen Gorge","","","Trips were made 7/2/2003, 9/5/2003,10/10/2003,
11/3/2003,5/24/2004,10/15/2004","","120263","1","","","","Public","24.5'","Clinometer/laser rangefinder/sine","0.6'","7''","","","Dale Luthringer","2003-07-02","","N"
"American Witchhazel","Hamamelis virginiana","Pennsylvania","Forest","CFSP-Foundation Ridge And Flats","","","American Chestnuts were measured  on 8/9 /2005.
See: http://www.nativetreesociety.org/fieldtrips/penna_cook_forest/two_trips_to_cook_forest.htm
Also see Luthringer measurements at:: http://www.nativetreesociety.org/fieldtrips/penna_cook_forest/foundation_ridge_flat_update.htm","","147076","1","","","","Public-state","19.3'","Clinometer/laser rangefinder/sine","1.1'","13''","","","Dale Luthringer","2006-08-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna_cook_forest%2Ffoundation_ridge_flat.htm","N"
"American Witchhazel","Hamamelis virginiana","Pennsylvania","Forest","CFSP-River Cabins And Flats","","","Measurements made between 1/1/2002 and 8/6/2004","","145386","1","","","","Public-state","15.1'","Clinometer/laser rangefinder/sine","0.9'","11''","","2nd Bench","Dale Luthringer","2004-08-06","","N"
