"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Coconino","Oak Creek Canyon","","","","","121535","1","","","5300.0 ft","Public National Forest","43.4'","Clinometer/laser rangefinder/sine","6.1'","73''","","Upstream of Slide Rock State Park","Turner Sharp","2015-06-02","","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Coconino","Oak Creek Canyon","","","","","121534","1","","","5300.0 ft","Public National Forest","54.2'","Clinometer/laser rangefinder/sine","","","","Upstream of Slide Rock State Park","Turner Sharp","2015-06-02","","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Coconino","Oak Creek Canyon","","","","","121537","1","","","5300.0 ft","Public National Forest","71.4'","Clinometer/laser rangefinder/sine","","","","Tree is in bottom near entrance to the West Fork of Oak Creek Canyon and near the location of the late Mayhew Resort (long gone)","Turner Sharp","2015-06-02","","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Gila","Tonto Natural Bridge State Park","","","There is an admission fee.","","142564","1","","","","Public - state","48.3'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Turner Sharp","2016-09-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Gila","Tonto Natural Bridge State Park","34 19.208","-111 27.439","There is an admission fee.","","142563","1","34 19.208","-111 27.439","","Public - state","54.6'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Turner Sharp","2016-09-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Gila","Tonto Natural Bridge State Park","","","There is an admission fee.","","142561","1","","","","Public - state","62.5'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2016-09-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Gila","Tonto Natural Bridge State Park","34 19.361","-111 27.341","There is an admission fee.","","142562","1","34 19.361","-111 27.341","","Public - state","63.8'","Clinometer/laser rangefinder/sine","10.4'","125''","","Dead top.","Turner Sharp","2016-09-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Pima","Santa Catalina Mountains","32 21.977","-110 42.475","","","226312","1","32 21.977","-110 42.475","5600.0 ft","Public - National Forest","56.1'","Clinometer/laser rangefinder/sine","6.2'","74''","","","Turner Sharp, Denise Sharp","2012-02-02","","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Pima","Santa Catalina Mountains","32 21.977","-110 42.475","","","226311","1","32 21.977","-110 42.475","","Public - National Forest","58.5'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp, Denise Sharp","2012-02-02","","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Pima","Santa Catalina Mountains","32 21.977","-110 42.475","","","226302","1","32 21.977","-110 42.475","5600.0 ft","Public - National Forest","77.8'","Clinometer/laser rangefinder/sine","9.3'","112''","","","Turner Sharp, Denise Sharp","2012-02-02","","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Pima","University Of Arizona Arboretum","32 13.921","-110 57.390","Offices located in Herring Hall","","274859","1","32 13.921","-110 57.390","2400.0 ft","Public","81.6'","Clinometer/laser rangefinder/sine","5.8'","69''","","","Turner Sharp","2017-02-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D8181","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Yavapai","Crescent Moon Picnic Area","","","","","130898","1","","","4000.0 ft","Public","38.3'","Clinometer/laser rangefinder/sine","7.1'","86''","","","Turner Sharp","2014-06-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Yavapai","Crescent Moon Picnic Area","","","","","130893","1","","","4000.0 ft","Public","46.4'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Turner Sharp","2014-06-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Yavapai","Crescent Moon Picnic Area","","","","","130896","1","","","4000.0 ft","Public","73.3'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Turner Sharp","2014-06-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Yavapai","Red Rock State Park","","","","","32594","1","","","3800.0 ft","Public - state Park","64.4'","","","","","May be planted specimen. Tentative species ID","Turner Sharp","2012-03-06","","N"
"Arizona Cypress","Hesperocyparis arizonica","Arizona","Yavapai","Red Rock State Park","","","","","32595","1","","","3800.0 ft","Public - state Park","73.4'","","","","","May be planted specimen. Tentative species ID","Turner Sharp","2012-03-06","","N"
"Arizona Cypress","Hesperocyparis arizonica","Pennsylvania","Montgomery","Henry Foundation For Botanical Research","","","501 Stoney Lane, Gladwyne, Montgomery County.","","142269","1","","","","Private","66.4'","Clinometer/laser rangefinder/sine","5.0'","60''","10.0'","","Scott Wade","2008-11-07","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fhenry_foundation_gladwyne_pa.htm","N"
