"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"American Holly","Ilex opaca","Alabama","Lawrence","Sispey River Picnic Area","","","","","233694","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","2.2'","26''","","","Zack Stewart","2007-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fsipsey_river_picnic_area.htm","N"
"American Holly","Ilex opaca","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241588","1","","","","Public - state","73.7'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"American Holly","Ilex opaca","Georgia","Fannin","Jacks River And Conasauga Creek","","","Trees were measured in both drainages and will be indicated under comments","","234808","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","4.3'","51''","","Conasauga Creek","Jess Riddle","2005-01-18","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fjacks_river.htm","N"
"American Holly","Ilex opaca","Massachusetts","Barnstable","Lowell Holly Reservation","","","135 Acres
Wilfred Wheeler planted many varieties of American Hollies on the Reservation.","","235783","1","","","","Public - state","40.3'","Clinometer/laser rangefinder/sine","","","","","Doug Bidlack","2009-02-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca","Massachusetts","Barnstable","Lowell Holly Reservation","","","135 Acres
Wilfred Wheeler planted many varieties of American Hollies on the Reservation.","","235784","1","","","","Public - state","45.9'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Doug Bidlack","2009-02-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca","Massachusetts","Barnstable","Lowell Holly Reservation","","","135 Acres
Wilfred Wheeler planted many varieties of American Hollies on the Reservation.","","235785","1","","","","Public - state","49.8'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Doug Bidlack","2009-02-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca","Massachusetts","Barnstable","Lowell Holly Reservation","","","135 Acres
Wilfred Wheeler planted many varieties of American Hollies on the Reservation.","","235786","1","","","","Public - state","52.6'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Doug Bidlack","2009-02-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca","Massachusetts","Barnstable","Lowell Holly Reservation","","","135 Acres
Wilfred Wheeler planted many varieties of American Hollies on the Reservation.","","235789","1","","","","Public - state","54.1'","Clinometer/laser rangefinder/sine","2.8'","34''","","","Doug Bidlack","2009-02-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca","Massachusetts","Barnstable","Lowell Holly Reservation","","","135 Acres
Wilfred Wheeler planted many varieties of American Hollies on the Reservation.","","235788","1","","","","Public - state","54.2'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Doug Bidlack","2009-02-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca","Massachusetts","Barnstable","Lowell Holly Reservation","","","135 Acres
Wilfred Wheeler planted many varieties of American Hollies on the Reservation.","","235781","1","","","","Public - state","55.9'","Clinometer/laser rangefinder/sine","2.5'","30''","","","Doug Bidlack","2009-02-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca","Massachusetts","Barnstable","Lowell Holly Reservation","","","135 Acres
Wilfred Wheeler planted many varieties of American Hollies on the Reservation.","","235782","1","","","","Public - state","57.9'","Clinometer/laser rangefinder/sine","3.0'","36''","","Circumference taken at 4'","Doug Bidlack","2009-02-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca","Massachusetts","Barnstable","Lowell Holly Reservation","","","135 Acres
Wilfred Wheeler planted many varieties of American Hollies on the Reservation.","","235787","1","","","","Public - state","59.0'","Clinometer/laser rangefinder/sine","2.8'","34''","","","Doug Bidlack","2009-02-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca","Massachusetts","Barnstable","Lowell Holly Reservation","","","135 Acres
Wilfred Wheeler planted many varieties of American Hollies on the Reservation.","","235790","1","","","","Public - state","60.2'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Doug Bidlack","2009-02-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca","Mississippi","Noxubee","Noxubee National Wildlife Reserve","","","Trees measured per trip reports on 11/25/2018, 12/06/2018, 04/05/2019.","","251189","1","","","","Public - federal","66.0'","Clinometer/laser rangefinder/sine","2.7'","32''","","Oktoc Creek","Larry Tucei","2011-01-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D95%26t%3D8547%26sid%3D0f79a30839ac89ac82cc365c21d27dd6","N"
"American Holly","Ilex opaca","North Carolina","Brunswick","Oak Island","","","","","164158","1","","","","Public - Regional Park","","","2.6'","31''","","","Turner Sharp","2005-09-15","","N"
"American Holly","Ilex opaca","North Carolina","Buncombe","Lake Julian Park","","","","","252156","1","","","","Public-Private","30.0'","Clinometer/laser rangefinder/sine","","","","","James Parton","2010-12-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D1805%26sid%3D75ec212a9b138fb27cc678c4fe2bdea4","N"
"American Holly","Ilex opaca","North Carolina","Buncombe","Lake Julian Park","","","","","227884","1","","","","Public-Private","34.2'","Clinometer/laser rangefinder/sine","2.3'","27''","","Section 3: Past trestle bridge","James Parton","2008-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D1805%26sid%3D75ec212a9b138fb27cc678c4fe2bdea4","N"
