"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"American Holly","Ilex opaca var. opaca","District of Columbia","District Of Columbia","Theodore Roosevelt Island","","","Roosevelt Island is administered by the GW Memorial Parkway unit of the NPS","","128217","1","","","50.0 ft","Public - National Park","50.3'","Clinometer/laser rangefinder/sine","2.3'","28''","","","Darian Copiz","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Froosevelt_island.htm","N"
"American Holly","Ilex opaca var. opaca","Delaware","New Castle","Winterthur","","","","","140161","1","","","","Private","67.6'","Clinometer/laser rangefinder/sine","2.0'","24''","","","Will Blozan, George Fieo, Scott Wade","2010-09-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D6420%23p29114","N"
"American Holly","Ilex opaca var. opaca","Kentucky","Edmonson","Mammoth Cave National Park","37 14.347","-086 11.703","","","297363","1","37 14.347","-086 11.703","645.0 ft","Public","34.8'","Clinometer/laser rangefinder/sine","2.3'","28''","","","Elijah Whitcomb","2023-06-23","","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235765","1","","","","Public - state","","Clinometer/laser rangefinder/sine","4.0'","48''","","Circumference taken at 1 1/4'","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235776","1","","","","Public - state","","Clinometer/laser rangefinder/sine","3.3'","40''","","","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235778","1","","","","Public - state","","Clinometer/laser rangefinder/sine","3.0'","36''","","Circumference taken at 3 3/4'","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235774","1","","","","Public - state","4.1'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235770","1","","","","Public - state","42.8'","Clinometer/laser rangefinder/sine","3.8'","46''","","Circumference taken at 3 3/4'","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235764","1","","","","Public - state","42.9'","Clinometer/laser rangefinder/sine","3.7'","44''","","Circumference taken at 2'","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235777","1","","","","Public - state","45.5'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235772","1","","","","Public - state","46.1'","Clinometer/laser rangefinder/sine","3.0'","36''","","Circumference taken at 2 3/4'","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235775","1","","","","Public - state","47.5'","Clinometer/laser rangefinder/sine","3.3'","40''","","Circumference taken at 4'","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235769","1","","","","Public - state","47.9'","Clinometer/laser rangefinder/sine","4.0'","48''","","Circumference taken at 2'","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235766","1","","","","Public - state","50.1'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235773","1","","","","Public - state","51.2'","Clinometer/laser rangefinder/sine","4.0'","48''","","Circumference taken at 3 3/4'","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235771","1","","","","Public - state","52.1'","Clinometer/laser rangefinder/sine","2.5'","30''","","","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235768","1","","","","Public - state","52.5'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235767","1","","","","Public - state","53.4'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235780","1","","","","Public - state","54.4'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Massachusetts","Plymouth","Nasketucket Bay State Reservation","","","210 acres","","235779","1","","","","Public - state","60.0'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Doug Bidlack","2009-02-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famericanhollies%2Famerican_hollies_in_ma.htm","N"
"American Holly","Ilex opaca var. opaca","Maryland","Anne Arundel","Chase Creek Woods","","","","","280938","1","","","","Private","56.6'","Clinometer/laser rangefinder/sine","3.5'","42''","","","Colby Rucker","2003-07-01","","N"
"American Holly","Ilex opaca var. opaca","Maryland","Anne Arundel","Corcoran Environmental Study Area","","","","","128101","1","","","","Public","69.3'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Colby Rucker","2002-04-08","","N"
"American Holly","Ilex opaca var. opaca","Maryland","Anne Arundel","Eco Trail Of Downs Memorial Park","","","","","128124","1","","","","Public County","","","1.6'","19''","","","Matthew Hannum","2007-07-01","","N"
"American Holly","Ilex opaca var. opaca","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128451","1","","","","Public - State","25.3'","Clinometer/laser rangefinder/sine","1.4'","17''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"American Holly","Ilex opaca var. opaca","New Jersey","Cumberland","Bear Swamp","","","","","170490","1","","","","State -public, private","","Clinometer/laser rangefinder/sine","5.2'","62''","","","Scott Wade, Meg Varnes, Bill Sweeney","2006-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D103%26t%3D6024%23p27147","N"
"American Holly","Ilex opaca var. opaca","New Jersey","Cumberland","Bear Swamp","","","","","170491","1","","","","State -public, private","","Clinometer/laser rangefinder/sine","5.2'","62''","","","Scott Wade, Meg Varnes, Bill Sweeney","2006-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D103%26t%3D6024%23p27147","N"
"American Holly","Ilex opaca var. opaca","New Jersey","Cumberland","Bear Swamp","","","","","170492","1","","","","State -public, private","","Clinometer/laser rangefinder/sine","5.0'","60''","","","Scott Wade, Meg Varnes, Bill Sweeney","2006-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D103%26t%3D6024%23p27147","N"
"American Holly","Ilex opaca var. opaca","New Jersey","Cumberland","Bear Swamp","","","","","170489","1","","","","State -public, private","71.2'","Clinometer/laser rangefinder/sine","5.1'","61''","","","Scott Wade, Meg Varnes, Bill Sweeney","2006-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D103%26t%3D6024%23p27147","N"
"American Holly","Ilex opaca var. opaca","New Jersey","Mercer","New Jersey Single Tree Sites","39 10.875","-074 43.383","","","171538","1","39 10.875","-074 43.383","","Public, Private","","Clinometer/laser rangefinder/sine","7.5'","90''","","Measured by B. Caselli on 2//2009 at the Oceanside Service Service Center along the NJ Parkway near Oceanside, Cape May County.","Various Various","2001-01-01","","N"
"American Holly","Ilex opaca var. opaca","Tennessee","Benton","Nathan Bedford Forrest State Park","36 05.881","-087 58.278","","","322159","1","36 05.881","-087 58.278","485.0 ft","Public","51.8'","Clinometer/laser rangefinder/sine","3.1'","37''","","","Elijah Whitcomb","2025-04-19","","N"
"American Holly","Ilex opaca var. opaca","Tennessee","Blount","Abrams Creek","","","","","230553","1","","","","Public - federal","83.6'","Clinometer/laser rangefinder/sine","","","","On Scott Gap Branch.
Height is Not Less Than (NLT)","Michael Davie, Jess Riddle","2004-03-20","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fwest_end_gsmnp.htm","N"
"American Holly","Ilex opaca var. opaca","Tennessee","Cumberland","Cumberland Mountain State Park","35 55.010","-085 01.185","","","320573","1","35 55.010","-085 01.185","1945.0 ft","Public","23.4'","Clinometer/laser rangefinder/sine","1.4'","17''","","","Elijah Whitcomb","2024-11-21","","N"
"American Holly","Ilex opaca var. opaca","Tennessee","Davidson","Nashville City Cemetery","36 08.862","-086 46.181","","","315446","1","36 08.862","-086 46.181","480.0 ft","Public","49.1'","Clinometer/laser rangefinder/sine","","","","Double trunk","Elijah Whitcomb","2024-02-04","","N"
"American Holly","Ilex opaca var. opaca","Tennessee","Grundy/Marion","Fiery Gizzard","35 14.973","-085 45.247","","","320106","1","35 14.973","-085 45.247","1740.0 ft","Public","41.9'","Clinometer/laser rangefinder/sine","1.6'","19''","","","Elijah Whitcomb","2024-11-30","","N"
"American Holly","Ilex opaca var. opaca","Tennessee","Grundy/Marion","Fiery Gizzard","35 14.850","-085 45.154","","","320107","1","35 14.850","-085 45.154","1765.0 ft","Public","46.8'","Clinometer/laser rangefinder/sine","2.0'","24''","","","Elijah Whitcomb","2024-11-30","","N"
"American Holly","Ilex opaca var. opaca","Tennessee","Morgan","Frozen Head State Park","36 10.099","-084 29.461","","","323737","1","36 10.099","-084 29.461","1300.0 ft","Public","23.9'","Clinometer/laser rangefinder/sine","0.9'","11''","","","Elijah Whitcomb, Jess Riddle","2026-05-16","","N"
"American Holly","Ilex opaca var. opaca","Tennessee","Morgan","Frozen Head State Park","36 09.933","-084 32.426","","","323749","1","36 09.933","-084 32.426","1285.0 ft","Public","46.5'","Clinometer/laser rangefinder/sine","2.9'","35''","","","Elijah Whitcomb, Jess Riddle","2026-05-16","","N"
"American Holly","Ilex opaca var. opaca","Tennessee","Scott","Big South Fork","36 28.420","-084 39.905","","","323517","1","36 28.420","-084 39.905","1350.0 ft","NPS","23.2'","Clinometer/laser rangefinder/sine","1.1'","13''","","","Elijah Whitcomb","2026-03-28","","N"
"American Holly","Ilex opaca var. opaca","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 22.101","-090 04.105","","","321942","1","35 22.101","-090 04.105","220.0 ft","Public","13.1'","Clinometer/laser rangefinder/sine","0.2'","2''","","","Elijah Whitcomb","2025-02-13","","N"
"American Holly","Ilex opaca var. opaca","Virginia","Albemarle","Ragged Mountain Natural Area","","","","","314360","1","","","","Public","21.3'","Clinometer/laser rangefinder/sine","1.2'","14''","","","Elijah Whitcomb","2023-12-28","","N"
"American Holly","Ilex opaca var. opaca","Virginia","Fairfax","Turkey Run Park","","","Part of George Washington Memorial Parkway.","","168568","1","","","","Public-federal.","41.5'","Clinometer/laser rangefinder/sine","2.2'","26''","","","Darian Copiz","2017-03-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D128%26t%3D7961","N"
"American Holly","Ilex opaca var. opaca","Virginia","Henrico","Hollywood Cemetery","","","","","198009","1","","","","Public","72.8'","Clinometer/laser rangefinder/sine","8.7'","104''","","Tag 583","Elijah Whitcomb","2019-12-13","","N"
"American Holly","Ilex opaca var. opaca","Virginia","King George","Caledon State Park","","","This is only the largest of measurements made between 12/19/2014 and 3/15/2015.","","127949","1","","","","Public - State Park","61.8'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Darian Copiz","2015-11-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D128%26t%3D7329%23p35015","N"
"American Holly","Ilex opaca var. opaca","Virginia","King George","Caledon State Park","","","This is only the largest of measurements made between 12/19/2014 and 3/15/2015.","","127939","1","","","","Public - State Park","73.8'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Darian Copiz","2015-11-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D128%26t%3D7329%23p35015","N"
"American Holly","Ilex opaca var. opaca","Virginia","Orange","Montpelier - Plantation House Trees","38 13.103","-078 10.214","","","224531","1","38 13.103","-078 10.214","600.0 ft","Private - open to public","65.4'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Will Blozan, Jess Riddle","2005-10-17","","N"
"American Holly","Ilex opaca var. opaca","Virginia","Richmond, Independent City","Hollywood Cemetery","","","","","128279","1","","","","Public","","","8.4'","101''","","","Barry Caselli","2013-01-15","","N"
"American Holly","Ilex opaca var. opaca","West Virginia","Kanawha","Spring Hill Cemetery Park","","","On the National Register of Historic Places","","224334","1","","","","Public -city","","Clinometer/laser rangefinder/sine","5.1'","61''","","","Turner Sharp","2017-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D131%26t%3D8210","N"
"American Holly","Ilex opaca var. opaca","West Virginia","Kanawha","Spring Hill Cemetery Park","38 21.063","-081 36.811","On the National Register of Historic Places","","224333","1","38 21.063","-081 36.811","900.0 ft","Public -city","52.9'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Turner Sharp","2017-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D131%26t%3D8210","N"
"American Holly","Ilex opaca var. opaca","West Virginia","Kanawha","Sunrise Carriage Trail","","","","","141550","1","","","650.0 ft","Public- City","29.8'","Clinometer/laser rangefinder/sine","2.3'","28''","","","Turner Sharp","2014-03-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D131%26t%3D6336","N"
"American Holly","Ilex opaca var. opaca","West Virginia","Nicholas","Pierson Hollow","","","","","298053","1","","","1600.0 ft","Public - state","28.2'","Clinometer/laser rangefinder/sine","1.5'","18''","","","Turner Sharp","2014-03-09","","N"
"American Holly","Ilex opaca var. opaca","West Virginia","Nicholas","Pierson Hollow","38 12.633","-080 56.462","","","298060","1","38 12.633","-080 56.462","1600.0 ft","Public - state","30.2'","Clinometer/laser rangefinder/sine","2.7'","32''","","","Turner Sharp","2014-03-09","","N"
"American Holly","Ilex opaca var. opaca","West Virginia","Preston","Mc Grew House","39 28.333","-079 41.149","House Built 1841.","","248855","1","39 28.333","-079 41.149","1800.0 ft","Public - county","36.9'","Clinometer/laser rangefinder/sine","3.3'","39''","","","Turner Sharp","2017-10-12","","N"
"American Holly","Ilex opaca var. opaca","West Virginia","Webster","Laurel Fork - Holly River SP","","","","","163262","1","","","1640.0 ft","Public - State","24.2'","Clinometer/laser rangefinder/sine","1.6'","19''","","","Turner Sharp","2016-04-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D131%26t%3D7724","N"
