"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Butternut","Juglans cinerea","Georgia","Stephens","Panther Creek","","","","","234521","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","4.0'","48''","","","Jess Riddle, Doug Riddle","2002-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Butternut","Juglans cinerea","Georgia","Stephens","Panther Creek","","","","","234522","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","3.6'","43''","","","Jess Riddle, Doug Riddle","2002-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Butternut","Juglans cinerea","Kentucky","Rockcastle","Anglins Falls","","","","","76440","1","","","","Private - State Nature Preserve open to public","104.5'","Clinometer/laser rangefinder/sine","5.0'","60''","","","Jess Riddle","2006-11-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fanglin_falls.htm","N"
"Butternut","Juglans cinerea","Massachusetts","Middlesex","Codman-North Conservation Area","","","16 Acres","","250928","1","","","","Public - city","96.3'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Jared Lockwood","2017-09-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D8095%26sid%3Df01aed3bab3c2b41d036f39fba3b6a91","N"
"Butternut","Juglans cinerea","North Carolina","Haywood","Big Creek","","","","","230482","1","","","","Public - federal","99.6'","Clinometer/laser rangefinder/sine","","","","","Michael Davie","2003-07-04","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fbig_creek%2Fbig_creek.htm","N"
"Butternut","Juglans cinerea","New York","Cattaraugus","Zoar Valley","","","","","280004","1","","","","Public","118.1'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Tom Diggins","2005-05-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Butternut","Juglans cinerea","New York","Chautauqua","Canadaway Creek","","","","","262234","1","","","","Public - state","70.0'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Erik Danieldon","2018-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"Butternut","Juglans cinerea","New York","Chautauqua","Canadaway Creek","","","","","262233","1","","","","Public - state","75.0'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Erik Danieldon","2018-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"Butternut","Juglans cinerea","New York","Chautauqua","Canadaway Creek","","","","","262232","1","","","","Public - state","83.0'","Clinometer/laser rangefinder/sine","7.7'","92''","","","Erik Danieldon","2018-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"Butternut","Juglans cinerea","New York","Chautauqua","Canadaway Creek","","","","","262264","1","","","","Public - state","89.0'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Erik Danielson","2019-01-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
