"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Alligator Juniper","Juniperus deppeana","Arizona","Cochise","Cave Creek Canyon","31 52.442","-109 10.935","","","320815","1","31 52.442","-109 10.935","5500.0 ft","Public","56.0'","Clinometer/laser rangefinder/sine","7.8'","93''","","","Elijah Whitcomb","2025-01-15","","N"
"Alligator Juniper","Juniperus deppeana","Arizona","Cochise","Cave Creek Canyon","31 52.159","-109 11.264","","","320814","1","31 52.159","-109 11.264","5360.0 ft","Public","56.1'","Clinometer/laser rangefinder/sine","5.0'","60''","","","Elijah Whitcomb","2025-01-15","","N"
"Alligator Juniper","Juniperus deppeana","Arizona","Coconino","Oak Creek Canyon","","","","","96828","1","","","","Public National Forest","20.2'","Clinometer/laser rangefinder/sine","5.3'","63''","","","Turner Sharp","2012-02-18","","N"
"Alligator Juniper","Juniperus deppeana","Arizona","Coconino","Walnut Canyon National Monument","","","","","46444","1","","","6600.0 ft","Public - National Monument","23.8'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Turner Sharp","2012-02-16","","N"
"Alligator Juniper","Juniperus deppeana","Arizona","Gila","Tonto Natural Bridge State Park","34 19.385","-111 27.290","There is an admission fee.","","142571","1","34 19.385","-111 27.290","4500.0 ft","Public - state","42.9'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Turner Sharp","2016-09-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Alligator Juniper","Juniperus deppeana","Arizona","Pima","Santa Catalina Mountains","32 20.127","-110 43.315","","","226309","1","32 20.127","-110 43.315","5700.0 ft","Public - National Forest","31.0'","Clinometer/laser rangefinder/sine","4.5'","54''","","Girth taken at 3 1/2' mid slope","Turner Sharp, Denise Sharp","2012-02-02","","N"
"Alligator Juniper","Juniperus deppeana","Arizona","Pima","Santa Catalina Mountains","32 20.127","-110 43.315","","","226307","1","32 20.127","-110 43.315","4700.0 ft","Public - National Forest","39.3'","Clinometer/laser rangefinder/sine","6.9'","82''","","","Turner Sharp, Denise Sharp","2012-02-02","","N"
"Alligator Juniper","Juniperus deppeana","Arizona","Pima","Santa Catalina Mountains","32 20.127","-110 43.315","","","226310","1","32 20.127","-110 43.315","4700.0 ft","Public - National Forest","43.4'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Turner Sharp, Denise Sharp","2012-02-02","","N"
"Alligator Juniper","Juniperus deppeana","Arizona","Various","Arizona Single Tree Sites","34 34.442","-111 10.161","","","130983","1","34 34.442","-111 10.161","7000.0 ft","Various","61.7'","Clinometer/laser rangefinder/sine","12.2'","146''","","Tree is along FS 95 south of AZ 87 near Happy Jack (Clints Well). Coconino National Forest, Coconino County.
Measured by T. Sharp 9/20/2016.","Various Varioua","2000-01-01","","N"
"Alligator Juniper","Juniperus deppeana","Arizona","Yavapai","Mingus Mountain","","","","","23963","1","","","5200.0 ft","Public National Forest","32.2'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Turner Sharp","2012-03-08","","N"
"Alligator Juniper","Juniperus deppeana","Arizona","Yavapai","Mingus Mountain","","","","","23965","1","","","5200.0 ft","Public National Forest","39.5'","Clinometer/laser rangefinder/sine","","","","Multi-stem tree measured at 2 1/2' above mid-slope
154.9""","Turner Sharp","2012-03-08","","N"
"Alligator Juniper","Juniperus deppeana","Arizona","Yavapai","Mingus Mountain","","","","","23964","1","","","5200.0 ft","Public National Forest","44.9'","Clinometer/laser rangefinder/sine","10.2'","123''","","","Turner Sharp","2012-03-08","","N"
"Alligator Juniper","Juniperus deppeana","Arizona","Yavapai","Mingus Mountain","","","","","23966","1","","","5200.0 ft","Public National Forest","50.0'","Clinometer/laser rangefinder/sine","","","","Multistem tree with CBH measured at 175.0"" 4 1/2' above midslope.","Turner Sharp","2012-03-08","","N"
"Alligator Juniper","Juniperus deppeana","New Mexico","Cibola","El Morror National Monument","35 02.362","-108 21.048","","","55074","1","35 02.362","-108 21.048","7200.0 ft","Public - federal","","","5.7'","68''","","","Turner Sharp","2006-04-02","","N"
"Alligator Juniper","Juniperus deppeana","New Mexico","Cibola","El Morror National Monument","35 02.299","-108 20.934","","","55075","1","35 02.299","-108 20.934","7200.0 ft","Public - federal","","","5.6'","67''","","","Turner Sharp","2006-04-02","","N"
