"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Oneseed Juniper","Juniperus monosperma","Arizona","Coconino","Campbell Mesa","","","","","33252","1","","","6800.0 ft","Public - National Forest","16.2'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2012-03-05","","N"
"Oneseed Juniper","Juniperus monosperma","Arizona","Coconino","Campbell Mesa","","","","","33251","1","","","6800.0 ft","Public - National Forest","20.8'","Clinometer/laser rangefinder/sine","1.7'","20''","","Largest of six stems measured for girth at 3 1/2' mid slope.","Turner Sharp","2012-03-05","","N"
"Oneseed Juniper","Juniperus monosperma","Arizona","Coconino","Walnut Canyon National Monument","","","","","46449","1","","","6600.0 ft","Public - National Monument","17.8'","Clinometer/laser rangefinder/sine","1.1'","13''","","","Turner Sharp","2012-02-16","","N"
"Oneseed Juniper","Juniperus monosperma","Arizona","Gila","Tonto Natural Bridge State Park","","","There is an admission fee.","","142573","1","","","4500.0 ft","Public - state","19.6'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2016-09-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Oneseed Juniper","Juniperus monosperma","Arizona","Yavapai","Montezuma's Well","34 38.931","-111 45.194","A unit of Montezuma Castle National Monument","","23982","1","34 38.931","-111 45.194","3600.0 ft","Public - National Monument","18.1'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2012-02-28","","N"
"Oneseed Juniper","Juniperus monosperma","Colorado","Moffat","Green River Corridor - CO","","","Trees were measured at Gates of Lodore Campground at mile 243.7, Wade and Curtis Camp at mile 241, Wild Mountain Camp at mile 229.4, Stateline Camp at mile 219.7. Mileage is measured upriver from the railroad bridge in Green River, Utah.","","126238","1","","","5400.0 ft","Public-National Monument","13.5'","Clinometer/laser rangefinder/sine","1.5'","18''","","Tree is along trail leading from the Gates of Lodore Camp Ground to an overlook.","Turner Sharp","2015-07-24","","N"
"Oneseed Juniper","Juniperus monosperma","Colorado","Moffat","Green River Corridor - CO","","","Trees were measured at Gates of Lodore Campground at mile 243.7, Wade and Curtis Camp at mile 241, Wild Mountain Camp at mile 229.4, Stateline Camp at mile 219.7. Mileage is measured upriver from the railroad bridge in Green River, Utah.","","126243","1","","","5400.0 ft","Public-National Monument","31.1'","Clinometer/laser rangefinder/sine","8.5'","102''","","Tree at Wade and Curtis campsite.","Turner Sharp","2015-07-24","","N"
"Oneseed Juniper","Juniperus monosperma","Colorado","Moffat","Green River Corridor - CO","","","Trees were measured at Gates of Lodore Campground at mile 243.7, Wade and Curtis Camp at mile 241, Wild Mountain Camp at mile 229.4, Stateline Camp at mile 219.7. Mileage is measured upriver from the railroad bridge in Green River, Utah.","","126249","1","","","5000.0 ft","Public-National Monument","35.2'","Clinometer/laser rangefinder/sine","5.0'","59''","","Tree at State Line Camp.","Turner Sharp","2015-07-24","","N"
"Oneseed Juniper","Juniperus monosperma","New Mexico","Cibola","El Morror National Monument","","","","","55076","1","","","","Public - federal","","","3.0'","36''","","","Turner Sharp","2006-04-02","","N"
"Oneseed Juniper","Juniperus monosperma","New Mexico","Cibola","El Morror National Monument","","","","","55077","1","","","","Public - federal","","","2.8'","33''","","","Turner Sharp","2006-04-02","","N"
"Oneseed Juniper","Juniperus monosperma","Utah","Uintah","Green River Corrider - UT","","","Utah portion of the Gates of Lodore are from the Utah/Colorado State Line at mile 219.3 to the Split Mountain Boat Ramp at mile 199.5. The mileage is counted upriver from the railroad bridge at Green River, Utah.","","126233","1","","","5000.0 ft","Public - National Monument","22.9'","Clinometer/laser rangefinder/sine","2.0'","25''","","Tree located at Jones Hole at mile 218.5","Turner Sharp","2015-07-27","","N"
