"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Utah Juniper","Juniperus osteosperma","Arizona","Coconino","Anita Road","","","Trees were measure on either side of Anita Road near the intersection of 
AZ 180/64","","75122","1","","","6400.0 ft","Public - Kaibab National Forest","25.0'","Clinometer/laser rangefinder/sine","3.3'","39''","","","Turner Sharp","2012-02-15","","N"
"Utah Juniper","Juniperus osteosperma","Arizona","Coconino","Anita Road","","","Trees were measure on either side of Anita Road near the intersection of 
AZ 180/64","","75125","1","","","6400.0 ft","Public - Kaibab National Forest","30.2'","Clinometer/laser rangefinder/sine","4.6'","55''","","","Turner Sharp","2012-02-15","","N"
"Utah Juniper","Juniperus osteosperma","Arizona","Coconino","Forest Service Road (FS 220)","","","Trees were measured on both sides of FS 220 near the intersection of US 89A","","220323","1","","","6700.0 ft","Public -  National Forest","24.0'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Turner Sharp","2012-02-14","","N"
"Utah Juniper","Juniperus osteosperma","Arizona","Coconino","Forest Service Road (FS 220)","","","Trees were measured on both sides of FS 220 near the intersection of US 89A","","220326","1","","","6700.0 ft","Public -  National Forest","24.0'","Clinometer/laser rangefinder/sine","4.3'","52''","","Girth taken at 3 1/2' above mid slope","Turner Sharp","2012-02-14","","N"
"Utah Juniper","Juniperus osteosperma","Arizona","Coconino","Forest Service Road (FS 220)","","","Trees were measured on both sides of FS 220 near the intersection of US 89A","","220329","1","","","6700.0 ft","Public -  National Forest","24.0'","Clinometer/laser rangefinder/sine","3.3'","40''","","Girth taken at 2 1/2' mid slope","Turner Sharp","2012-02-14","","N"
"Utah Juniper","Juniperus osteosperma","Arizona","Coconino","Forest Service Road (FS 220)","","","Trees were measured on both sides of FS 220 near the intersection of US 89A","","220322","1","","","6700.0 ft","Public -  National Forest","31.7'","Clinometer/laser rangefinder/sine","2.7'","32''","","","Turner Sharp","2012-02-14","","N"
"Utah Juniper","Juniperus osteosperma","Arizona","Coconino","Walnut Canyon National Monument","","","","","46456","1","","","6800.0 ft","Public - National Monument","28.4'","Clinometer/laser rangefinder/sine","5.8'","69''","","","Turner Sharp","2012-02-16","","N"
"Utah Juniper","Juniperus osteosperma","Colorado","Denver","Colorado Single Tree Sites","39 09.446","-108 57.216","","","242520","1","39 09.446","-108 57.216","4480.0 ft","Public - Private","","","2.6'","31''","","Tree located along Mee Canyon Trail in the Black Ridge Canyons Wilderness area, Mesa County near Fruita. Administered by the BLM
Measured by T. Sharp 7/14/2007","Various Various","2000-07-01","","N"
"Utah Juniper","Juniperus osteosperma","Colorado","Moffat","Green River Corridor - CO","","","Trees were measured at Gates of Lodore Campground at mile 243.7, Wade and Curtis Camp at mile 241, Wild Mountain Camp at mile 229.4, Stateline Camp at mile 219.7. Mileage is measured upriver from the railroad bridge in Green River, Utah.","","126240","1","","","5400.0 ft","Public-National Monument","25.3'","Clinometer/laser rangefinder/sine","5.3'","63''","","Tree at Wade and Curtis campsite.","Turner Sharp","2015-07-24","","N"
"Utah Juniper","Juniperus osteosperma","New Mexico","Mckinley","Red Rock Park","","","formerly a state Park, now managed by the city of Gallup","","33197","1","","","6600.0 ft","Public - City Park","19.6'","Clinometer/laser rangefinder/sine","3.5'","42''","","","Turner Sharp","2012-02-10","","N"
