"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Rocky Mountain Juniper","Juniperus scopulorum","Arizona","Coconino","Oak Creek Canyon","","","","","96802","1","","","6300.0 ft","Public National Forest","","Clinometer/laser rangefinder/sine","4.4'","53''","","Top out of tree","Turner Sharp","2012-02-18","","N"
"Rocky Mountain Juniper","Juniperus scopulorum","Arizona","Coconino","Oak Creek Canyon","","","","","121527","1","","","5400.0 ft","Public National Forest","56.2'","Clinometer/laser rangefinder/sine","3.3'","40''","","Near Cave Springs Campground","Turner Sharp","2015-06-02","","N"
"Rocky Mountain Juniper","Juniperus scopulorum","Arizona","Coconino","Walnut Canyon National Monument","","","","","46445","1","","","6600.0 ft","Public - National Monument","20.8'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Turner Sharp","2012-02-16","","N"
"Rocky Mountain Juniper","Juniperus scopulorum","Arizona","Coconino","Walnut Canyon National Monument","","","","","46446","1","","","6600.0 ft","Public - National Monument","40.2'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Turner Sharp","2012-02-16","","N"
"Rocky Mountain Juniper","Juniperus scopulorum","Arizona","Yavapai","Lawrence Crossing","","","Crossing of Wet Beaver Creek is on FS 618G and has a poorly maintained campground. Crossing is unused.","","130904","1","","","3600.0 ft","Public - National Forest","39.6'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Turner Sharp","2014-06-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Rocky Mountain Juniper","Juniperus scopulorum","Arizona","Yavapai","Montezuma's Well","","","A unit of Montezuma Castle National Monument","","23993","1","","","3500.0 ft","Public - National Monument","38.4'","Clinometer/laser rangefinder/sine","3.4'","40''","","","Turner Sharp","2012-02-28","","N"
"Rocky Mountain Juniper","Juniperus scopulorum","Colorado","La Plata","Hermosa Creek","","","","","280648","1","","","","Public - federal","35.0'","Clinometer/laser rangefinder/sine","7.9'","95''","16.8'","Crown spread is an average of the two axis method, Maximum spread is 18.5'","Matt Markworth, Will Blozan, Larry Tucei","2015-06-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
"Rocky Mountain Juniper","Juniperus scopulorum","Colorado","Larimer","Cub Lake Trail","","","Portions of the park are also in Grand and Boulder counties.Except for the Alder and Water Birch all the trees measured were on a glacial feature (Morain) elevated from the valley floor 10- 50'","","126295","1","","","8100.0 ft","Public - National Park","24.5'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Turner Sharp","2016-06-17","","N"
"Rocky Mountain Juniper","Juniperus scopulorum","Colorado","Larimer","Cub Lake Trail","40 21.371","-105 36.949","Portions of the park are also in Grand and Boulder counties.Except for the Alder and Water Birch all the trees measured were on a glacial feature (Morain) elevated from the valley floor 10- 50'","","126294","1","40 21.371","-105 36.949","8100.0 ft","Public - National Park","31.3'","Clinometer/laser rangefinder/sine","2.1'","25''","","","Turner Sharp","2016-06-17","","N"
"Rocky Mountain Juniper","Juniperus scopulorum","Idaho","Valley, Custer, Lemhi, Idaho","Middle Fork Of Salmon River Corridor-Dagger Falls To Confluence Of Salmon River","45 03.367","-114 43.413","The river Corridor is in the Federal Wild and Scenic system.","","196079","1","45 03.367","-114 43.413","3500.0 ft","Public - National Forest","23.7'","Clinometer/laser rangefinder/sine","1.6'","19''","","At Survey Camp","Turner Sharp","2011-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D3521","N"
