"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Eastern Redcedar","Juniperus virginiana","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233880","1","","","","Public - federal","96.3'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Eastern Redcedar","Juniperus virginiana","Arkansas","Garland","Hot Springs National Park","","","","","137050","1","","","","Public - federal","52.5'","Clinometer/laser rangefinder/sine","5.4'","64''","","","Turner Sharp","2016-09-05","","N"
"Eastern Redcedar","Juniperus virginiana","Arkansas","Garland","Hot Springs National Park","","","","","137051","1","","","700.0 ft","Public - federal","54.2'","Clinometer/laser rangefinder/sine","5.0'","60''","","","Turner Sharp","2016-09-05","","N"
"Eastern Redcedar","Juniperus virginiana","Florida","Levy","Manatee Springs State Park","29 29.373","-082 58.549","","","159252","1","29 29.373","-082 58.549","","Public - state","72.7'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Turner Sharp","2017-03-08","","N"
"Eastern Redcedar","Juniperus virginiana","Georgia","Habersham","Davidson Creek","","","","","234924","1","","","","Public - federal","61.8'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Jess Riddle","2003-05-04","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fdavidson_creek.htm","N"
"Eastern Redcedar","Juniperus virginiana","Georgia","Walker","Pigeon Mountain","","","Trees measured in ""The Pocket""","","243323","1","","","","Public - state","73.2'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Jess Riddle","2004-09-08","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fpocket.htm","N"
"Eastern Redcedar","Juniperus virginiana","Georgia","Walker","Pigeon Mountain","","","Trees measured in ""The Pocket""","","243319","1","","","","Public - state","84.3'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Jess Riddle","2004-09-08","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fpocket.htm","N"
"Eastern Redcedar","Juniperus virginiana","Kentucky","Edmonson","Mammoth Cave National Park","37 12.969","-086 15.805","","","297328","1","37 12.969","-086 15.805","415.0 ft","Public","70.8'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Elijah Whitcomb","2023-06-23","","N"
"Eastern Redcedar","Juniperus virginiana","North Carolina","Guilford","Guilford Courthouse","","","","","40746","1","","","","Public","66.2'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-11-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4752","N"
"Eastern Redcedar","Juniperus virginiana","North Carolina","Guilford","Owl's Roost Trail","","","","","40808","1","","","","Private, Trails Public","76.7'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2011-11-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D3321","N"
"Eastern Redcedar","Juniperus virginiana","New York","Cayuga","Fort Hill Cemetery","42 55.428","-076 34.421","","","214935","1","42 55.428","-076 34.421","705.0 ft","Public","56.6'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Elijah Whitcomb","2020-09-07","","N"
"Eastern Redcedar","Juniperus virginiana","New York","Columbia","Clermont State Historic Site","","","","","186063","1","","","","Public","54.2'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-03-17","","N"
"Eastern Redcedar","Juniperus virginiana","New York","Schoharie","Lasell Park","","","","","113266","1","","","","Public","67.4'","Clinometer/laser rangefinder/sine","6.3'","75''","","","Elijah Whitcomb","2015-12-26","","N"
"Eastern Redcedar","Juniperus virginiana","Ohio","Greene","Clifton Gorge State Nature Preserve","","","","","52731","1","","","","Public","53.1'","Clinometer/laser rangefinder/sine","7.1'","85''","","Above the gorge","Matt Markworth","2013-11-23","","N"
"Eastern Redcedar","Juniperus virginiana","Ohio","Warren","Fort Ancient Area","","","","","162526","1","","","","public","77.0'","Clinometer/laser rangefinder/sine","8.1'","98''","","roadside attraction near historic home","Stefan Radivoyevitch","2017-09-11","","N"
"Eastern Redcedar","Juniperus virginiana","Pennsylvania","Chester","Cedar Hollow Preserve","","","","","142970","1","","","","Conservancy","48.0'","Clinometer/laser rangefinder/sine","6.1'","73''","","","George Fieo","2009-03-14","","N"
