"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Eastern Redcedar","Juniperus virginiana var. virginiana","Alabama","Jackson","Walls Of Jericho","34 59.273","-086 05.067","","","315708","1","34 59.273","-086 05.067","920.0 ft","Public","87.3'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Elijah Whitcomb","2024-04-20","","N"
"Eastern Redcedar","Juniperus virginiana var. virginiana","Alabama","Jackson","Walls Of Jericho","34 59.174","-086 05.609","","","315709","1","34 59.174","-086 05.609","820.0 ft","Public","89.1'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Elijah Whitcomb","2024-04-20","","N"
"Eastern Redcedar","Juniperus virginiana var. virginiana","Alabama","Jackson","Walls Of Jericho","34 59.284","-086 05.125","","","315710","1","34 59.284","-086 05.125","820.0 ft","Public","99.0'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Elijah Whitcomb","2024-04-20","","N"
"Eastern Redcedar","Juniperus virginiana var. virginiana","Indiana","Lawrence","Pioneer Village","","","","","233688","1","","","","Public- state","82.5'","Clinometer/laser rangefinder/sine","10.1'","121''","","","Matt Markworth","2017-02-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6186%23p28117","N"
"Eastern Redcedar","Juniperus virginiana var. virginiana","Indiana","Lawrence","Pioneer Village","","","","","233687","1","","","","Public- state","85.0'","Clinometer/laser rangefinder/sine","10.9'","131''","","","Matt Markworth","2017-02-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6186%23p28117","N"
"Eastern Redcedar","Juniperus virginiana var. virginiana","Indiana","Lawrence","Pioneer Village","","","","","233686","1","","","","Public- state","86.0'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Matt Markworth","2017-02-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6186%23p28117","N"
"Eastern Redcedar","Juniperus virginiana var. virginiana","Kentucky","Edmonson","Mammoth Cave National Park","","","","","76406","1","","","680.0 ft","Public","68.1'","Clinometer/laser rangefinder/sine","8.0'","96''","","","Turner Sharp","2013-03-19","","N"
"Eastern Redcedar","Juniperus virginiana var. virginiana","Kentucky","Edmonson","Mammoth Cave National Park","","","","","76404","1","","","680.0 ft","Public","68.7'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Turner Sharp","2013-03-19","","N"
"Eastern Redcedar","Juniperus virginiana var. virginiana","Kentucky","Edmonson","Mammoth Cave National Park","","","","","76403","1","","","680.0 ft","Public","75.4'","Clinometer/laser rangefinder/sine","9.1'","110''","","","Turner Sharp","2013-03-19","","N"
"Eastern Redcedar","Juniperus virginiana var. virginiana","Kentucky","Edmonson","Mammoth Cave National Park","37 11.096","-086 06.017","","","76402","1","37 11.096","-086 06.017","680.0 ft","Public","80.1'","Clinometer/laser rangefinder/sine","7.4'","88''","","","Turner Sharp","2013-03-19","","N"
