"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Mountain Laurel","Kalmia latifolia","Massachusetts","Bristol","Copicut Woods","","","516 Acres and is part of the Southeastern Massachusetts Bioreserve. (13,600 acres)","","250674","1","","","","Public - city","19.1'","Clinometer/laser rangefinder/sine","0.8'","9''","","","Doug Bidlack, Jared Lockwood","2017-03-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7949%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
"Mountain Laurel","Kalmia latifolia","Maryland","Anne Arundel","Chase Creek Woods","","","","","280958","1","","","","Private","17.7'","Clinometer/laser rangefinder/sine","0.8'","9''","","","Colby Rucker","2003-07-01","","N"
"Mountain Laurel","Kalmia latifolia","North Carolina","Swain","Deep Creek","","","","","229782","1","","","","Public - national","","Clinometer/laser rangefinder/sine","4.0'","48''","","","Jess Riddle","2002-09-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fbeetree%2Fbeetree_creek.htm","N"
"Mountain Laurel","Kalmia latifolia","North Carolina","Wake","North Carolina Single Tree Sites","35 20.950","-082 46.600","","","252307","1","35 20.950","-082 46.600","3300.0 ft","Public and Private","23.6'","Clinometer/laser rangefinder/sine","1.8'","21''","","Measured by T.Sharp 9/15/2017. Located along trail  at "" Cradle of Forestry""  in Pisgah National Forest. Near Pisgah Forest, Transylvania County.","Various Various","2000-01-01","","N"
"Mountain Laurel","Kalmia latifolia","New Jersey","Sussex","Dryden Kuser Natural Area","","","The highest elevation and farthest inland of an Atlantic Cedar Swamp.
850 acres in the Natural Area","","169990","1","","","","Public - state","11.4'","Clinometer/laser rangefinder/sine","0.7'","8''","","","Dale Luthringer","2008-04-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnew_jersey%2Fhighpoint%2Fhigh_point_state_park_nj1.htm","N"
"Mountain Laurel","Kalmia latifolia","New York","Nassau","Tiffany Creek Preserve","","","","","260090","1","","","","Public - county","21.3'","Clinometer/laser rangefinder/sine","1.1'","13''","","","Erik Danielson","2016-04-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7660%26sid%3D60eba587880cce73bb509f21b4be94c1","N"
"Mountain Laurel","Kalmia latifolia","Pennsylvania","Chester/Montgomery","Valley Forge National Park","","","","","143215","1","","","","Public, National Park","17.4'","Clinometer/laser rangefinder/sine","1.1'","13''","","Chester County","George Fieo","2009-01-20","","N"
"Mountain Laurel","Kalmia latifolia","Pennsylvania","Clarion","CFSP-Seneca Forest Special Management Area","","","","","148215","1","","","","Public - state","14.6'","Clinometer/laser rangefinder/sine","0.4'","5''","","Fire tower","Dale Luthringer","2003-12-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D116%26t%3D8154","N"
"Mountain Laurel","Kalmia latifolia","Pennsylvania","Elk","Marion Brooks Natural Area","","","Four trees were measured on 7/12/2009
Trees measured were away from the area of an almost pure stand of Paper Birch.","","139530","1","","","","Public - state","10.0'","Clinometer/laser rangefinder/sine","0.7'","8''","","","Edward Frank","2009-01-02","","N"
"Mountain Laurel","Kalmia latifolia","Pennsylvania","Jefferson","Gas Company Laurel Fields","","","","","139956","1","","","1800.0 ft","Private","9.5'","Long measuring pole","0.5'","6''","","#1.Maximum lateral spread 4.9', girth at 1' = 1.0'","Edward Frank","2006-06-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Flaurelfields%2Flaurel_pole.htm","N"
"Mountain Laurel","Kalmia latifolia","Pennsylvania","Jefferson","Gas Company Laurel Fields","","","","","139957","1","","","","Private","12.0'","Long measuring pole","0.3'","4''","","#2 Maximum lateral spread 10.5', girth at 1.0' = 0.75'","Edward Frank","2006-06-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Flaurelfields%2Flaurel_pole.htm","N"
"Mountain Laurel","Kalmia latifolia","Pennsylvania","Jefferson","Gas Company Laurel Fields","","","","","139958","1","","","","Private","13.5'","Long measuring pole","0.6'","7''","","#3 Girth at 1.0' = 0.9'","Edward Frank","2006-06-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Flaurelfields%2Flaurel_pole.htm","N"
"Mountain Laurel","Kalmia latifolia","Pennsylvania","Jefferson","Gas Company Laurel Fields","","","","","139959","1","","","","Private","14.6'","Long measuring pole","1.3'","15''","20.8'","#4 Crown spread is maximum, maximum lzeral spread is 10.8'
Girth at 1.0' = 1.5'","Edward Frank","2006-06-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Flaurelfields%2Flaurel_pole.htm","N"
