"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"European Larch","Larix decidua","Lesser Poland Voivodeship","Kraków","Planty Park","","","This city park was developed in the 1820-1840 time period  by tearing down the walls surrounding  the  old city of Krakow  and dedicating the space to an urban lineral park of about 2.5 miles of varying width.","","283506","1","","","","Public - city","74.0'","Clinometer/laser rangefinder/sine","6.9'","83''","","Near Florian's Gate","Turner Sharp, Susan Sharp","2016-03-24","","N"
"European Larch","Larix decidua","South Bohemian Region","Ceský Krumlov","Cesky Kumlov Castle Garden","","","UNESCO WORLD HERITAGE SITE.","","284679","1","","","","Public - federal","100.8'","Clinometer/laser rangefinder/sine","8.7'","104''","","","Turner Sharp","2016-03-18","","N"
"European Larch","Larix decidua","South Bohemian Region","Ceský Krumlov","Cesky Kumlov Castle Garden","","","UNESCO WORLD HERITAGE SITE.","","284680","1","","","","Public - federal","116.5'","Clinometer/laser rangefinder/sine","12.7'","152''","","","Turner Sharp","2016-03-18","","N"
"European Larch","Larix decidua","Delaware","New Castle","Rockwood Park","","","","","75464","1","","","","Public - County Park","78.0'","Clinometer/laser rangefinder/sine","7.6'","91''","","","Scott Wade, Meg Varnes","2007-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fdelaware%2Frockwood%2Fdelaware_trees.htm","N"
"European Larch","Larix decidua","Massachusetts","Franklin","Buckland State Forest","42 34.677","-072 45.213","","","250176","2","42 34.677","-072 45.213","","Public - state","147.7'","Clinometer/laser rangefinder/sine","","","","","John Eichholz, John Eichholz","2012-03-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D1525%26sid%3Df4a6e4470aee0238cfd4fb23a06e6032","N"
"European Larch","Larix decidua","Massachusetts","Suffolk","Massachusetts Single Tree Sites","42 36.791","-072 28.737","","","256004","1","42 36.791","-072 28.737","","Public-Private","92.1'","Clinometer/laser rangefinder/sine","4.8'","58''","","Measured by J. LaCoy 2/5/2009 at a picnic area across from the Northfield  Mountain Project, near Northfield, Franklin County.","Various Various","2001-01-01","","N"
"European Larch","Larix decidua","North Carolina","Buncombe","Biltmore Estate","","","Trees were measured during an ENT gathering.","","243507","1","","","","Private","131.8'","Clinometer/laser rangefinder/sine","","","","","James Parton","2008-04-27","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fbiltmore%2Fents_gathering_biltmore_estate.htm","N"
"European Larch","Larix decidua","North Carolina","Buncombe","Kenilworth Pinetum","","","","","39770","1","","","","Private Home","81.4'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4802","N"
"European Larch","Larix decidua","New York","Cayuga","Fort Hill Cemetery","42 55.558","-076 34.264","","","214918","1","42 55.558","-076 34.264","795.0 ft","Public","86.3'","Clinometer/laser rangefinder/sine","9.6'","115''","","","Elijah Whitcomb","2020-09-07","","N"
"European Larch","Larix decidua","New York","Cayuga","Willard Memorial Chapel, 17 Nelson St. Auburn, NY","42 56.210","-076 33.876","","","113296","1","42 56.210","-076 33.876","","Community organization/Unknown","63.8'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Elijah Whitcomb","2012-05-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D4110","N"
"European Larch","Larix decidua","New York","Chautauqua","Canadaway Creek","","","","","263258","1","","","","Public - state","109.4'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-02-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"European Larch","Larix decidua","New York","Chautauqua","Canadaway Creek","","","","","263257","1","","","","Public - state","109.5'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Erik Danielson","2016-02-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"European Larch","Larix decidua","New York","Chautauqua","Canadaway Creek","","","","","263205","1","","","","Public - state","119.1'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Erik Danielson","2016-02-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"European Larch","Larix decidua","New York","Chautauqua","Chautauqua Creek Gorge","","","Trees measured during visits on 2/9/2019, 3/6/2019","","264133","1","","","","Public - state","124.5'","Clinometer/laser rangefinder/sine","4.7'","56''","","","Erik Danielson","2018-05-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8107%26start%3D10%26sid%3D147272388024481ad73b800144c5c8ae","N"
"European Larch","Larix decidua","New York","Franklin","Ampersand Basin","","","Trees measured on 10/22 2019, E. Whitcomb
 9/8/2020. 9/9/2020, 9/13/2020,9/14/2020, E. Danielson. 10/22","","264738","1","","","","Public - state","101.5'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Erik Danielson, Elijah Whitcomb","2020-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8730%26sid%3Daef53288401235d377d10dca07017ed8%23p44543","N"
"European Larch","Larix decidua","New York","Monroe","Genessee Valley Park","","","","","189772","1","","","","Public","104.9'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Elijah Whitcomb","2019-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8540","N"
"European Larch","Larix decidua","New York","Oneida","Root Glen","","","","","192573","1","","","","Private","112.2'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb, Tom Howard","2016-04-02","","N"
"European Larch","Larix decidua","New York","Onondaga","Green Lakes State Park","","","","","221108","1","","","","Public","101.7'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard, Bob Henry","2020-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"European Larch","Larix decidua","New York","Ontario","Glenwood Cemetery","42 50.885","-076 59.018","","","229185","1","42 50.885","-076 59.018","525.0 ft","Public","88.8'","Clinometer/laser rangefinder/sine","8.8'","105''","","","Elijah Whitcomb","2020-12-27","","N"
"European Larch","Larix decidua","New York","Tompkins","Cornell Plantations/Beebe Lake Woods","","","","","282321","1","","","","Private:  Cornell University","63.6'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2020-11-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D6655","N"
"European Larch","Larix decidua","New York","Ulster","Balsam Mountain","","","Trees were measured on the Western slopes of Balsam mountain which includes much of Rider Hollow.","","275189","1","","","","Public - state","108.6'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2006-11-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnew_york%2Fbalsam_mountain.htm","N"
"European Larch","Larix decidua","New York","Ulster","Balsam Mountain","","","Trees were measured on the Western slopes of Balsam mountain which includes much of Rider Hollow.","","275190","1","","","","Public - state","116.9'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Jess Riddle","2006-11-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnew_york%2Fbalsam_mountain.htm","N"
"European Larch","Larix decidua","New York","Ulster","Balsam Mountain","","","Trees were measured on the Western slopes of Balsam mountain which includes much of Rider Hollow.","","275191","1","","","","Public - state","117.2'","Clinometer/laser rangefinder/sine","5.8'","69''","","","Jess Riddle","2006-11-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnew_york%2Fbalsam_mountain.htm","N"
