"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Tamarack","Larix laricina","British Columbia","Northern Rockies","Liard River Hot Springs Provincial Park","","","","","74995","1","","","1574.8 ft","Public - Provincial Park","70.2'","Clinometer/laser rangefinder/sine","3.0'","36''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"Tamarack","Larix laricina","Maine","Penobscot","Sunkhaze Meadows National Wildlife Refuge","","","11,446 Acres","","235319","1","","","","Public - federal","67.2'","Clinometer/laser rangefinder/sine","2.8'","34''","","","Jess Riddle","2006-11-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmaine%2Fsunkhaze_meadows_nwr.htm","N"
"Tamarack","Larix laricina","Minnesota","Ramsey","Minnesota Single Tree Sites","46 21.658","-094 12.141","","","239943","1","46 21.658","-094 12.141","","Public, Private","67.0'","Clinometer/laser rangefinder/sine","11.9'","143''","67.0'","Measured by Pierce on 1/25/2015. Tree is located near Brainard, Crow Wing County,","Various Various","2000-01-01","","N"
"Tamarack","Larix laricina","New York","Essex","Cherry Patch Pond","","","","","228319","1","","","","Public","73.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Tamarack","Larix laricina","New York","Essex","Cherry Patch Pond","","","","","228320","1","","","","Public","90.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Tamarack","Larix laricina","New York","Essex","Cherry Patch Pond","","","","","228337","1","","","","Public","110.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Tamarack","Larix laricina","New York","Essex","Hoffman Notch Wilderness","","","","","221361","1","","","","Public","98.0'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Elijah Whitcomb","2017-09-16","","N"
"Tamarack","Larix laricina","New York","Essex","Huntington Forest, Newcomb, NY","","","","","211739","1","","","","Public","102.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2017-09-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7044","N"
"Tamarack","Larix laricina","New York","Essex","Huntington Forest, Newcomb, NY","43 58.166","-074 12.712","","","211754","1","43 58.166","-074 12.712","","Public","131.6'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Elijah Whitcomb","2017-09-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7044","N"
"Tamarack","Larix laricina","New York","Essex","Mckenzie Mountain Wilderness Area","","","37,616 acres","","263787","1","","","","Public - state","116.0'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Erik Danielson","2020-09-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8729%26sid%3Db1d9c227dc971ecfa2972aa531ee4a79","N"
"Tamarack","Larix laricina","New York","Essex","Pharaoh Lake Wilderness","","","","","214314","1","","","","Public","104.1'","Clinometer/laser rangefinder/sine","","","","Pharaoh Lake Trail","Elijah Whitcomb","2018-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7995","N"
"Tamarack","Larix laricina","New York","Essex","Pharaoh Lake Wilderness","","","","","214331","1","","","","Public","104.8'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2018-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7995","N"
"Tamarack","Larix laricina","New York","Essex","Pharaoh Lake Wilderness","","","","","214330","1","","","","Public","108.3'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Elijah Whitcomb","2018-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7995","N"
"Tamarack","Larix laricina","New York","Franklin","Ampersand Basin","","","Trees measured on 10/22 2019, E. Whitcomb
 9/8/2020. 9/9/2020, 9/13/2020,9/14/2020, E. Danielson. 10/22","","264759","1","","","","Public - state","109.7'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Erik Danielson, Elijah Whitcomb","2020-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8730%26sid%3Daef53288401235d377d10dca07017ed8%23p44543","N"
"Tamarack","Larix laricina","New York","Franklin","Ampersand Mountain","","","","","205073","1","","","","Public","103.4'","Clinometer/laser rangefinder/sine","4.8'","57''","","","Erik Danielsen, Jared Lockwood, Elijah Whitcomb","2017-11-30","","N"
"Tamarack","Larix laricina","New York","Franklin","Ampersand Mountain","","","","","205083","1","","","","Public","109.7'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Erik Danielsen, Jared Lockwood, Elijah Whitcomb","2017-11-30","","N"
"Tamarack","Larix laricina","New York","Franklin","Ascent Of Mount Van Dorrien","","","Trees measured 9/8/2020, 9/9/2020","","265063","1","","","","Public - state","101.5'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Erik Danielson","2020-09-09","","N"
"Tamarack","Larix laricina","New York","Franklin","Elders Grove, Paul Smiths, NY","","","","","257032","1","","","","Public-Private","83.2'","Clinometer/laser rangefinder/sine","","","","","Dale Luthringer","2005-10-19","ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D4359%26sid%3Dc908254de7b41a1baee6e37162e8896b%26start%3D10%23p38133","N"
"Tamarack","Larix laricina","New York","Franklin","High Peaks Wilderness","","","275,40  acres located in franklin and Essex Counties.","","265314","1","","","","Public - state","103.4'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Erik Danielson","2017-11-30","","N"
"Tamarack","Larix laricina","New York","Hamilton","Pine Orchard","","","","","207825","1","","","","Public","84.6'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2016-06-11","","N"
"Tamarack","Larix laricina","New York","Hamilton","Pine Orchard","","","","","207826","1","","","","Public","89.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2016-06-11","","N"
"Tamarack","Larix laricina","New York","Monroe","Powder Mills Park","","","","","207798","1","","","","Public","78.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2017-05-07","","N"
"Tamarack","Larix laricina","New York","Warren","Cole’S Woods","","","","","207857","1","","","","Public","62.1'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-05-24","","N"
"Tamarack","Larix laricina","New York","Wayne","Zurich Bog","","","","","221771","1","","","","Private","59.8'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-06-03","","N"
"Tamarack","Larix laricina","New York","Wayne","Zurich Bog","","","","","221772","1","","","","Private","61.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-06-03","","N"
"Tamarack","Larix laricina","Ohio","Portage","Kent Bog Nature Preserve","","","The largest self-sustaining population of tamarack in the state","","196035","1","","","","public","44.0'","Clinometer/laser rangefinder/sine","","","","base of tree not visible. added four feet from a bench on boardwalk to actual single triangle measurement of 40 ft. Height is an estimate.","Stefan Radivoyevitch","2019-09-25","","N"
"Tamarack","Larix laricina","Ontario","Rainy River District","Rainy River","","","1,180,000 acres","","233128","1","","","","Public - state","","Clinometer/laser rangefinder/sine","10.2'","122''","","","Climbs Bigtreees","2014-06-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D113%26t%3D6399%26sid%3D1d493e39fcc69fb73dc249f02e7e5c6d","N"
"Tamarack","Larix laricina","Pennsylvania","Warren","Anders Run Natural Area","","","","","119554","1","","","1200.0 ft","State - public","111.5'","Clinometer/laser rangefinder/sine","","","","Multi-stem tree","Dale Luthringer","2004-04-14","","N"
"Tamarack","Larix laricina","Pennsylvania","Warren","Anders Run Natural Area","","","","","119533","1","","","1200.0 ft","State - public","115.2'","Clinometer/laser rangefinder/sine","","","","Multi-stem tree","Dale Luthringer, Carl Harting, Steve Halow","2011-04-22","","N"
"Tamarack","Larix laricina","Pennsylvania","Warren","Buckaloons Recreation Area","","","USFS Campground","","139973","1","","","1150.0 ft","Public -federal","113.5'","Clinometer/laser rangefinder/sine","6.2'","74''","","","Dale Luthringer, Edward Frank, Carl Harting","2011-04-13","","N"
