"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Western Larch","Larix occidentalis","Idaho","Clearwater","Floodwood State Forest","46 57.109","-115 55.351","","","318049","1","46 57.109","-115 55.351","2680.0 ft","Public","173.0'","Clinometer/laser rangefinder/sine","11.2'","134''","","St. Joe NF Inholding","Elijah Whitcomb","2024-07-09","","N"
"Western Larch","Larix occidentalis","Idaho","Idaho","Powell Campground","46 30.715","-114 43.282","","","164328","2","46 30.715","-114 43.282","3400.0 ft","Public","129.9'","Clinometer/laser rangefinder/sine","6.8'","81''","","","Turner Sharp, Turner Sharp","2018-07-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Western Larch","Larix occidentalis","Idaho","Idaho","Powell Campground","46 30.725","-114 43.408","","","226252","1","46 30.725","-114 43.408","3400.0 ft","Public","157.1'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Turner Sharp","2018-07-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Western Larch","Larix occidentalis","Idaho","Idaho","Powell Campground","46 30.701","-114 43.212","","","226251","1","46 30.701","-114 43.212","3400.0 ft","Public","176.7'","Clinometer/laser rangefinder/sine","11.7'","141''","","","Turner Sharp","2018-07-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Western Larch","Larix occidentalis","Idaho","Shoshone","St. Joe River Road","47 09.163","-115 24.725","","","318064","1","47 09.163","-115 24.725","3370.0 ft","Public","178.1'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2024-07-08","","N"
"Western Larch","Larix occidentalis","Idaho","Valley","Ponderosa State Park","44 56.311","-116 04.685","","","318073","1","44 56.311","-116 04.685","5090.0 ft","Public","142.0'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Elijah Whitcomb","2024-07-10","","N"
"Western Larch","Larix occidentalis","Idaho","Valley","Ponderosa State Park","44 56.384","-116 04.534","","","318074","1","44 56.384","-116 04.534","5115.0 ft","Public","157.0'","Clinometer/laser rangefinder/sine","8.0'","95''","","","Elijah Whitcomb","2024-07-10","","N"
"Western Larch","Larix occidentalis","Massachusetts","Suffolk","Arnold Arboretum","","","","","189015","1","","","","Public","76.1'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Elijah Whitcomb","2019-06-30","","N"
"Western Larch","Larix occidentalis","Montana","Lincoln","Pleasant Valley Campground, Kootenai National Forest","48 02.522","-115 17.460","","","296883","1","48 02.522","-115 17.460","3095.0 ft","Public","158.3'","Clinometer/laser rangefinder/sine","8.5'","102''","","","Elijah Whitcomb","2022-07-04","","N"
"Western Larch","Larix occidentalis","Montana","Lincoln","Pleasant Valley Campground, Kootenai National Forest","48 02.523","-115 17.411","","","296884","1","48 02.523","-115 17.411","3075.0 ft","Public","161.7'","Clinometer/laser rangefinder/sine","9.9'","118''","","","Elijah Whitcomb","2022-07-04","","N"
"Western Larch","Larix occidentalis","Montana","Lincoln","Pleasant Valley Campground, Kootenai National Forest","48 02.537","-115 17.411","","","296885","1","48 02.537","-115 17.411","3080.0 ft","Public","171.3'","Clinometer/laser rangefinder/sine","10.5'","126''","","","Elijah Whitcomb","2022-07-04","","N"
"Western Larch","Larix occidentalis","Montana","Mineral","Little Joe Road","47 13.489","-115 15.032","","","318052","1","47 13.489","-115 15.032","4320.0 ft","Public","167.8'","Clinometer/laser rangefinder/sine","8.7'","104''","","","Elijah Whitcomb","2024-07-08","","N"
"Western Larch","Larix occidentalis","Montana","Mineral","Little Joe Road","47 13.567","-115 15.136","","","318053","1","47 13.567","-115 15.136","4400.0 ft","Public","173.8'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2024-07-08","","N"
