"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Northern Spicebush","Lindera benzoin","Georgia","Putnam","Rock Creek","","","","","234457","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","1.0'","12''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Northern Spicebush","Lindera benzoin","Massachusetts","Suffolk","Massachusetts Single Tree Sites","42 27.053","-071 12.760","","","256013","1","42 27.053","-071 12.760","","Public-Private","21.1'","Clinometer/laser rangefinder/sine","1.3'","15''","23.6'","Measured by D. Bidlack 4.15.2014 in Lexington, Middlesex County, Crown spread is an average, maximum is 26'
Circumference taken at 3' 10""","Various Various","2001-01-01","","N"
"Northern Spicebush","Lindera benzoin","Massachusetts","Suffolk","Massachusetts Single Tree Sites","42 27.052","-071 12.790","","","256014","1","42 27.052","-071 12.790","","Public-Private","22.2'","Clinometer/laser rangefinder/sine","0.7'","8''","","Measured by D. Bidlack 4/15/2014 in Lexington, Middlesex County,","Various Various","2001-01-01","","N"
"Northern Spicebush","Lindera benzoin","Maryland","Anne Arundel","Chase Creek Woods","","","","","280962","1","","","","Private","19.5'","Clinometer/laser rangefinder/sine","1.0'","12''","","","Colby Rucker","2003-07-01","","N"
"Northern Spicebush","Lindera benzoin","Maryland","Anne Arundel","Corcoran Environmental Study Area","","","","","128103","1","","","","Public","24.4'","Clinometer/laser rangefinder/sine","0.8'","10''","","","Colby Rucker","2002-04-08","","N"
"Northern Spicebush","Lindera benzoin","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128455","1","","","","Public - State","15.3'","Clinometer/laser rangefinder/sine","0.4'","5''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Northern Spicebush","Lindera benzoin","North Carolina","Wake","North Carolina Single Tree Sites","35 37.070","-082 25.816","","","252310","1","35 37.070","-082 25.816","","Public and Private","32.0'","","1.4'","17''","21.0'","Measured by W. Blozan 1/08 along Bee Tree Creek, Swannanoa.  Height was tape drop on pole.","Various Various","2000-01-01","","N"
"Northern Spicebush","Lindera benzoin","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","260026","1","","","","Public - city","19.5'","Clinometer/laser rangefinder/sine","0.3'","3''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"Northern Spicebush","Lindera benzoin","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","260025","1","","","","Public - city","21.6'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"Northern Spicebush","Lindera benzoin","New York","Tompkins","Fuertes Bird Sanctuary","","","Part of Stewart Park, City of Ithaca, NY.","","280410","1","","","","Public","","Clinometer/laser rangefinder/sine","1.1'","13''","","","Tom Howard, Elijah Whitcomb, Jess Riddle","2014-10-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D6400","N"
