"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sweetgum","Liquidambar styraciflua","Alabama","Franklin","Dismals Canyon","","","85 Acres
Registered Natural Landmark","","252491","1","","","","Private","","Clinometer/laser rangefinder/sine","8.6'","103''","","","Zack Stewart","2010-04-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D64%26t%3D1140%26sid%3D6d2a488ba7d5f4c1433f3c3bfbacc50f","N"
"Sweetgum","Liquidambar styraciflua","Alabama","Franklin","Dismals Canyon","","","85 Acres
Registered Natural Landmark","","252492","1","","","","Private","","Clinometer/laser rangefinder/sine","10.2'","122''","","","Zack Stewart","2010-04-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D64%26t%3D1140%26sid%3D6d2a488ba7d5f4c1433f3c3bfbacc50f","N"
"Sweetgum","Liquidambar styraciflua","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233884","1","","","","Public - federal","133.0'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Sweetgum","Liquidambar styraciflua","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233883","1","","","","Public - federal","136.7'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Sweetgum","Liquidambar styraciflua","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243102","1","","","","Public - federal","131.6'","Clinometer/laser rangefinder/sine","9.9'","119''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Sweetgum","Liquidambar styraciflua","Arkansas","Ashley","Levi Wilcoxan Demostration Forest","","","Originally dedicated as a demonstration forest by Crossett Lumber in 1948. Subsequent owners (GP, Plum Creek) have maintained this status","","234018","1","","","","Private","98.9'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Don Bragg","2006-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Farkansas_shortleaf.htm","N"
"Sweetgum","Liquidambar styraciflua","Arkansas","Ashley","Levi Wilcoxan Demostration Forest","","","Originally dedicated as a demonstration forest by Crossett Lumber in 1948. Subsequent owners (GP, Plum Creek) have maintained this status","","234017","1","","","","Private","120.7'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Don Bragg","2006-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Farkansas_shortleaf.htm","N"
"Sweetgum","Liquidambar styraciflua","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241593","1","","","","Public - state","131.9'","Clinometer/laser rangefinder/sine","12.3'","147''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Sweetgum","Liquidambar styraciflua","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241592","1","","","","Public - state","133.0'","Clinometer/laser rangefinder/sine","8.9'","107''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Sweetgum","Liquidambar styraciflua","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241591","1","","","","Public - state","136.2'","Clinometer/laser rangefinder/sine","9.8'","117''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
