"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Osage Orange","Maclura pomifera","Arkansas","Hempstead","Bois D'arc Creek Wildlife Management Area","","","5843 Acres","","241639","1","","","","Public - state","57.3'","Clinometer/laser rangefinder/sine","2.8'","33''","","","Jess Riddle","2014-07-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6440%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Osage Orange","Maclura pomifera","Delaware","New Castle","Hagley Museum","","","Site of the original Dupont Powder Works along Brandywine Creek","","75455","1","","","","Private","68.9'","Clinometer/laser rangefinder/sine","","","","CBH 302"" but from a picture tree appears to be a fused multistem","Scott Wade, Meg Varnes","2007-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fdelaware%2Frockwood%2Fdelaware_trees.htm","N"
"Osage Orange","Maclura pomifera","Georgia","Floyd","Rome And Floyd County","","","","","243220","1","","","","Private","60.4'","Clinometer/laser rangefinder/sine","","","","Multi-stem tree'
In Rome","Jess Riddle, Richard Ware","2006-01-18","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Ftrees_of_floyd_county.htm","N"
"Osage Orange","Maclura pomifera","Kentucky","Todd","Elkton","","","","","76443","1","","","600.0 ft","Public and Private","","Clinometer/laser rangefinder/sine","12.1'","145''","","This tree and two others are at a private residence","Jess Riddle","2005-11-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Ftodd_county_ky.htm","N"
"Osage Orange","Maclura pomifera","Kentucky","Todd","Elkton","","","","","76444","1","","","600.0 ft","Public and Private","","Clinometer/laser rangefinder/sine","16.0'","192''","","This tree and two others are at a private residence","Jess Riddle","2005-11-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Ftodd_county_ky.htm","N"
"Osage Orange","Maclura pomifera","Kentucky","Todd","Elkton","","","","","76445","1","","","600.0 ft","Public and Private","75.2'","Clinometer/laser rangefinder/sine","14.6'","175''","","This tree and two others are at a private residence","Jess Riddle","2005-11-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Ftodd_county_ky.htm","N"
"Osage Orange","Maclura pomifera","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","260008","1","","","","Public - city","59.0'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"Osage Orange","Maclura pomifera","Ohio","Butler","Miami University","","","Four Bur Oaks, including the largest one were measured on 2/3/2013 by M. Markworth.

see:http://www.ents-bbs.org/viewtopic.php?f=111&t=5009#p21622","","168443","1","","","","Public-state","","Clinometer/laser rangefinder/sine","18.5'","222''","","","Matt Markworth, Steve Galehouse","2013-05-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D111%26t%3D5371%23p23473","N"
"Osage Orange","Maclura pomifera","Ohio","Lorain","French Creek Reservation","","","","","166483","1","","","","Public","68.0'","Clinometer/laser rangefinder/sine","10.5'","126''","","","Steve Galehouse","2009-03-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fohio%2Ffrenchcreek%2Ffrenchcreek.htm","N"
"Osage Orange","Maclura pomifera","Ohio","Washington","Washington County Single Tree Sites","39 17.034","-081 35.238","Cities in Washington County are Marietta, Belpre plus the villages of Beverly, Lower Salem, Lowell, Macksburg, and Matamorus.","","312361","1","39 17.034","-081 35.238","","Private , public","69.3'","Clinometer/laser rangefinder/sine","8.2'","98''","","Tree measured by T. Sharp 2/10/2018 along 1400 block of Hocking Road, Belpre, Washington County","Turner Sharp","2000-01-01","","N"
"Osage Orange","Maclura pomifera","Pennsylvania","Greene","Ryerson Station State Park","","","1.164 acres","","167612","1","","","1140.0 ft","Publc - State","63.1'","Clinometer/laser rangefinder/sine","5.0'","60''","","Height is Not Less Than (NLT)","Dale Luthringer","2007-06-13","","N"
"Osage Orange","Maclura pomifera","Pennsylvania","Greene","Ryerson Station State Park","","","1.164 acres","","167613","1","","","1140.0 ft","Publc - State","72.6'","Clinometer/laser rangefinder/sine","10.4'","125''","65.7'","Crown spread is average","Dale Luthringer","2007-06-13","","N"
"Osage Orange","Maclura pomifera","Pennsylvania","Montgomery","Valley Forge National Historical Park","","","","","166282","1","","","","Public - federal","81.0'","Clinometer/laser rangefinder/sine","9.1'","109''","","Measured by G. Fieo 1/20/2009","Scott Wade","2005-04-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fvalley_forge%2Fvalley_forge_park.htm","N"
"Osage Orange","Maclura pomifera","Pennsylvania","Washington","Mingo Creek County Park","40 12.171","-080 00.754","","","18647","1","40 12.171","-080 00.754","","County Government","87.5'","Clinometer/laser rangefinder/sine","6.3'","75''","","measured 11/2011","Steve Halow","2011-10-24","","N"
"Osage Orange","Maclura pomifera","Tennessee","Davidson","Edwin & Percy Warner Parks","36 05.037","-086 52.892","","","315864","1","36 05.037","-086 52.892","670.0 ft","Public","49.2'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Elijah Whitcomb","2024-01-28","","N"
"Osage Orange","Maclura pomifera","West Virginia","54 Counties","West Virginia Historical Trees","38 04.356","-080 58.792","Trees that have died or been removed.This is a State wide listing except for Wood County which is in a separate list.
All heights determined by Sine method  with laser/inclinometer. Some trees have height missing because it was never taken or the Sine method was not used. These trees were mostly measured 2008 and before.","","312066","1","38 04.356","-080 58.792","2400.0 ft","Public and Private","55.0'","Clinometer/laser rangefinder/sine","13.9'","167''","55.5'","Tree is near Lookout, Fayette County, West Virginia. Measured by A. Waldron 2/14/2011. Crown spread is an average of two measurements.
Tree died fall/winter of 2019/2020.","Various Various","1963-01-01","","N"
"Osage Orange","Maclura pomifera","West Virginia","54 Counties","West Virginia Single Tree Sites","39 14.213","-081 37.701","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313181","1","39 14.213","-081 37.701","","Private & Publc","","Clinometer/laser rangefinder/sine","3.8'","45''","","This is a multistem tree.
Tree is in front yard of 201 Lubeck Road and across Lubeck Elementary School. 
Measured by T..Sharp 2011","Various Various","1963-01-01","","N"
"Osage Orange","Maclura pomifera","West Virginia","54 Counties","West Virginia Single Tree Sites","39 06.298","-080 44.528","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313144","1","39 06.298","-080 44.528","960.0 ft","Private & Publc","72.2'","Clinometer/laser rangefinder/sine","12.3'","148''","44.5'","Tree is  fused multistem. 
During 2016 the CBH, HT, and CS were measured only for the stem with the most BTP's
CS is an average of the two-axis method
Located near Leopold, Doddridge CountyTree On 3/15/2011 the height was 70.8' as measured by C. Minton.. 
CS is an average of the two-axis method
Located near Leopold, Doddridge County","Various Various","1963-01-01","","N"
"Osage Orange","Maclura pomifera","West Virginia","Wood","J. T. J Preserve - Upland Site","39 16.658","-081 30.548","","","272751","1","39 16.658","-081 30.548","","Public - city","66.2'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Turner Sharp","2016-11-26","","N"
"Osage Orange","Maclura pomifera","West Virginia","Wood","Neal Island","","","The upstream end of island has some mature trees. Parts ff the island  has healthy stands of Japaneese Knotweee 8-10 feet tall with occasional patches of stinging nettles.
Access by boat.","","271686","1","","","590.0 ft","Public - national","42.0'","Clinometer/laser rangefinder/sine","3.8'","45''","","","Turner Sharp","2011-12-19","","N"
"Osage Orange","Maclura pomifera","West Virginia","Wood","Washington Works Nature Trails","39 16.136","-081 39.410","Open to the public","","272850","1","39 16.136","-081 39.410","680.0 ft","Private","49.8'","Clinometer/laser rangefinder/sine","","","","Fused mult-stem tree.","Turner Sharp, Rachael Klimas","2016-11-22","","N"
