"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Mountain Magnolia","Magnolia fraseri","Georgia","White","Spoilcane Creek","","","","","249297","1","","","","Public - federal","111.0'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2012-01-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3514%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Mountain Magnolia","Magnolia fraseri","North Carolina","Buncombe","Elk Pen Trail","","","","","40064","1","","","","Public","91.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2013-02-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D5041","N"
"Mountain Magnolia","Magnolia fraseri","North Carolina","Haywood","Baxter Creek","","","Baxter Creek into Big Creek into Pigeon River.","","230522","1","","","","Public - federal","114.5'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Jess Riddle","2004-10-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fbaxter_creek_trail.htm","N"
"Mountain Magnolia","Magnolia fraseri","North Carolina","Haywood","Chestnut Branch","","","Chestnut Creek into Big Creek into Pigeon River
Trees were also measured on Kilby Branch which goes into Big Creek into Pigeon River","","230419","1","","","","Public - federal","109.8'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Jess Riddle, Michael Davie","2004-11-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fupper_chestnut_branch.htm","N"
"Mountain Magnolia","Magnolia fraseri","North Carolina","Haywood","Groundhog Creek","","","Groundhog Creek flows into the Pigeon River.","","227652","1","","","","Public - national","117.6'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Jess Riddle","2006-12-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fgroundhog_creek.htm","N"
"Mountain Magnolia","Magnolia fraseri","North Carolina","Swain","Cliff Branch","","","","","229659","1","","","","Public - national","121.5'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Jess Riddle","2006-05-23","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fkanati_fork.htm","N"
"Mountain Magnolia","Magnolia fraseri","North Carolina","Transylvania","King Creek","","","","","281408","1","","","","Public - federal","114.8'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Jess Riddle","2012-01-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D3536%26sid%3D5d2aded422e4a23e509a9deed392150f","N"
"Mountain Magnolia","Magnolia fraseri","North Carolina","Transylvania","Saddle Gap","","","","","252449","1","","","","Public - federal","106.6'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Jess Riddle","2011-01-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D1874%26sid%3D6a9d9b49f0fe25412fd4f71a79e2c5d9","N"
"Mountain Magnolia","Magnolia fraseri","North Carolina","Transylvania","Whitewater River & Waterfall","","","","","39877","1","","","","Public","94.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2013-01-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4913%26p%3D21201%23p21201","N"
"Mountain Magnolia","Magnolia fraseri","Pennsylvania","Delaware","Rocky Run - Tyler Arboretum","","","","","166978","1","","","","Private","55.9'","Clinometer/laser rangefinder/sine","4.3'","52''","52.0'","","Scott Wade","2008-04-02","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Ftyler_arboretum_pa.htm","N"
