"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Southern Magnolia","Magnolia grandiflora","Alabama","Lawrence","Indian Tomb Hollow","","","181,230 acres in the Bankhead National Forest","","233715","1","","","","Public - federal","83.3'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Southern Magnolia","Magnolia grandiflora","Alabama","Lawrence","Indian Tomb Hollow","","","181,230 acres in the Bankhead National Forest","","233716","1","","","","Public - federal","83.8'","Clinometer/laser rangefinder/sine","3.1'","37''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Southern Magnolia","Magnolia grandiflora","Alabama","Montgomery","Alabama Single Tree Sites","30 41.165","-088 05.214","","","253885","1","30 41.165","-088 05.214","","Public-Private","57.0'","Clinometer/laser rangefinder/sine","18.8'","226''","87.9'","Measured by L. Tucei on 6/1/2009 at 1911 Dauphing Street in Mobile, Mobile County.. 
Crown spread is an averafe of two measurements, maximum is 105'
Known as the Fred Frombough Tree.","Various Various","2001-01-01","","N"
"Southern Magnolia","Magnolia grandiflora","Alabama","Montgomery","Alabama Single Tree Sites","30 41.173","-088 03.087","","","253890","1","30 41.173","-088 03.087","","Public-Private","69.5'","Clinometer/laser rangefinder/sine","14.8'","177''","75.0'","Measured by L. Tucei 9/7/2008 in the Church Street Graveyard, Mobile, Mobile County","Various Various","2001-01-01","","N"
"Southern Magnolia","Magnolia grandiflora","Andalusia","Sevilla","Royal Alcszar O Selille","","","","","274948","1","","","","Public - federal","49.2'","Clinometer/laser rangefinder/sine","6.8'","81''","","","Turner Sharp","2014-10-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D403%26t%3D6982%26sid%3D17cca9bfba6e01cbcdc72033af7f7718%23p32830","N"
"Southern Magnolia","Magnolia grandiflora","Arkansas","Garland","Hot Springs National Park","34 30.965","-093 03.195","","","137055","1","34 30.965","-093 03.195","","Public - federal","52.9'","Clinometer/laser rangefinder/sine","6.6'","79''","","Planted.","Turner Sharp","2016-09-05","","N"
"Southern Magnolia","Magnolia grandiflora","Florida","Calhoun","Torreya State Park","30 34.381","-084 56.941","","","323415","1","30 34.381","-084 56.941","215.0 ft","Public","101.4'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Elijah Whitcomb","2026-02-19","","N"
"Southern Magnolia","Magnolia grandiflora","Florida","Leon","Florida Single Tree Sites","","","","","253895","1","","","","Public-Private","54.0'","Clinometer/laser rangefinder/sine","14.1'","169''","84.0'","Measured by L. Tucei 9/17/2007 in North Hill District of Pennsacola, Escambia County,","Various Various","2001-01-20","","N"
"Southern Magnolia","Magnolia grandiflora","Florida","Levy","Manatee Springs State Park","29 29.129","-082 58.587","","","159245","1","29 29.129","-082 58.587","","Public - state","68.8'","Clinometer/laser rangefinder/sine","5.4'","64''","","","Turner Sharp","2017-03-08","","N"
"Southern Magnolia","Magnolia grandiflora","Florida","Levy","Manatee Springs State Park","29 29.122","-082 58.557","","","159246","1","29 29.122","-082 58.557","","Public - state","75.0'","Clinometer/laser rangefinder/sine","7.3'","87''","","","Turner Sharp","2017-03-08","","N"
"Southern Magnolia","Magnolia grandiflora","Florida","Levy","Manatee Springs State Park","29 29.144","-082 58.521","","","159247","1","29 29.144","-082 58.521","","Public - state","84.9'","Clinometer/laser rangefinder/sine","7.8'","94''","","","Turner Sharp","2017-03-08","","N"
"Southern Magnolia","Magnolia grandiflora","Georgia","Harris","Callaway Gardens","","","6,500 acre resort and conference center near Pine Mountain, Georgia","","243256","1","","","","Private","64.9'","Clinometer/laser rangefinder/sine","3.8'","46''","","","John Eichholz","2005-02-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcallaway_gardens.htm","N"
"Southern Magnolia","Magnolia grandiflora","Georgia","Harris","Callaway Gardens","","","6,500 acre resort and conference center near Pine Mountain, Georgia","","243257","1","","","","Private","71.0'","Clinometer/laser rangefinder/sine","4.0'","48''","","","John Eichholz","2005-02-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcallaway_gardens.htm","N"
"Southern Magnolia","Magnolia grandiflora","Georgia","Harris","Callaway Gardens","","","6,500 acre resort and conference center near Pine Mountain, Georgia","","243258","1","","","","Private","84.5'","Clinometer/laser rangefinder/sine","5.4'","65''","","","John Eichholz","2005-02-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcallaway_gardens.htm","N"
"Southern Magnolia","Magnolia grandiflora","Georgia","Houston","Oaky Woods Wildlife Management Area","","","12,750 acres owned by paper companies and leased by the state as a public hunting area.","","234573","1","","","","Private-public","92.1'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Jess Riddle, Doug Riddle","2006-12-02","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Foaky_woods_wma.htm","N"
"Southern Magnolia","Magnolia grandiflora","Mississippi","Hinds","Mississippi Single Tree Sites","30 23.912","-089 01.619","","","253859","1","30 23.912","-089 01.619","","Public-Private","70.2'","Clinometer/laser rangefinder/sine","16.0'","192''","81.0'","Measured by L. Tucei 8/19/2007 north of Mississippi City in Handsboro section of Gulfport, Harrison County","Various Various","2001-01-01","","N"
