"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Bigleaf Magnolia","Magnolia macrophylla","Alabama","Lawrence","Sispey River Picnic Area","","","","","233690","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","4.0'","48''","","","Zack Stewart","2007-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fsipsey_river_picnic_area.htm","N"
"Bigleaf Magnolia","Magnolia macrophylla","Delaware","New Castle","Rockwood Park","","","","","75459","1","","","","Public - County Park","60.3'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Scott Wade, Meg Varnes","2007-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fdelaware%2Frockwood%2Fdelaware_trees.htm","N"
"Bigleaf Magnolia","Magnolia macrophylla","Georgia","Fulton","Leita Thompson Memorial Park","","","107 Acres","","249283","1","","","","Public - city","77.5'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2013-03-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D5097%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Bigleaf Magnolia","Magnolia macrophylla","Kentucky","Edmonson","Mammoth Cave National Park","37 14.341","-086 11.650","","","297362","1","37 14.341","-086 11.650","650.0 ft","Public","54.0'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Elijah Whitcomb","2023-06-23","","N"
"Bigleaf Magnolia","Magnolia macrophylla","Kentucky","Edmonson","Mammoth Cave National Park","37 13.693","-086 10.565","","","297382","1","37 13.693","-086 10.565","510.0 ft","Public","60.5'","Clinometer/laser rangefinder/sine","1.9'","23''","","","Elijah Whitcomb","2023-06-23","","N"
"Bigleaf Magnolia","Magnolia macrophylla","Kentucky","Edmonson","Mammoth Cave National Park","37 13.527","-086 12.014","","","297472","1","37 13.527","-086 12.014","615.0 ft","Public","65.0'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Elijah Whitcomb","2023-06-23","","N"
"Bigleaf Magnolia","Magnolia macrophylla","Kentucky","Edmonson","Mammoth Cave National Park","37 12.878","-086 13.177","","","297400","1","37 12.878","-086 13.177","455.0 ft","Public","67.1'","Clinometer/laser rangefinder/sine","2.4'","28''","","","Elijah Whitcomb","2023-06-23","","N"
"Bigleaf Magnolia","Magnolia macrophylla","Kentucky","Laurel","Rock Creel Research Area","36 59.291","-084 19.248","1,062 acres of which about 190 acres is old growth","","76438","1","36 59.291","-084 19.248","1000.0 ft","Public - National Forest","99.4'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2006-11-07","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fanglin_falls.htm","N"
"Bigleaf Magnolia","Magnolia macrophylla","New York","Monroe","Highland Park","","","","","226028","1","","","","Public","52.4'","Clinometer/laser rangefinder/sine","4.3'","51''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Bigleaf Magnolia","Magnolia macrophylla","New York","Orleans","Robin Hill Nature Preserve","","","","","189037","1","","","","Private","53.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-06-09","","N"
