"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Umbrella-Tree","Magnolia tripetala","Georgia","Fulton","Hampton- Beecher Hills Park","","","200 Acres","","249157","1","","","","Public - city","73.7'","Clinometer/laser rangefinder/sine","2.3'","28''","","","Eli Dickinson","2010-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1156%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Umbrella-Tree","Magnolia tripetala","Kentucky","Boone","Dinsmore Nature Preserve - South","","","Nature Conservancy turned this over to the Boone County Court","","165581","1","","","560.0 ft","Public - Boone County Court","33.0'","Clinometer/laser rangefinder/sine","0.9'","11''","","","Dale Luthringer","2007-09-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fdismore_woods.htm","N"
"Umbrella-Tree","Magnolia tripetala","Ohio","Franklin","Ohio Single Tree Sites","41 24.287","-082 12.662","","","302696","1","41 24.287","-082 12.662","","Public, Private","36.7'","Clinometer/laser rangefinder/sine","4.3'","52''","42.0'","Measured by S. Galehouse 7/4/2009. Located on lawn of Good Shepherd Baptist Church, 1100 Cleveland Avenue, Amherst, Lorain County","Turner Sharp","2000-01-01","","N"
"Umbrella-Tree","Magnolia tripetala","Pennsylvania","Bucks","Dilly's Corner","40 24.031","-074 58.737","Dilly's Corner is located between New Hope and Lumberville along the Delaware River and across the river from Stockton, NJ","","133206","1","40 24.031","-074 58.737","","Private","48.4'","Clinometer/laser rangefinder/sine","5.5'","66''","45.0'","crown spread is maximum, average is 42'","Scott Wade","2006-02-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fnew_hope.htm","N"
"Umbrella-Tree","Magnolia tripetala","Pennsylvania","Delaware","Smedley Park","39 55.111","-075 21.833","","","142840","1","39 55.111","-075 21.833","","County","34.7'","Clinometer/laser rangefinder/sine","1.1'","13''","","","George Fieo","2011-11-18","","N"
"Umbrella-Tree","Magnolia tripetala","Pennsylvania","Philadelphia","Wissahickon Valley Park","40 02.366","-075 12.626","","","173721","1","40 02.366","-075 12.626","","Public - city","55.5'","Clinometer/laser rangefinder/sine","3.0'","36''","","","George Fieo","2011-11-15","","N"
"Umbrella-Tree","Magnolia tripetala","Pennsylvania","Philadelphia","Wissahickon Valley Park","40 02.395","-075 12.680","","","173722","1","40 02.395","-075 12.680","","Public - city","64.4'","Clinometer/laser rangefinder/sine","2.1'","25''","","","George Fieo","2011-11-15","","N"
"Umbrella-Tree","Magnolia tripetala","Pennsylvania","Philadelphia","Wissahickon Valley Park","40 03.080","-075 13.031","","","173723","1","40 03.080","-075 13.031","","Public - city","70.4'","Clinometer/laser rangefinder/sine","2.7'","32''","","","George Fieo","2011-11-15","","N"
"Umbrella-Tree","Magnolia tripetala","Pennsylvania","Philadelphia","Wissahickon Valley Park","40 01.620","-075 11.434","","","173724","1","40 01.620","-075 11.434","","Public - city","72.1'","Clinometer/laser rangefinder/sine","2.8'","34''","","","George Fieo","2011-11-15","","N"
"Umbrella-Tree","Magnolia tripetala","Tennessee","Grundy/Marion","Fiery Gizzard","35 13.251","-085 44.197","","","320092","1","35 13.251","-085 44.197","1695.0 ft","Public","39.6'","Clinometer/laser rangefinder/sine","","","","Clump","Elijah Whitcomb","2024-11-30","","N"
"Umbrella-Tree","Magnolia tripetala","Tennessee","Grundy/Marion","Fiery Gizzard","35 12.674","-085 44.629","","","320178","1","35 12.674","-085 44.629","1460.0 ft","Public","60.6'","Clinometer/laser rangefinder/sine","1.9'","23''","","","Elijah Whitcomb","2024-11-30","","N"
"Umbrella-Tree","Magnolia tripetala","Tennessee","Jackson","Wash Morgan Hollow","","","73 Acres","","227984","1","","","","Private","66.5'","Clinometer/laser rangefinder/sine","2.1'","25''","","","Jess Riddle","2005-11-21","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Ftennessee%2Fwash_morgan_hollow.htm","N"
"Umbrella-Tree","Magnolia tripetala","Tennessee","Scott","Big South Fork","36 28.621","-084 39.982","","","323513","1","36 28.621","-084 39.982","1075.0 ft","NPS","56.1'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Elijah Whitcomb","2026-03-28","","N"
"Umbrella-Tree","Magnolia tripetala","Tennessee","Sevier","False Gap Prong","","","","","243330","1","","","","Public - national","","Clinometer/laser rangefinder/sine","3.7'","44''","","","Jess Riddle","2007-02-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Ffalse_gap_prong.htm","N"
"Umbrella-Tree","Magnolia tripetala","Tennessee","Van Buren","Fall Creek Falls State Resort Park","35 40.825","-085 22.756","","","257708","1","35 40.825","-085 22.756","1365.0 ft","Public","40.2'","Clinometer/laser rangefinder/sine","2.1'","25''","","CBH is largest of several stems","Elijah Whitcomb","2021-10-23","","N"
"Umbrella-Tree","Magnolia tripetala","Tennessee","White","Virgin Falls State Natural Area","35 50.456","-085 21.323","","","322855","1","35 50.456","-085 21.323","1160.0 ft","Public","66.5'","Clinometer/laser rangefinder/sine","2.9'","34''","","","Elijah Whitcomb","2025-11-22","","N"
"Umbrella-Tree","Magnolia tripetala","West Virginia","Fayette","Coal Run","","","Located in New River Gorge Park & Preserve near Cunard, WV.  72,800 acres.","","296177","1","","","1000.0 ft","Public - federal","64.0'","Clinometer/laser rangefinder/sine","2.2'","26''","25.5'","Crown spread is maximum, average is 20.25'
Height is ""not less then"" (NTL)","Turner Sharp","2012-12-18","","N"
"Umbrella-Tree","Magnolia tripetala","West Virginia","Fayette","Coal Run","","","Located in New River Gorge Park & Preserve near Cunard, WV.  72,800 acres.","","296178","1","","","1000.0 ft","Public - federal","69.8'","Clinometer/laser rangefinder/sine","2.7'","32''","20.3'","Crown spread is maximum and average.
Height is ""not less then"" (NTL)","Turner Sharp","2012-12-18","","N"
"Umbrella-Tree","Magnolia tripetala","West Virginia","Wood","Oakwood","39 15.813","-081 32.614","","","291266","1","39 15.813","-081 32.614","","Private","","Clinometer/laser rangefinder/sine","4.9'","59''","","","Turner Sharp","2007-12-15","","N"
