"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sweetbay","Magnolia virginiana","Arkansas","Ouachita","Sand Barrens And Oak-Pine Forest Preserve","","","The State Forest is 23,506 acres. The Preserve contains 435 aces in seven non-contiguous areas","","241625","1","","","","Public - state","68.6'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Jess Riddle","2014-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6381%26sid%3D4a7f32fbd25a5a8512e560f2bcebeb17","N"
"Sweetbay","Magnolia virginiana","Arkansas","Ouachita","Sand Barrens And Oak-Pine Forest Preserve","","","The State Forest is 23,506 acres. The Preserve contains 435 aces in seven non-contiguous areas","","241624","1","","","","Public - state","73.3'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Jess Riddle","2014-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6381%26sid%3D4a7f32fbd25a5a8512e560f2bcebeb17","N"
"Sweetbay","Magnolia virginiana","Georgia","Harris","Pine Mountain","","","","","249358","1","","","","Public-Private","66.6'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Jess Riddle, Doug Riddle","2015-01-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D6828%26sid%3Dfa1838ddf7ffd28ff9d1c740ed82adf9","N"
"Sweetbay","Magnolia virginiana","Georgia","Harris","Pine Mountain","","","","","249359","1","","","","Public-Private","75.2'","Clinometer/laser rangefinder/sine","3.5'","42''","","","Jess Riddle, Doug Riddle","2015-01-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D6828%26sid%3Dfa1838ddf7ffd28ff9d1c740ed82adf9","N"
"Sweetbay","Magnolia virginiana","Maryland","Prince George's","Patuxent Wildlife Research Center","","","","","45422","1","","","","Public - Federal, Fish & Wildlife","","Clinometer/laser rangefinder/sine","2.8'","34''","","Girth taken a 2' above ground level at midslope","Darian Copiz","2011-08-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D2899","N"
"Sweetbay","Magnolia virginiana","Maryland","Prince George's","Patuxent Wildlife Research Center","","","","","45423","1","","","","Public - Federal, Fish & Wildlife","","Clinometer/laser rangefinder/sine","1.8'","22''","","","Darian Copiz","2011-08-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D2899","N"
"Sweetbay","Magnolia virginiana","Maryland","Prince George's","Patuxent Wildlife Research Center","","","","","45424","1","","","","Public - Federal, Fish & Wildlife","55.7'","Clinometer/laser rangefinder/sine","1.8'","22''","","","Darian Copiz","2011-08-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D2899","N"
"Sweetbay","Magnolia virginiana","North Carolina","Brunswick","Oak Island","","","","","164157","1","","","","Public - Regional Park","","","2.1'","26''","","","Turner Sharp","2005-09-15","","N"
"Sweetbay","Magnolia virginiana","New Jersey","Cumberland","Bear Swamp","","","","","170493","1","","","","State -public, private","64.3'","Clinometer/laser rangefinder/sine","5.4'","65''","37.0'","","Scott Wade, Meg Varnes, Bill Sweeney","2006-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D103%26t%3D6024%23p27147","N"
"Sweetbay","Magnolia virginiana","New Jersey","Cumberland","Bear Swamp","","","","","170494","1","","","","State -public, private","68.0'","Clinometer/laser rangefinder/sine","5.1'","61''","34.0'","","Scott Wade, Meg Varnes, Bill Sweeney","2006-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D103%26t%3D6024%23p27147","N"
"Sweetbay","Magnolia virginiana","New York","Monroe","Ellison Park","43 08.649","-077 30.950","","","323147","1","43 08.649","-077 30.950","","Public","24.1'","Clinometer/laser rangefinder/sine","0.8'","10''","","Planted","Elijah Whitcomb","2025-12-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7882%26start%3D10","N"
"Sweetbay","Magnolia virginiana","New York","Nassau","Shu Swamp","","","60 acres
Also known as the Charles T. Church Nature Preserve","","258338","1","","","","Public-Private","56.9'","Clinometer/laser rangefinder/sine","0.5'","6''","","","Erik Danielson","2016-04-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7662%26sid%3Dc5e8d2b41b9f1f19f1de028e023dbcbf","N"
"Sweetbay","Magnolia virginiana","Ohio","Washington","Marietta College Campus","39 24.943","-081 27.019","Trees were measured between 1/29/2020 and 2/9/2020","","272966","1","39 24.943","-081 27.019","","Private & Publc","43.1'","Clinometer/laser rangefinder/sine","1.1'","14''","","Largest in a clump of three stems in an alcove next to an entrance of the Rickey Science Building off of 4th Street.","Turner Sharp","2020-02-09","","N"
"Sweetbay","Magnolia virginiana","West Virginia","Preston","Mc Grew House","39 28.352","-079 41.185","House Built 1841.","","248847","1","39 28.352","-079 41.185","1800.0 ft","Public - county","21.0'","Clinometer/laser rangefinder/sine","0.9'","11''","","","Turner Sharp","2017-10-12","","N"
"Sweetbay","Magnolia virginiana","West Virginia","Wood","Wood County Single Tree Sites","39 16.337","-081 32.441","includes the incorporated cities of Parkersburg, Vienna, Williamstown and North Hills.
Most measurements made before 2010 do not list a height because methods used to determine height   prior to 2010 were inaccurate,","","315049","1","39 16.337","-081 32.441","","Public and private","21.3'","Clinometer/laser rangefinder/sine","2.1'","25''","","Measured by T. Sharp 9/2/2021 in front yard of 1700 Oak Street, Parkersburg, Wood County.","Turner Sharp","2000-01-01","","N"
"Sweetbay","Magnolia virginiana","West Virginia","Wood","Wood County Single Tree Sites","39 16.335","-081 32.440","includes the incorporated cities of Parkersburg, Vienna, Williamstown and North Hills.
Most measurements made before 2010 do not list a height because methods used to determine height   prior to 2010 were inaccurate,","","315048","1","39 16.335","-081 32.440","","Public and private","25.6'","Clinometer/laser rangefinder/sine","1.8'","22''","","Measured by T. Sharp 9/2/2021 in front yard of 1700 Oak Street, Parkersburg, Wood County.","Turner Sharp","2000-01-01","","N"
