"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Paradise Apple","Malus pumila","Arizona","Coconino","Oak Creek Canyon","","","","","121538","1","","","5300.0 ft","Public National Forest","23.3'","Clinometer/laser rangefinder/sine","5.8'","69''","","Tree is in bottom near entrance to the West Fork of Oak Creek Canyon and near the location of the late Mayhew Resort (long gone)","Turner Sharp","2015-06-02","","N"
"Paradise Apple","Malus pumila","North Carolina","Buncombe","Green Hills Cemetery","","","","","243397","1","","","","Private","49.3'","Clinometer/laser rangefinder/sine","3.3'","40''","","","James Parton","2008-06-30","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fgreen_hills_cemetery_trees_ashvi.htm","N"
"Paradise Apple","Malus pumila","Pennsylvania","Clarion","CFSP-Paved Trail/Black Bear Trail","","","","","145691","1","","","","Public-state","25.3'","Clinometer/laser rangefinder/sine","","","","Measured by Ed Frank 4/23/2004.","Dale Luthringer, Edward Frank","2003-10-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna_cook_forest%2Fblack_bear_trail.htm","N"
"Paradise Apple","Malus pumila","Pennsylvania","Clarion","CFSP-Paved Trail/Black Bear Trail","","","","","145703","1","","","","Public-state","36.5'","Clinometer/laser rangefinder/sine","9.5'","114''","","At  the  entrance to the Sawmill Theater.","Dale Luthringer","2004-09-18","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna_cook_forest%2Fblack_bear_trail.htm","N"
"Paradise Apple","Malus pumila","Pennsylvania","Elk","Millstone Creek Area","","","","","145560","1","","","","Public - state","39.5'","Clinometer/laser rangefinder/sine","5.2'","62''","","Girth taken at 2.7'","Dale Luthringer, Edward Frank","2008-04-24","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fa1cc481667139773%3Fhl%3Den","N"
"Paradise Apple","Malus pumila","Pennsylvania","Forest","Hemlock Island","","","","","173795","1","","","1080.0 ft","Public - federal","","Clinometer/laser rangefinder/sine","4.7'","56''","","","Dale Luthringer, Edward Frank","2008-07-16","","N"
"Paradise Apple","Malus pumila","Pennsylvania","Lawrence","Pine Grove Wetland (Fen)","","","""Most of the shots were from underneath....""
Heights should be cosidered Not Less Than (NLT)","","171386","1","","","1150.0 ft","Private","40.0'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Carl Harting, Edward Frank","2009-06-09","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb6bd4a92bdd42239%3Fhl%3Den","N"
"Paradise Apple","Malus pumila","Pennsylvania","Various Counties","Pennsylvania Single Tree Sites","41 36.450","-078 09.011","","","255891","1","41 36.450","-078 09.011","1600.0 ft","Public, Private","45.9'","Clinometer/laser rangefinder/sine","5.8'","70''","","Tree is in Sizerville State Park near Emporium, Cameron County. Dale Luthringer in post dated 2/25/2009","Various Various","2000-01-01","","N"
"Paradise Apple","Malus pumila","Pennsylvania","Warren","Crull's Island","","","","","139111","1","","","1160.0 ft","Public - National Forest","31.5'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Dale Luthringer, Edward Frank, Carl Harting","2009-04-02","","N"
"Paradise Apple","Malus pumila","West Virginia","54 Counties","West Virginia Historical Trees","38 17.724","-080 12.336","Trees that have died or been removed.This is a State wide listing except for Wood County which is in a separate list.
All heights determined by Sine method  with laser/inclinometer. Some trees have height missing because it was never taken or the Sine method was not used. These trees were mostly measured 2008 and before.","","312067","1","38 17.724","-080 12.336","3160.0 ft","Public and Private","42.0'","Clinometer/laser rangefinder/sine","10.4'","125''","48.0'","Measured by D. Cooley, J. Rossell 4/12/10 near Woodrow, Pocahontas County. Crown spread is an average of two axis method. Tree was dead by winter of 2019/2020.","Various Various","1963-01-01","","N"
