"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Dawn Redwood","Metasequoia glyptostroboides","District of Columbia","District Of Columbia","National Arboretum","","","","","125468","1","","","","Public","79.7'","Clinometer/laser rangefinder/sine","9.1'","109''","","Girth taken at 4' above midslope.","Turner Sharp","2016-05-22","","N"
"Dawn Redwood","Metasequoia glyptostroboides","Delaware","New Castle","Valley Garden Park","","","","","231140","1","","","","Public - state","93.8'","Clinometer/laser rangefinder/sine","10.4'","125''","","","George Fieo","2014-11-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8739%26sid%3D264949d81256c7e1aa45b2ce767588b4%23p44609","N"
"Dawn Redwood","Metasequoia glyptostroboides","Delaware","New Castle","Winterthur","","","","","140156","1","","","","Private","105.9'","Clinometer/laser rangefinder/sine","16.6'","199''","","","Will Blozan, George Fieo, Scott Wade","2010-09-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D6420%23p29114","N"
"Dawn Redwood","Metasequoia glyptostroboides","Massachusetts","Hampshire","Mount Holyoke College","","","","","235852","1","","","","Private","79.0'","Clinometer/laser rangefinder/sine","","","","","Andrew Joslin","2009-02-22","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Famherst_hadley1.htm","N"
"Dawn Redwood","Metasequoia glyptostroboides","North Carolina","Buncombe","Biltmore Estate","","","Trees were measured during an ENT gathering.","","243513","1","","","","Private","117.0'","Clinometer/laser rangefinder/sine","","","","","James Parton","2008-04-27","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fbiltmore%2Fents_gathering_biltmore_estate.htm","N"
"Dawn Redwood","Metasequoia glyptostroboides","North Carolina","Buncombe","Entrance Along Bent Creek Floodplain","","","","","39503","1","","","","WNC Arboretum","79.2'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4489%26start%3D20","N"
"Dawn Redwood","Metasequoia glyptostroboides","North Carolina","Buncombe","Entrance Along Bent Creek Floodplain","","","","","39505","1","","","","WNC Arboretum","101.7'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4489%26start%3D20","N"
"Dawn Redwood","Metasequoia glyptostroboides","North Carolina","Buncombe","Entrance Along Bent Creek Floodplain","","","","","39502","1","","","","WNC Arboretum","105.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4489%26start%3D20","N"
"Dawn Redwood","Metasequoia glyptostroboides","North Carolina","Buncombe","Entrance Along Bent Creek Floodplain","","","","","39504","1","","","","WNC Arboretum","113.7'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4489%26start%3D20","N"
"Dawn Redwood","Metasequoia glyptostroboides","North Carolina","Buncombe","Entrance Along Bent Creek Floodplain","","","","","39506","1","","","","WNC Arboretum","115.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4489%26start%3D20","N"
"Dawn Redwood","Metasequoia glyptostroboides","North Carolina","Buncombe","Entrance Along Bent Creek Floodplain","","","","","39508","1","","","","WNC Arboretum","117.8'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4489%26start%3D20","N"
"Dawn Redwood","Metasequoia glyptostroboides","North Carolina","Buncombe","Entrance Along Bent Creek Floodplain","","","","","39507","1","","","","WNC Arboretum","119.3'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4489%26start%3D20","N"
"Dawn Redwood","Metasequoia glyptostroboides","North Carolina","Buncombe","Entrance Along Bent Creek Floodplain","","","","","39501","1","","","","WNC Arboretum","119.7'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4489%26start%3D20","N"
"Dawn Redwood","Metasequoia glyptostroboides","North Carolina","Buncombe","Kenilworth Pinetum","","","","","39766","1","","","","Private Home","92.5'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4802","N"
"Dawn Redwood","Metasequoia glyptostroboides","North Carolina","Henderson","Calvary Episcopal Church","","","","","235499","1","","","","Private","101.8'","Clinometer/laser rangefinder/sine","8.8'","106''","","","James Parton","2008-03-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fcalvary_htm","N"
"Dawn Redwood","Metasequoia glyptostroboides","North Carolina","Orange","Coker Arboretum","","","","","280383","1","","","","Public - state","85.1'","Clinometer/laser rangefinder/sine","6.1'","73''","","","John Eichholz","2008-04-02","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fnorth_carolina_trip_april_2008.htm","N"
