"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"White Mulberry","Morus alba","Arizona","Yavapai","Crescent Moon Picnic Area","","","","","130900","1","","","4000.0 ft","Public","25.0'","Clinometer/laser rangefinder/sine","2.4'","28''","","","Turner Sharp","2014-06-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"White Mulberry","Morus alba","Maryland","Anne Arundel","Chase Creek Woods","","","","","280943","1","","","","Private","46.3'","Clinometer/laser rangefinder/sine","1.6'","19''","","","Colby Rucker","2003-07-01","","N"
"White Mulberry","Morus alba","Ohio","Franklin","Ohio Single Tree Sites","41 21.020","-083 07.312","","","302711","1","41 21.020","-083 07.312","","Public, Private","60.5'","Clinometer/laser rangefinder/sine","","","","Multi-stem tree. 
Measured by W. Blozan 7/22/2008 near Fremont, Sandusky County","Turner Sharp","2000-01-01","","N"
"White Mulberry","Morus alba","Pennsylvania","Montgomery","Valley Forge National Historical Park","","","","","166281","1","","","","Public - federal","71.5'","Clinometer/laser rangefinder/sine","5.1'","61''","","Measured vy G. Fieo 1/20/2009","Scott Wade","2005-04-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fvalley_forge%2Fvalley_forge_park.htm","N"
"White Mulberry","Morus alba","Washington","Asortin","Snake River Corrider - Washington (River Left)","","","","","91836","1","","","840.0 ft","Public","16.2'","Clinometer/laser rangefinder/sine","1.9'","22''","","Wild Goose Camp","Turner Sharp","2014-08-27","","N"
"White Mulberry","Morus alba","West Virginia","54 Counties","West Virginia Single Tree Sites","39 13.945","-077 50.543","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313137","1","39 13.945","-077 50.543","400.0 ft","Private & Publc","64.2'","Clinometer/laser rangefinder/sine","13.7'","165''","70.5'","Tree located near Kablertown, Jefferson County, WV
Measured by J. Bowen 3/23/2010. Crown spread is maximum, average is 67'","Various Various","1963-01-01","","N"
"White Mulberry","Morus alba","West Virginia","Raleigh","Glade Creek","37 49.737","-081 00.821","","","297283","1","37 49.737","-081 00.821","1220.0 ft","Public - federal","71.2'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Turner Sharp","2020-11-10","","N"
"White Mulberry","Morus alba","West Virginia","Wood","Henderson Hall Plantation","","","All Ash found in this stand in 2012 is now dead standing or on the ground.","","271795","1","","","680.0 ft","Private","52.5'","Clinometer/laser rangefinder/sine","5.6'","67''","","Clump of four stem, measured the biggest one.","Turner Sharp","2012-11-20","","N"
"White Mulberry","Morus alba","West Virginia","Wood","Wood County Historical Trees","39 17.221","-081 31.993","Trees that have died or been removed for various reasons,
Trees measured before 2009 may not hav height listed either because it was not measured or used a method that was hifgly inaccurate.","","315251","1","39 17.221","-081 31.993","","Public and Private","28.4'","Clinometer/laser rangefinder/sine","2.8'","34''","28.3'","Measured by T. Sharp 2015.
Tree removed by landowner 2018.","Turner Sharp","2000-01-01","","N"
"White Mulberry","Morus alba","West Virginia","Wood","Wood County Single Tree Sites","39 16.805","-081 32.093","includes the incorporated cities of Parkersburg, Vienna, Williamstown and North Hills.
Most measurements made before 2010 do not list a height because methods used to determine height   prior to 2010 were inaccurate,","","314972","1","39 16.805","-081 32.093","","Public and private","28.4'","Clinometer/laser rangefinder/sine","2.8'","34''","28.3'","Measured by T. Sharp 2015
Tree located at North Reservoir 1705 26th Street. Parkersburg.","Turner Sharp","2000-01-01","","N"
"White Mulberry","Morus alba","West Virginia","Wood","Wood County Single Tree Sites","39 16.804","-081 32.094","includes the incorporated cities of Parkersburg, Vienna, Williamstown and North Hills.
Most measurements made before 2010 do not list a height because methods used to determine height   prior to 2010 were inaccurate,","","314971","1","39 16.804","-081 32.094","","Public and private","37.0'","Clinometer/laser rangefinder/sine","3.3'","39''","35.0'","Measured by T. Sharp 2015
Circumference taken at 4'.
Tree located at North Reservoir 1705 26th Street. Parkersburg.","Turner Sharp","2000-01-01","","N"
"White Mulberry","Morus alba","West Virginia","Wood","Wood County Single Tree Sites","39 18.518","-081 33.275","includes the incorporated cities of Parkersburg, Vienna, Williamstown and North Hills.
Most measurements made before 2010 do not list a height because methods used to determine height   prior to 2010 were inaccurate,","","315036","1","39 18.518","-081 33.275","590.0 ft","Public and private","73.3'","Clinometer/laser rangefinder/sine","6.3'","76''","61.3'","Measured by T. Sharp 11/5/2020.
This is best example of about six White Mulberries found on a Ohio River front lot at foot of 9th Street in Vienna.","Turner Sharp","2000-01-01","","N"
