"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Blackgum","Nyssa sylvatica","Alabama","Calhoun","Mountain Longleaf Pine National Wildlife Refuge","","","9,016 acres","","233706","1","","","","Public - federal","71.0'","Clinometer/laser rangefinder/sine","8.6'","103''","","Height is Not Less Then(NLT)","Jess Riddle, Doug Riddle","2005-08-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fmountain_longleaf_pine_nwr.htm","N"
"Blackgum","Nyssa sylvatica","Alabama","Jackson","Walls Of Jericho","34 58.665","-086 05.041","","","315727","1","34 58.665","-086 05.041","1675.0 ft","Public","98.0'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb","2024-04-20","","N"
"Blackgum","Nyssa sylvatica","Alabama","Jackson","Walls Of Jericho","34 58.815","-086 05.018","","","315728","1","34 58.815","-086 05.018","1490.0 ft","Public","102.7'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Elijah Whitcomb","2024-04-20","","N"
"Blackgum","Nyssa sylvatica","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233843","1","","","","Public - federal","114.5'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Blackgum","Nyssa sylvatica","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243106","1","","","","Public - federal","112.6'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Blackgum","Nyssa sylvatica","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243105","1","","","","Public - federal","115.0'","Clinometer/laser rangefinder/sine","7.3'","88''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Blackgum","Nyssa sylvatica","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241596","1","","","","Public - state","112.5'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Blackgum","Nyssa sylvatica","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241595","1","","","","Public - state","119.5'","Clinometer/laser rangefinder/sine","11.3'","135''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Blackgum","Nyssa sylvatica","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241594","1","","","","Public - state","120.8'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Blackgum","Nyssa sylvatica","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233968","1","","","","Public - state","97.4'","Clinometer/laser rangefinder/sine","5.2'","62''","","West Block of Campus","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
