"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Hophornbeam","Ostrya virginiana","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243107","1","","","","Public - federal","67.1'","Clinometer/laser rangefinder/sine","2.0'","24''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Hophornbeam","Ostrya virginiana","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241456","1","","","","Public - state","63.6'","Clinometer/laser rangefinder/sine","1.8'","21''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Hophornbeam","Ostrya virginiana","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241455","1","","","","Public - state","65.4'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Hophornbeam","Ostrya virginiana","Delaware","New Castle","Brandywine Creek State Park","","","","","142899","1","","","","State","56.6'","Clinometer/laser rangefinder/sine","2.1'","25''","","","George Fieo","2011-01-09","","N"
"Hophornbeam","Ostrya virginiana","Florida","Levy","Manatee Springs State Park","29 29.126","-082 58.565","","","159254","1","29 29.126","-082 58.565","","Public - state","35.4'","Clinometer/laser rangefinder/sine","1.9'","22''","","","Turner Sharp","2017-03-08","","N"
"Hophornbeam","Ostrya virginiana","Florida","Levy","Manatee Springs State Park","29 29.123","-082 58.581","","","159253","1","29 29.123","-082 58.581","","Public - state","43.5'","Clinometer/laser rangefinder/sine","1.5'","18''","","","Turner Sharp","2017-03-08","","N"
"Hophornbeam","Ostrya virginiana","Georgia","Stephens","Panther Creek","","","","","249111","1","","","","Public - federal","74.8'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Jess Riddle","2005-03-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Hophornbeam","Ostrya virginiana","Massachusetts","Berkshire","Stafford Hill Wildlife Management Area","","","","","250157","1","","","","Public - state","","Clinometer/laser rangefinder/sine","8.0'","96''","","","Brian Hawth","2011-12-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D3456%26sid%3D1aab79c2b470771418baab32817731c3","N"
"Hophornbeam","Ostrya virginiana","Massachusetts","Worcester","Norhwoods Core Conservation Area-Bolton","","","","","250485","1","","","","Public - city","69.1'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Jared Lockwood","2016-05-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7692%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Hophornbeam","Ostrya virginiana","Massachusetts","Worcester","Northwoods","","","","","124415","1","","","","Private","69.7'","Clinometer/laser rangefinder/sine","3.4'","40''","","","Jared Lockwood","2016-05-03","","N"
