"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Hophornbeam","Ostrya virginiana var. virginiana","Kentucky","Edmonson","Mammoth Cave National Park","37 12.906","-086 08.304","","","297424","1","37 12.906","-086 08.304","","Public","36.8'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Elijah Whitcomb","2023-06-23","","N"
"Hophornbeam","Ostrya virginiana var. virginiana","Kentucky","Edmonson","Mammoth Cave National Park","37 12.889","-086 08.307","","","297425","1","37 12.889","-086 08.307","725.0 ft","Public","63.3'","Clinometer/laser rangefinder/sine","2.5'","30''","","","Elijah Whitcomb","2023-06-23","","N"
"Hophornbeam","Ostrya virginiana var. virginiana","Maryland","Howard","Avalon Section Of Patapsco Valley State Park","","","16,043 acres in Baltimore and Howard Counties
Trees were measured in the Avalon and Orange Grove section of the park","","231017","1","","","","Public - state park","45.1'","Clinometer/laser rangefinder/sine","2.1'","25''","","","George Fieo","2017-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8745%26sid%3D0f283f6872d048235790bc6c09610d80%23p44618","N"
"Hophornbeam","Ostrya virginiana var. virginiana","Maryland","Howard","Avalon Section Of Patapsco Valley State Park","","","16,043 acres in Baltimore and Howard Counties
Trees were measured in the Avalon and Orange Grove section of the park","","231018","1","","","","Public - state park","57.2'","Clinometer/laser rangefinder/sine","2.1'","25''","","","George Fieo","2017-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8745%26sid%3D0f283f6872d048235790bc6c09610d80%23p44618","N"
"Hophornbeam","Ostrya virginiana var. virginiana","Nebraska","Sarpy","Fontenelle Forest","","","1400 Acres","","220678","1","","","","Private","","Clinometer/laser rangefinder/sine","3.4'","41''","","","Jess Riddle","2013-11-03","","N"
"Hophornbeam","Ostrya virginiana var. virginiana","Nebraska","Sarpy","Fontenelle Forest","","","1400 Acres","","220677","1","","","","Private","58.0'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2013-11-03","","N"
"Hophornbeam","Ostrya virginiana var. virginiana","New York","Chautauqua","Canadaway Creek","","","","","263217","1","","","","Public - state","47.4'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-02-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"Hophornbeam","Ostrya virginiana var. virginiana","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281051","1","","","","Public - state","64.0'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Hophornbeam","Ostrya virginiana var. virginiana","New York","Franklin","High Peaks Wilderness","","","275,40  acres located in franklin and Essex Counties.","","265363","1","","","","Public - state","71.0'","Clinometer/laser rangefinder/sine","2.7'","32''","","","Erik Danielson","2017-11-30","","N"
"Hophornbeam","Ostrya virginiana var. virginiana","New York","Monroe","Abraham Lincoln Park","43 11.370","-077 30.892","","","323112","1","43 11.370","-077 30.892","300.0 ft","Public","65.3'","Clinometer/laser rangefinder/sine","3.1'","37''","","","Elijah Whitcomb","2025-12-26","","N"
"Hophornbeam","Ostrya virginiana var. virginiana","New York","Onondaga","Green Lakes State Park","","","","","263474","1","","","","Public","68.5'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Jess Riddle","2015-12-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"Hophornbeam","Ostrya virginiana var. virginiana","New York","Onondaga","Green Lakes State Park","","","","","263475","1","","","","Public","71.7'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Jess Riddle","2015-12-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"Hophornbeam","Ostrya virginiana var. virginiana","New York","Onondaga","Green Lakes State Park","","","","","263476","1","","","","Public","74.3'","Clinometer/laser rangefinder/sine","3.0'","36''","","","Jess Riddle","2015-12-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"Hophornbeam","Ostrya virginiana var. virginiana","New York","Onondaga","Green Lakes State Park","","","","","263477","1","","","","Public","74.6'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Jess Riddle","2015-12-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"Hophornbeam","Ostrya virginiana var. virginiana","New York","Onondaga","Green Lakes State Park","","","","","263478","1","","","","Public","75.0'","Clinometer/laser rangefinder/sine","4.8'","57''","","","Jess Riddle","2015-12-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"Hophornbeam","Ostrya virginiana var. virginiana","New York","Onondaga","Green Lakes State Park","","","","","263479","1","","","","Public","78.9'","Clinometer/laser rangefinder/sine","3.8'","45''","","","Jess Riddle","2015-12-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"Hophornbeam","Ostrya virginiana var. virginiana","New York","Onondaga","Liverpool School Maple Grove","","","","","262929","1","","","","Public-Private","65.1'","Clinometer/laser rangefinder/sine","","","","","Tom Howard, Elijah Whitcomb","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7426%26sid%3Dc5ed2ba57ebfaf34b1030c97de047870%23p41639","N"
