"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Princesstree","Paulownia tomentosa","Georgia","Fulton","Piedmont Park","","","185 Acre Park","","235306","1","","","","Public - city","","Clinometer/laser rangefinder/sine","13.0'","156''","","Botanical Garden
Circumference taken at 3 1/2'","Jess Riddle","2005-04-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fatlanta_trees.htm","N"
"Princesstree","Paulownia tomentosa","Maryland","Anne Arundel","Chase Creek Woods","","","","","280933","1","","","","Private","71.9'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Colby Rucker","2003-07-01","","N"
"Princesstree","Paulownia tomentosa","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128434","1","","","","Public - State","46.8'","Clinometer/laser rangefinder/sine","3.1'","37''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Princesstree","Paulownia tomentosa","North Carolina","Henderson","Kings Mountain","","","","","227907","1","","","","Private","74.3'","Clinometer/laser rangefinder/sine","","","","","James Parton","2009-01-10","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2F20090110-kingsmountain%2F","N"
"Princesstree","Paulownia tomentosa","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","260001","1","","","","Public - city","76.8'","Clinometer/laser rangefinder/sine","11.3'","136''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"Princesstree","Paulownia tomentosa","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","260000","1","","","","Public - city","86.2'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"Princesstree","Paulownia tomentosa","New York","Richmond","Corson's Brook Woods","","","21 Acres","","258279","1","","","","Private","99.3'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7363%26sid%3D5a6e017133ea02fd52261a4e1e950e4e%23p38394","N"
"Princesstree","Paulownia tomentosa","Pennsylvania","Chester","Longwood Gardens","","","Former Estate of Pierre S. du Pont. Open to public with an admission fee.","","134480","1","","","400.0 ft","Private","66.7'","Clinometer/laser rangefinder/sine","15.6'","187''","","","Turner Sharp, Mike Higgs","2016-04-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D151%26t%3D7685%23p37693","N"
"Princesstree","Paulownia tomentosa","Tennessee","Lauderdale","Fort Pillow State Historic Park","35 37.909","-089 51.060","","","320514","1","35 37.909","-089 51.060","455.0 ft","Public","90.3'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Elijah Whitcomb","2024-12-14","","N"
"Princesstree","Paulownia tomentosa","West Virginia","54 Counties","West Virginia Historical Trees","39 35.645","-079 53.055","Trees that have died or been removed.This is a State wide listing except for Wood County which is in a separate list.
All heights determined by Sine method  with laser/inclinometer. Some trees have height missing because it was never taken or the Sine method was not used. These trees were mostly measured 2008 and before.","","312060","1","39 35.645","-079 53.055","1800.0 ft","Public and Private","76.0'","Clinometer/laser rangefinder/sine","6.3'","75''","26.0'","Tree was located near Dellslow, Monongalia County.
Last measured by B. Hannah, A. Dick 2/11/2011.
Crown spread is an average of the two axis method..
Tree dead by July 2018.","Various Various","1963-01-01","","N"
