"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Engelmann Spruce","Picea engelmannii","Arizona","Coconino","Aspen Corner Trails","","","","","226324","1","","","8900.0 ft","Public - Federal","78.4'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Turner Sharp","2015-06-08","","N"
"Engelmann Spruce","Picea engelmannii","Arizona","Coconino","Demotte Campground","","","Trees measured were 100 200 yards South West of the campground. It appears the forest Service had a fuel reduction cut in this area targeting mostly the smaller and defective white firs.","","226295","1","","","","Public National Forest","98.8'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Turner Sharp","2014-01-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Engelmann Spruce","Picea engelmannii","Arizona","Coconino","Demotte Campground","","","Trees measured were 100 200 yards South West of the campground. It appears the forest Service had a fuel reduction cut in this area targeting mostly the smaller and defective white firs.","","226285","1","","","8800.0 ft","Public National Forest","105.9'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Turner Sharp","2014-01-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Engelmann Spruce","Picea engelmannii","Arizona","Coconino","Demotte Campground","36 24.629","-112 08.274","Trees measured were 100 200 yards South West of the campground. It appears the forest Service had a fuel reduction cut in this area targeting mostly the smaller and defective white firs.","","226288","1","36 24.629","-112 08.274","8800.0 ft","Public National Forest","113.8'","Clinometer/laser rangefinder/sine","7.8'","93''","","","Turner Sharp","2014-01-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Engelmann Spruce","Picea engelmannii","Arizona","Coconino","FS 230","","","Trees near Forest Service road (FS 230) near the intersection of FS 462","","226263","1","","","8800.0 ft","Public - National Forest","103.3'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Turner Sharp, Mike Higgs","2014-06-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Engelmann Spruce","Picea engelmannii","Arizona","Coconino","FS 230","36 27.171","-112 08.883","Trees near Forest Service road (FS 230) near the intersection of FS 462","","226268","1","36 27.171","-112 08.883","8800.0 ft","Public - National Forest","126.0'","Clinometer/laser rangefinder/sine","6.3'","75''","","","Turner Sharp, Mike Higgs","2014-06-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Engelmann Spruce","Picea engelmannii","Arizona","Coconino","Grand Canyon -  North Rim","36 17.743","-112 05.258","","","96560","1","36 17.743","-112 05.258","8900.0 ft","Public","94.8'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Turner Sharp","2015-06-02","","N"
"Engelmann Spruce","Picea engelmannii","Arizona","Coconino","Snow Bowl","","","Trees were measured along the Kachina Trail which was formerly named the Anasazi Trail.","","136797","1","","","9200.0 ft","Public - federal","67.1'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Turner Sharp","2012-03-04","","N"
"Engelmann Spruce","Picea engelmannii","Arizona","Coconino","Snow Bowl","","","Trees were measured along the Kachina Trail which was formerly named the Anasazi Trail.","","136796","1","","","9200.0 ft","Public - federal","72.1'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Turner Sharp","2012-03-04","","N"
"Engelmann Spruce","Picea engelmannii","Colorado","La Plata","Hermosa Creek","","","","","242486","1","","","","Public - federal","123.5'","Clinometer/laser rangefinder/sine","10.4'","125''","","Bushwack Hike to Clear Creek","Matt Markworth, Will Blozan, Chris Morris","2014-08-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
"Engelmann Spruce","Picea engelmannii","Colorado","La Plata","Hermosa Creek","","","","","242487","1","","","","Public - federal","128.0'","Clinometer/laser rangefinder/sine","10.7'","128''","","Bushwack Hike to Clear Creek","Matt Markworth, Will Blozan, Chris Morris","2014-08-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
"Engelmann Spruce","Picea engelmannii","Colorado","La Plata","Hermosa Creek","","","","","242485","1","","","","Public - federal","129.5'","Clinometer/laser rangefinder/sine","8.9'","107''","","Bushwack Hike to Clear Creek","Matt Markworth, Will Blozan, Chris Morris","2014-08-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
"Engelmann Spruce","Picea engelmannii","Colorado","La Plata","Hermosa Creek","","","","","280640","1","","","","Public - federal","131.0'","Clinometer/laser rangefinder/sine","13.2'","158''","","Coalbank Pass","Matt Markworth, Will Blozan, Larry Tucei","2015-06-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
