"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Colorado","Chaffee","Monarch Pass","38 30.013","-106 19.897","","","296852","1","38 30.013","-106 19.897","11075.0 ft","Public","50.5'","Clinometer/laser rangefinder/sine","2.3'","27''","","","Elijah Whitcomb","2023-06-20","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Colorado","Clear Creek","Mizpah Campground","39 46.520","-105 47.621","","","56030","1","39 46.520","-105 47.621","9680.0 ft","Public - Federal","","","6.7'","80''","","","Turner Sharp","2006-08-15","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Colorado","Clear Creek","Mizpah Campground","","","","","56031","1","","","9680.0 ft","Public - Federal","","","5.9'","71''","","","Turner Sharp","2006-08-15","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Colorado","Denver","Colorado Single Tree Sites","40 19.273","-105 36.416","","","242521","1","40 19.273","-105 36.416","8800.0 ft","Public - Private","72.1'","Clinometer/laser rangefinder/sine","9.3'","112''","","Measured by T. Sharp 6/14/2016. Tree located near Sprague Lake, Rocky Mountain National Park.","Various Various","2000-07-01","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Colorado","Larimer","Storm Pass Trail","","","Portions of the park are also in Grand and Boulder counties.","","126179","1","","","8000.0 ft","Public - National Park","78.9'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Turner Sharp","2016-06-16","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Idaho","Idaho","Devoto Memorial Grove","46 32.366","-114 40.492","","","164255","2","46 32.366","-114 40.492","","Public","139.1'","Clinometer/laser rangefinder/sine","8.3'","100''","","","Turner Sharp, Turner Sharp","2018-07-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Idaho","Idaho","Devoto Memorial Grove","46 32.343","-114 40.534","","","164254","2","46 32.343","-114 40.534","","Public","159.7'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp, Turner Sharp","2018-07-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Idaho","Idaho","Powell Campground","46 30.777","-114 43.379","","","220371","1","46 30.777","-114 43.379","3600.0 ft","Public","123.6'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Turner Sharp","2014-08-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Idaho","Idaho","Powell Campground","","","","","220369","1","","","3600.0 ft","Public","135.7'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Turner Sharp","2014-08-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Idaho","Idaho","Powell Campground","","","","","220370","1","","","3600.0 ft","Public","156.9'","Clinometer/laser rangefinder/sine","8.9'","107''","","","Turner Sharp","2014-08-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Idaho","Idaho","Powell Campground","","","","","220368","1","","","3400.0 ft","Public","161.3'","Clinometer/laser rangefinder/sine","9.5'","113''","","","Turner Sharp","2014-08-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Idaho","Valley","Ponderosa State Park","44 55.981","-116 04.979","","","318071","1","44 55.981","-116 04.979","5085.0 ft","Public","134.8'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Elijah Whitcomb","2024-07-10","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Idaho","Valley","Ponderosa State Park","44 56.225","-116 04.793","","","318072","1","44 56.225","-116 04.793","5095.0 ft","Public","157.7'","Clinometer/laser rangefinder/sine","11.1'","133''","","","Elijah Whitcomb","2024-07-10","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Montana","Lincoln","Pleasant Valley Campground, Kootenai National Forest","48 02.500","-115 17.475","","","296893","1","48 02.500","-115 17.475","3070.0 ft","Public","106.0'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Elijah Whitcomb","2022-07-04","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Montana","Lincoln","Ross Creek Scenic Area Giant Cedars","48 12.476","-115 55.045","","","297909","1","48 12.476","-115 55.045","2945.0 ft","Public","165.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-06-12","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Montana","Mineral","Little Joe Road","47 13.316","-115 17.393","","","318059","1","47 13.316","-115 17.393","5510.0 ft","Public","143.6'","Clinometer/laser rangefinder/sine","","","","large horizontal buttress at base","Elijah Whitcomb","2024-07-08","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","New Mexico","Sandoval","Valles Caldera National Preserve","35 48.937","-106 32.063","","","320675","1","35 48.937","-106 32.063","8425.0 ft","Public","114.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2025-01-22","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","New Mexico","Santa Fe","Hyde Memorial Park","35 47.377","-105 48.514","","","317996","1","35 47.377","-105 48.514","10285.0 ft","Public","107.0'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Elijah Whitcomb","2024-07-18","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","New Mexico","Santa Fe","Hyde Memorial Park","35 47.434","-105 48.472","","","317997","1","35 47.434","-105 48.472","10245.0 ft","Public","123.0'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Elijah Whitcomb","2024-07-18","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","New Mexico","Santa Fe","Hyde Memorial Park","35 47.524","-105 48.308","","","317998","1","35 47.524","-105 48.308","10190.0 ft","Public","131.0'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Elijah Whitcomb","2024-07-18","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","New Mexico","Santa Fe","Hyde Memorial Park","35 47.536","-105 48.324","","","317999","1","35 47.536","-105 48.324","10170.0 ft","Public","135.5'","Clinometer/laser rangefinder/sine","6.3'","75''","","","Elijah Whitcomb","2024-07-18","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","New York","Monroe","Highland Park","","","","","226063","1","","","","Public","53.8'","Clinometer/laser rangefinder/sine","3.8'","45''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","New York","Tompkins","Cornell Plantations/Beebe Lake Woods","42 26.903","-076 28.375","","","282342","1","42 26.903","-076 28.375","855.0 ft","Private:  Cornell University","88.8'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Elijah Whitcomb, Tom Howard","2020-11-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D6655","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Washington","Chelan","Icicle Creek Trail","47 37.275","-120 57.790","","","296905","1","47 37.275","-120 57.790","2930.0 ft","Public","161.6'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Elijah Whitcomb","2022-07-06","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Washington","Chelan","White Pine Creek Trail","47 44.806","-120 57.369","","","296948","1","47 44.806","-120 57.369","3230.0 ft","Public","143.6'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Elijah Whitcomb","2023-06-13","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Washington","Chelan","White Pine Creek Trail","47 44.749","-120 57.424","","","296949","1","47 44.749","-120 57.424","3250.0 ft","Public","146.6'","Clinometer/laser rangefinder/sine","7.6'","91''","","","Elijah Whitcomb","2023-06-13","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Washington","Chelan","White Pine Creek Trail","47 44.740","-120 57.423","","","296950","1","47 44.740","-120 57.423","3255.0 ft","Public","147.0'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Elijah Whitcomb","2023-06-13","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Washington","Okanogan","North Cascades Scenic Highway","48 35.065","-120 37.136","","","296894","1","48 35.065","-120 37.136","3315.0 ft","Public","195.2'","","16.0'","191''","","","Elijah Whitcomb","2022-07-05","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Washington","Skagit","Easy Pass, North Cascades Scenic Highway","","","","","274363","1","","","3730.0 ft","Public","223.0'","Clinometer/laser rangefinder/sine","16.9'","202''","","""Easy Pass Tower;"" top ~ 30' dead but intact","Elijah Whitcomb","2022-07-06","","N"
"Engelmann Spruce","Picea engelmannii var. engelmannii","Washington","Yakima","Pleasant Valley Campground","46 56.496","-121 19.559","","","296918","1","46 56.496","-121 19.559","3359.0 ft","Public (Forest Service)","177.6'","Clinometer/laser rangefinder/sine","9.3'","111''","","","Elijah Whitcomb","2020-09-16","","N"
