"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"White Spruce","Picea glauca","British Columbia","Northern Rockies","Liard River Hot Springs Provincial Park","","","","","74991","1","","","1574.8 ft","Public - Provincial Park","87.3'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"White Spruce","Picea glauca","British Columbia","Stikine Regional District","Alkie Creek Confluence","59 42.030","-137 13.649","This camp was at mile 34 downstream of the put-in at Dalton Post, Yukon Territory","","75012","1","59 42.030","-137 13.649","1312.3 ft","Public","47.9'","Clinometer/laser rangefinder/sine","2.5'","30''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"White Spruce","Picea glauca","British Columbia","Stikine Regional District","Sediments Creek Confluence","","","This camp was mile 34 downstream of the put-in at Dalton Post, Yukon Territory","","75016","1","","","","Public","58.2'","Clinometer/laser rangefinder/sine","3.6'","44''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"White Spruce","Picea glauca","British Columbia","Stikine Regional District","Sediments Creek Confluence","","","This camp was mile 34 downstream of the put-in at Dalton Post, Yukon Territory","","75017","1","","","","Public","63.9'","Clinometer/laser rangefinder/sine","3.6'","44''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"White Spruce","Picea glauca","British Columbia","Stikine Regional District","Sediments Creek Confluence","","","This camp was mile 34 downstream of the put-in at Dalton Post, Yukon Territory","","75018","1","","","","Public","68.0'","Clinometer/laser rangefinder/sine","4.6'","55''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"White Spruce","Picea glauca","Minnesota","Itasca","""Lost 40"" Of Chippewa National Forest","","","Scientific and Natural Area","","233306","1","","","","Public - federal","94.0'","Clinometer/laser rangefinder/sine","4.6'","55''","","","Don Bragg","2005-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fnorthern_adv%2Fgreat_northern_adventure.htm","N"
"White Spruce","Picea glauca","North Carolina","Buncombe","Kenilworth Pinetum","","","","","39772","1","","","","Private Home","67.4'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4802","N"
"White Spruce","Picea glauca","New York","Cayuga","Fort Hill Cemetery","42 55.485","-076 34.415","","","214930","1","42 55.485","-076 34.415","730.0 ft","Public","59.7'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Elijah Whitcomb","2020-09-07","","N"
"White Spruce","Picea glauca","New York","Delaware","St. Paul's Cemetery","41 57.219","-075 18.235","","","225851","1","41 57.219","-075 18.235","975.0 ft","Private","95.8'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Elijah Whitcomb","2017-09-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7680","N"
"White Spruce","Picea glauca","New York","Essex","Huntington Forest, Newcomb, NY","43 58.062","-074 12.646","","","211757","1","43 58.062","-074 12.646","","Public","120.6'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Elijah Whitcomb","2017-09-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7044","N"
