"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Black Spruce","Picea mariana","British Columbia","Northern Rockies","Liard River Hot Springs Provincial Park","","","","","74996","1","","","1574.8 ft","Public - Provincial Park","53.0'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"Black Spruce","Picea mariana","Maine","Penobscot","Sunkhaze Meadows National Wildlife Refuge","","","11,446 Acres","","235322","1","","","","Public - federal","87.8'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Jess Riddle","2006-11-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmaine%2Fsunkhaze_meadows_nwr.htm","N"
"Black Spruce","Picea mariana","Maine","Penobscot","Sunkhaze Meadows National Wildlife Refuge","","","11,446 Acres","","235323","1","","","","Public - federal","89.0'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Jess Riddle","2006-11-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmaine%2Fsunkhaze_meadows_nwr.htm","N"
"Black Spruce","Picea mariana","New Brunswick","Carleton","Ayers Lake","","","","","240018","1","","","","Public - state","91.0'","Clinometer/laser rangefinder/sine","4.7'","56''","","","Owen Richards","2013-12-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D100%26t%3D7326%26sid%3D559efe2c1931bbd06cbb8d41f0c94720","N"
"Black Spruce","Picea mariana","New Brunswick","Carleton","Ayers Lake","","","","","240019","1","","","","Public - state","93.0'","Clinometer/laser rangefinder/sine","","","","","Owen Richards","2013-12-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D100%26t%3D7326%26sid%3D559efe2c1931bbd06cbb8d41f0c94720","N"
"Black Spruce","Picea mariana","New Brunswick","Carleton","Ayers Lake","","","","","240017","1","","","","Public - state","100.0'","Clinometer/laser rangefinder/sine","6.0'","73''","","","Owen Richards","2013-12-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D100%26t%3D7326%26sid%3D559efe2c1931bbd06cbb8d41f0c94720","N"
"Black Spruce","Picea mariana","New York","Franklin","Elders Grove, Paul Smiths, NY","","","","","265932","1","","","","Public-Private","92.1'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Elijah Whitcomb","2015-06-16","ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D4359%26sid%3Dc908254de7b41a1baee6e37162e8896b%26start%3D10%23p38133","N"
"Black Spruce","Picea mariana","Ontario","Algoma District","Wawa Area-Voyager And Nokomis Trails","","","Also see:
http://www.ents-bbs.org/viewtopic.php?f=113&t=6037&sid=1d493e39fcc69fb73dc249f02e7e5c6d","","233057","1","","","","Public - state","70.2'","Clinometer/laser rangefinder/sine","2.8'","33''","","","Doug Bidlack, Kouta Rasanen","2013-08-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D113%26t%3D6029%26sid%3D1d493e39fcc69fb73dc249f02e7e5c6d%23p27172","N"
"Black Spruce","Picea mariana","Ontario","Toronto Division","Ontario Single Tree Sites","48 34.734","-091 33.856","","","240287","1","48 34.734","-091 33.856","1370.0 ft","Public/Private","83.7'","Clinometer/laser rangefinder/sine","3.1'","37''","","Quetico Provinial Park, Rainy River District of Ontario.
Tree located near portage between Rlizabeth and Jesse Lakes.
Measured by Kouta Rasanen 8/2013","Various Various","2000-01-01","","N"
"Black Spruce","Picea mariana","Pennsylvania","Centre","Bear Meadows Natural Area","","","Natural Area contains 890 Acres","","168965","1","","","","Public - State Forest","63.6'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Dale Luthringer","2004-04-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fbear_meadows.htm","N"
"Black Spruce","Picea mariana","Pennsylvania","Centre","Bear Meadows Natural Area","","","Natural Area contains 890 Acres","","168966","1","","","","Public - State Forest","68.2'","Clinometer/laser rangefinder/sine","2.7'","32''","","","Dale Luthringer","2004-04-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fbear_meadows.htm","N"
"Black Spruce","Picea mariana","Pennsylvania","Centre","Bear Meadows Natural Area","40 43.994","-077 45.369","Natural Area contains 890 Acres","","168967","1","40 43.994","-077 45.369","1800.0 ft","Public - State Forest","70.9'","Clinometer/laser rangefinder/sine","3.5'","42''","","","Dale Luthringer","2004-04-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fbear_meadows.htm","N"
"Black Spruce","Picea mariana","Pennsylvania","Delaware","Haverford College Arboretum","","","","","225114","1","","","","Private","37.0'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Scott Wade","2007-03-02","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fhaverford_college_arboretum.htm","N"
