"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Blue Spruce","Picea pungens","Colorado","Archuleta","Piedra River And Tributaries","","","","","242318","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","11.3'","135''","","Horse Creek","Matt Markworth, Larry Tucei, Chris Smith","2014-08-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6504%26sid%3D47e5edd069569045115cbc54735ff8a8%23p29672","N"
"Blue Spruce","Picea pungens","Colorado","Archuleta","Piedra River And Tributaries","","","","","242321","1","","","","Public - federal","142.0'","Clinometer/laser rangefinder/sine","","","","Horse Creek","Matt Markworth, Larry Tucei, Chris Smith","2014-08-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6504%26sid%3D47e5edd069569045115cbc54735ff8a8%23p29672","N"
"Blue Spruce","Picea pungens","Colorado","Archuleta","Piedra River And Tributaries","","","","","242358","1","","","","Public - federal","144.8'","Clinometer/laser rangefinder/sine","6.3'","76''","","Coldwater Creek","Matt Markworth","2016-11-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6504%26sid%3D47e5edd069569045115cbc54735ff8a8%23p29672","N"
"Blue Spruce","Picea pungens","Colorado","Archuleta","Piedra River And Tributaries","","","","","242317","1","","","","Public - federal","151.5'","Clinometer/laser rangefinder/sine","","","","Horse Creek","Matt Markworth, Larry Tucei, Chris Smith","2014-08-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6504%26sid%3D47e5edd069569045115cbc54735ff8a8%23p29672","N"
"Blue Spruce","Picea pungens","Colorado","Archuleta","Piedra River And Tributaries","","","","","242320","1","","","","Public - federal","151.5'","Clinometer/laser rangefinder/sine","8.5'","102''","","Horse Creek","Matt Markworth, Larry Tucei, Chris Smith","2014-08-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6504%26sid%3D47e5edd069569045115cbc54735ff8a8%23p29672","N"
"Blue Spruce","Picea pungens","Colorado","Archuleta","Piedra River And Tributaries","","","","","242319","1","","","","Public - federal","154.5'","Clinometer/laser rangefinder/sine","11.3'","135''","","Horse Creek","Matt Markworth, Larry Tucei, Chris Smith","2014-08-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6504%26sid%3D47e5edd069569045115cbc54735ff8a8%23p29672","N"
"Blue Spruce","Picea pungens","Colorado","Denver","Colorado Single Tree Sites","37 46.826","-107 57.431","","","242524","1","37 46.826","-107 57.431","9150.0 ft","Public - Private","80.0'","Clinometer/laser rangefinder/sine","12.2'","146''","","Measured by M. Markworth 10/15/2016 between Rico and Ophir in Delores County","Various Various","2000-07-01","","N"
"Blue Spruce","Picea pungens","Colorado","Denver","Colorado Single Tree Sites","38 05.253","-106 08.343","","","242531","1","38 05.253","-106 08.343","7700.0 ft","Public - Private","103.0'","Clinometer/laser rangefinder/sine","","","","Measured by M. Rouw 8/10/2014 in Saguache, Saguache County. 
Planted tree.","Various Various","2000-07-01","","N"
"Blue Spruce","Picea pungens","Colorado","Denver","Colorado Single Tree Sites","38 05.253","-106 08.619","","","242530","1","38 05.253","-106 08.619","7700.0 ft","Public - Private","111.0'","Clinometer/laser rangefinder/sine","","","","Measured by M. Rouw 8/10/2014 in Saguache, Saguache County. 
Planted tree.","Various Various","2000-07-01","","N"
"Blue Spruce","Picea pungens","Colorado","Denver","Colorado Single Tree Sites","37 58.403","-107 58.784","","","242526","1","37 58.403","-107 58.784","8000.0 ft","Public - Private","143.0'","Clinometer/laser rangefinder/sine","10.1'","121''","","Measured by M. Markworth 10/15/2016 along Fall Creek west of Telluride.","Various Various","2000-07-01","","N"
